base,il2cpp_token,field
ChangeTitle,100674517,ChangeTitle_Public_Static_Void_0
ContainsIndex,100674528,ContainsIndex_Public_Static_Int32_String_0
GetAppendix,100674514,GetAppendix_Public_Static_String_0
GetBaseLanguage,100674505,GetBaseLanguage_Public_Static_Int32_0
GetData,100674524,GetData_Public_Static_EventEMsgData_String_0
GetLangCode,100674515,GetLangCode_Public_Static_String_0
GetLanguage,100674506,GetLanguage_Public_Static_Int32_0
GetLanguageDefine,100674507,GetLanguageDefine_Public_Static_Int32_0
GetLocalizeText,100674526,GetLocalizeText_Public_Static_String_String_0
GetLocalizeText,100674527,GetLocalizeText_Public_Static_String_String_String_0
GetPlatform,100674511,GetPlatform_Public_Static_Int32_0
GetPlatformStr,100674512,GetPlatformStr_Public_Static_String_0
IsCHKO,100674509,IsCHKO_Public_Static_Boolean_0
IsEFIGS,100674508,IsEFIGS_Public_Static_Boolean_0
IsJA,100674510,IsJA_Public_Static_Boolean_0
Load,100674523,Load_Public_Static_Void_String_String_0
LoadBattleLocalizeText,100674518,LoadBattleLocalizeText_Public_Static_Void_0
LoadCommonData,100674516,LoadCommonData_Public_Static_Void_0
LoadDefault,100674513,LoadDefault_Public_Static_Void_Int32_0
LoadEventData,100674521,LoadEventData_Public_Static_Void_String_String_Int32_Boolean_0
LoadLocalizeText,100674520,LoadLocalizeText_Public_Static_Void_String_String_0
ReleaseEventData,100674522,ReleaseEventData_Public_Static_Void_Int32_0
Remove,100674525,Remove_Public_Static_Void_String_0
RemoveBattleLocalizeText,100674519,RemoveBattleLocalizeText_Public_Static_Void_0
SettingFontMaterial,100674529,SettingFontMaterial_Public_Static_Void_0
_ContainsIndex_b__0,100674533,_ContainsIndex_b__0_Internal_Boolean_EvtMsgDat_0
_ctor,100674531,_ctor_Public_Void_String_EventEMsgData_0
_ctor,100674532,_ctor_Public_Void_0
