struct,type,name,kind
itfMesBinFileHeader_t,byte,filetype,field
itfMesBinFileHeader_t,byte,format,field
itfMesBinFileHeader_t,short,user_id,field
itfMesBinFileHeader_t,uint,filesize,field
itfMesBinFileHeader_t,uint,mgc,field
itfMesBinFileHeader_t,uint,extsize,field
itfMesBinFileHeader_t,uint,ofs_addrinfo,field
itfMesBinFileHeader_t,uint,size_addrinfo,field
itfMesBinFileHeader_t,uint,numtypeheader,field
itfMesBinFileHeader_t,byte,resolveaddress,field
itfMesBinFileHeader_t,byte,reserved0,field
itfMesBinFileHeader_t,ushort,version,field
itfMesBinTypeHeader_t,uint,type,unsafe_property
itfMesBinTypeHeader_t,int,ptr,unsafe_property
itfMesBinTypeHeader2_t,int,ppspkhead,unsafe_property
itfMesBinTypeHeader2_t,int,spknum,unsafe_property
itfMesBinTypeHeader2_t,int,pextdata,unsafe_property
itfMesBinTypeHeader2_t,uint,reserved,unsafe_property
itfMesBinMesHeader_t,Il2CppStructArray<byte>,label,unsafe_property
itfMesBinMesHeader_t,short,page,unsafe_property
itfMesBinMesHeader_t,ushort,speaker,unsafe_property
itfMesBinMesHeader_t,Il2CppStructArray<uint>,addr,unsafe_property
itfMesBinMesHeader_t,Il2CppStructArray<int>,len,unsafe_property
itfMesBinSelHeader_t,Il2CppStructArray<byte>,label,unsafe_property
itfMesBinSelHeader_t,short,ext,unsafe_property
itfMesBinSelHeader_t,short,item,unsafe_property
itfMesBinSelHeader_t,short,pattern,unsafe_property
itfMesBinSelHeader_t,ushort,reserved,unsafe_property
itfMesBinSelHeader_t,Il2CppStructArray<uint>,ptr,unsafe_property
itfMesBinSelHeader_t,Il2CppStructArray<int>,len,unsafe_property
