base,field,il2cpp_token
CalcMesFlow,CalcMesFlow_Internal_Static_Void_instanceMes_tag_0,100669339
CalcMessage,CalcMessage_Internal_Static_Void_instanceMes_tag_0,100669341
ClearMessage,ClearMessage_Internal_Static_Void_0,100669297
ClearSpeaker,ClearSpeaker_Internal_Static_Void_0,100669298
DrawMesFlow,DrawMesFlow_Private_Static_Void_instanceMes_tag_0,100669402
DrawMessage,DrawMessage_Internal_Static_Int32__FRQ_0,100669404
ForceWindowDispOff,ForceWindowDispOff_Public_Static_Void_0,100669300
GetMessagePagePtr,GetMessagePagePtr_Internal_Static_Il2CppStructArray_1_Byte_itfMesBinMesHeader_t_Il2CppStructArray_1_Byte_Int32_0,100669293
GetSpeakerName,GetSpeakerName_Internal_Static_Il2CppStructArray_1_Byte_instanceMes_tag_0,100669313
GetTypeHeader,GetTypeHeader_Internal_Static_itfMesBinTypeHeader_t_instanceMes_tag_Int32_0,100669291
GetTypeHeader2,GetTypeHeader2_Internal_Static_itfMesBinTypeHeader2_t_Il2CppStructArray_1_Byte_0,100669292
InitializeWindow,InitializeWindow_Internal_Static_Void_window_tag_0,100669331
OpenMessageWindow,OpenMessageWindow_Internal_Static_Void_instanceMes_tag_0,100669326
RaiseMessageSpeedMax,RaiseMessageSpeedMax_Internal_Static_Void__FRQ_0,100669324
RaiseMessageSpeedMaxAll,RaiseMessageSpeedMaxAll_Internal_Static_Void__FRQ_0,100669325
ResolveResourceAddress,ResolveResourceAddress_Internal_Static_Void_Object_0,100669290
SwitchSpeaker,SwitchSpeaker_Internal_Static_Void_Boolean_Boolean_0,100669309
WindowDispOff,WindowDispOff_Internal_Static_Void_Boolean_0,100669299
WindowDispOn,WindowDispOn_Public_Static_Void_Int32_0,100669295
WindowDispOn,WindowDispOn_Internal_Static_Void_instanceMes_tag_0,100669296
itfMesMngChangeWindowType,itfMesMngChangeWindowType_Public_Static_Void_Int32_Int32_Int32_0,100669386
itfMesMngCloseWindow,itfMesMngCloseWindow_Public_Static_Int32_0,100669352
itfMesMngGetSelectNo,itfMesMngGetSelectNo_Public_Static_Int32_Int32_0,100669348
itfMesMngGetStrImmediate,itfMesMngGetStrImmediate_Public_Static_String_Int32_Int32_Int32_0,100669384
itfMesMngGetVarLocalize,itfMesMngGetVarLocalize_Public_Static_String_Int32_Int32_0,100669378
itfMesMngInitialize,itfMesMngInitialize_Public_Static_Int32_Object_Il2CppStringArray_String_0,100669364
itfMesMngInitializeManager,itfMesMngInitializeManager_Public_Static_Void_0,100669390
itfMesMngOpenWindow,itfMesMngOpenWindow_Public_Static_Int32_0,100669351
itfMesMngRelease,itfMesMngRelease_Public_Static_Void_Int32_0,100669365
itfMesMngRequestMessage,itfMesMngRequestMessage_Public_Static_Int32_Int32_Int32_Int32_Int32_0,100669366
itfMesMngRequestMessageRelease,itfMesMngRequestMessageRelease_Public_Static_Void_Int32_Int32_0,100669368
itfMesMngRequestSelect,itfMesMngRequestSelect_Public_Static_Void_Int32_Int32_0,100669369
itfMesMngRequestSelectRelease,itfMesMngRequestSelectRelease_Public_Static_Void_Int32_0,100669370
itfMesMngSelect,itfMesMngSelect_Public_Static_Int32_0,100669345
itfMesMngSetDefaultSpeed,itfMesMngSetDefaultSpeed_Public_Static_Void_Int32_Int32_0,100669388
itfMesMngSetFloor,itfMesMngSetFloor_Public_Static_String_Int32_0,100669380
itfMesMngSetKutiCallback,itfMesMngSetKutiCallback_Public_Static_Void_Int32_func_kutiDelegate_0,100669389
itfMesMngSetMaskSelect,itfMesMngSetMaskSelect_Public_Static_Void_Int32_UInt32_0,100669371
itfMesMngSetResourcePtr,itfMesMngSetResourcePtr_Public_Static_Object_Int32_Object_0,100669383
itfMesMngSetSelect,itfMesMngSetSelect_Public_Static_Void_Int32_Int32_0,100669372
itfMesMngSetVar,itfMesMngSetVar_Public_Static_Void_Int32_Int32_Int32_Int32_0,100669379
itfMesMngSetVarImmediate,itfMesMngSetVarImmediate_Public_Static_Void_Int32_Int32_String_0,100669381
itfMesMngSetVarImmediate2,itfMesMngSetVarImmediate2_Public_Static_Void_Int32_Int32_String_Int32_0,100669382
itfMesMngWindowType,itfMesMngWindowType_Public_Static_Int32_0,100669361
itfMesMngWindowTypeAlpha,itfMesMngWindowTypeAlpha_Public_Static_Int32_0,100669362
