token,rid,rva,name,ret,sig_line
0x060030F7,12535,0x00114B74,DAT_STR_REF_RCNAME,string,public unsafe static string DAT_STR_REF_RCNAME(int _idx)
0x060030F8,12536,0x00114BAC,DAT_STR_REF_DVNAME,string,public unsafe static string DAT_STR_REF_DVNAME(int _idx)
0x060030F9,12537,0x00114BE4,DAT_STR_REF_SKNAME,string,public unsafe static string DAT_STR_REF_SKNAME(int _idx)
0x060030FA,12538,0x00114C1C,DAT_STR_REF_ITNAME,string,public unsafe static string DAT_STR_REF_ITNAME(int _idx)
0x060030FB,12539,0x00114C54,DAT_STR_REF_DHNAME,string,public unsafe static string DAT_STR_REF_DHNAME(int _idx)
0x060030FC,12540,0x00114C8C,FR_DRAW_SPD,int,public unsafe static int FR_DRAW_SPD(_FRQ FRQ)
0x060030FD,12541,0x00114CD0,GetFRQString,string,public unsafe static string GetFRQString(_FRQ frq)
0x060030FE,12542,0x00114D0C,IsCloseWindow,bool,public unsafe static bool IsCloseWindow(int id)
0x06003100,12544,0x00114D80,ResolveResourceAddress,void,public unsafe static void ResolveResourceAddress(Il2CppSystem.Object pdata)
0x06003101,12545,0x00114DB8,GetTypeHeader,itfMesBinTypeHeader_t,"public unsafe static itfMesBinTypeHeader_t GetTypeHeader(instanceMes_tag pinst, int index)"
0x06003102,12546,0x00114E0C,GetTypeHeader2,itfMesBinTypeHeader2_t,public unsafe static itfMesBinTypeHeader2_t GetTypeHeader2(Il2CppStructArray<byte> pfileheader)
0x06003103,12547,0x00114E50,GetMessagePagePtr,Il2CppStructArray<byte>,"public unsafe static Il2CppStructArray<byte> GetMessagePagePtr(itfMesBinMesHeader_t pmesheader, Il2CppStructArray<byte> data, int page)"
0x06003104,12548,0x00114EB4,ReadytoMessage,void,"public unsafe static void ReadytoMessage(instanceMes_tag pinst, int mode = 0)"
0x06003105,12549,0x00114EF8,WindowDispOn,void,public unsafe static void WindowDispOn(int MsgID)
0x06003106,12550,0x00114F2C,WindowDispOn,void,public unsafe static void WindowDispOn(instanceMes_tag pinst)
0x06003107,12551,0x00114F64,ClearMessage,void,public unsafe static void ClearMessage()
0x06003108,12552,0x00114F8C,ClearSpeaker,void,public unsafe static void ClearSpeaker()
0x06003109,12553,0x00114FB4,WindowDispOff,void,public unsafe static void WindowDispOff(bool sw = false)
0x0600310A,12554,0x00114FE8,ForceWindowDispOff,void,public unsafe static void ForceWindowDispOff()
0x0600310B,12555,0x00115010,SelectWindowDispOn,void,public unsafe static void SelectWindowDispOn(instanceMes_tag pinst)
0x0600310C,12556,0x00115048,IsSelectWindowDispOn,bool,public unsafe static bool IsSelectWindowDispOn(bool spd)
0x0600310D,12557,0x00115088,IsSelectWindowDispOff,bool,public unsafe static bool IsSelectWindowDispOff()
0x0600310E,12558,0x001150B8,SelectWindowDispOff,void,public unsafe static void SelectWindowDispOff(instanceMes_tag pinst)
0x0600310F,12559,0x001150F0,SwitchOK,void,public unsafe static void SwitchOK(bool sw)
0x06003110,12560,0x00115124,FadeOutWindow,void,public unsafe static void FadeOutWindow()
0x06003111,12561,0x0011514C,IsFadeOutWindow,bool,public unsafe static bool IsFadeOutWindow()
0x06003112,12562,0x0011517C,FadeInWindow,void,public unsafe static void FadeInWindow()
0x06003113,12563,0x001151A4,SwitchSpeaker,void,"public unsafe static void SwitchSpeaker(bool sw, bool disp = true)"
0x06003114,12564,0x001151E4,SetMessage,void,"public unsafe static void SetMessage(GameObject obj, int line, string text)"
0x06003115,12565,0x0011523C,SetVar,void,"public unsafe static void SetVar(instanceMes_tag pinst, int index, string pstr, int length)"
0x06003116,12566,0x001152A0,CommitVarTable,void,public unsafe static void CommitVarTable(variable_tag pvar)
0x06003117,12567,0x001152D8,GetSpeakerName,Il2CppStructArray<byte>,public unsafe static Il2CppStructArray<byte> GetSpeakerName(instanceMes_tag pinst)
0x06003118,12568,0x0011531C,GetNumSelectItem,int,"public unsafe static int GetNumSelectItem(int allitem, uint mask)"
0x06003119,12569,0x00115368,GetFontHandleUnit,_FRQ,"public unsafe static _FRQ GetFontHandleUnit(Il2CppStructArray<byte> dat, Il2CppStructArray<uint> ppstr, Il2CppStructArray<int> pplen, int num, uint mask, int x, int y, uint z)"
0x0600311A,12570,0x00115418,InitializeSelectWindow,void,"public unsafe static void InitializeSelectWindow(_FRQ pFRQ, int max)"
0x0600311B,12571,0x0011545C,UnchainFontHandleUnit,_FRQ,"public unsafe static _FRQ UnchainFontHandleUnit(_FRQ pfont, int index, int lines)"
0x0600311C,12572,0x001154BC,ChangeFontPosition,void,"public unsafe static void ChangeFontPosition(_FRQ pfont, int dist_x, int dist_y)"
0x0600311D,12573,0x00115510,ChangeZBuffer,void,"public unsafe static void ChangeZBuffer(_FRQ pfont, uint z)"
0x0600311E,12574,0x00115554,ChangeSelection,void,"public unsafe static void ChangeSelection(int index, int onoff)"
0x0600311F,12575,0x00115594,ChangeFontColorAll,void,"public unsafe static void ChangeFontColorAll(_FRQ pfont, int color)"
0x06003120,12576,0x001155D8,ChangeFontAlpha,void,"public unsafe static void ChangeFontAlpha(_FRQ pfont, int alpha)"
0x06003121,12577,0x0011561C,GetMaskedIndex,int,"public unsafe static int GetMaskedIndex(int index, uint mask)"
0x06003122,12578,0x00115668,RaiseMessageSpeedMax,void,public unsafe static void RaiseMessageSpeedMax(_FRQ pfont)
