base,il2cpp_token,field
CalcCurCtr,100669401,CalcCurCtr_Private_Static_Void_instanceMes_tag_0
CalcManagerProc,100669407,CalcManagerProc_Private_Static_dds3ProcessFunc_t_dds3ProcessID_t_0
CalcMesFlow,100669339,CalcMesFlow_Internal_Static_Void_instanceMes_tag_0
CalcMessage,100669341,CalcMessage_Internal_Static_Void_instanceMes_tag_0
CalcSelect,100669396,CalcSelect_Private_Static_Void_instanceMes_tag_0
CalcWindow,100669340,CalcWindow_Internal_Static_Void_instanceMes_tag_0
CallEventVoice,100669411,CallEventVoice_Internal_Static_Void_instanceMes_tag_0
ChangeFontAlpha,100669322,ChangeFontAlpha_Internal_Static_Void__FRQ_Int32_0
ChangeFontColorAll,100669321,ChangeFontColorAll_Internal_Static_Void__FRQ_Int32_0
ChangeFontPosition,100669318,ChangeFontPosition_Internal_Static_Void__FRQ_Int32_Int32_0
ChangeSelection,100669320,ChangeSelection_Internal_Static_Void_Int32_Int32_0
ChangeZBuffer,100669319,ChangeZBuffer_Internal_Static_Void__FRQ_UInt32_0
ClearMessage,100669297,ClearMessage_Internal_Static_Void_0
ClearSpeaker,100669298,ClearSpeaker_Internal_Static_Void_0
CommitVarTable,100669312,CommitVarTable_Internal_Static_Void_variable_tag_0
ConvertZenkakuNumber,100669337,ConvertZenkakuNumber_Internal_Static_Void_byref_String_Int32_0
CountLineMessage,100669395,CountLineMessage_Private_Static_Int32__FRQ__FRQ_0
DAT_STR_REF_DHNAME,100669285,DAT_STR_REF_DHNAME_Private_Static_String_Int32_0
DAT_STR_REF_DVNAME,100669282,DAT_STR_REF_DVNAME_Private_Static_String_Int32_0
DAT_STR_REF_ITNAME,100669284,DAT_STR_REF_ITNAME_Private_Static_String_Int32_0
DAT_STR_REF_RCNAME,100669281,DAT_STR_REF_RCNAME_Private_Static_String_Int32_0
DAT_STR_REF_SKNAME,100669283,DAT_STR_REF_SKNAME_Private_Static_String_Int32_0
DebugDrawWindowLine,100669409,DebugDrawWindowLine_Private_Static_Void_itfpanel_t_0
DestructFlow,100669289,DestructFlow_Internal_Static_Void_Int32_0
DrawManagerProc,100669408,DrawManagerProc_Private_Static_dds3ProcessFunc_t_dds3ProcessID_t_0
DrawMesFlow,100669402,DrawMesFlow_Private_Static_Void_instanceMes_tag_0
DrawMessage,100669404,DrawMessage_Internal_Static_Int32__FRQ_0
DrawSelection,100669405,DrawSelection_Internal_Static_Int32_UInt32_Boolean_0
DrawSpeaker,100669403,DrawSpeaker_Internal_Static_Void__FRQ_0
DrawWindow,100669406,DrawWindow_Private_Static_Void_instanceMes_tag_0
ExitALL,100669391,ExitALL_Private_Static_Void_0
FR_DRAW_SPD,100669286,FR_DRAW_SPD_Private_Static_Int32__FRQ_0
FadeInWindow,100669308,FadeInWindow_Internal_Static_Void_0
FadeOutWindow,100669306,FadeOutWindow_Internal_Static_Void_0
FinalDanteEventMsg,100669416,FinalDanteEventMsg_Public_Static_Void_0
ForceSetCurCtr,100669334,ForceSetCurCtr_Internal_Static_Void_curctr_tag_Int16_Int16_Int16_0
ForceWindowDispOff,100669300,ForceWindowDispOff_Public_Static_Void_0
GetDataBytes,100669410,GetDataBytes_Internal_Static_Il2CppStructArray_1_Byte_Il2CppStructArray_1_Byte_Int32_Int32_0
GetFRQString,100669287,GetFRQString_Internal_Static_String__FRQ_0
GetFontHandleUnit,100669315,GetFontHandleUnit_Internal_Static__FRQ_Il2CppStructArray_1_Byte_Il2CppStructArray_1_UInt32_Il2CppStructArray_1_Int32_Int32_UInt32_Int32_Int32_UInt32_0
GetLastLinkFontHandle,100669393,GetLastLinkFontHandle_Public_Static__FRQ__FRQ_0
GetLastMessagePara,100669394,GetLastMessagePara_Internal_Static_Void__FRQ_message_tag_0
GetMaskedIndex,100669323,GetMaskedIndex_Internal_Static_Int32_Int32_UInt32_0
GetMessagePagePtr,100669293,GetMessagePagePtr_Internal_Static_Il2CppStructArray_1_Byte_itfMesBinMesHeader_t_Il2CppStructArray_1_Byte_Int32_0
