base,il2cpp_token,field
BeginInvoke,100669471,BeginInvoke_Public_Virtual_New_IAsyncResult_itfpanel_t_sdfDrawTag_t_AsyncCallback_Object_0
CreateColorFacility,100669451,CreateColorFacility_Internal_Static_Void_itfPanelTypeWork_t_Int32_Int32_Int32_Int32_0
CreateColorLeftFade,100669450,CreateColorLeftFade_Internal_Static_Void_itfPanelTypeWork_t_Int32_Int32_Int32_Int32_0
CreateColorMesWin,100669446,CreateColorMesWin_Internal_Static_Void_itfPanelTypeWork_t_Int32_Int32_Int32_Int32_0
CreateColorNormal,100669445,CreateColorNormal_Internal_Static_Void_itfPanelTypeWork_t_Int32_Int32_Int32_Int32_0
CreateColorPera1,100669449,CreateColorPera1_Internal_Static_Void_itfPanelTypeWork_t_Int32_Int32_Int32_Int32_0
CreateColorPlain,100669448,CreateColorPlain_Internal_Static_Void_itfPanelTypeWork_t_Int32_Int32_Int32_Int32_0
CreateColorSelWin,100669447,CreateColorSelWin_Internal_Static_Void_itfPanelTypeWork_t_Int32_Int32_Int32_Int32_0
CreateVertexFacility,100669444,CreateVertexFacility_Internal_Static_Void_itfPanelTypeWork_t_Int32_Int32_Int32_Int32_0
CreateVertexLeftFade,100669443,CreateVertexLeftFade_Internal_Static_Void_itfPanelTypeWork_t_Int32_Int32_Int32_Int32_0
CreateVertexMesWin,100669440,CreateVertexMesWin_Internal_Static_Void_itfPanelTypeWork_t_Int32_Int32_Int32_Int32_0
CreateVertexNormal,100669439,CreateVertexNormal_Internal_Static_Void_itfPanelTypeWork_t_Int32_Int32_Int32_Int32_0
CreateVertexPlain,100669442,CreateVertexPlain_Internal_Static_Void_itfPanelTypeWork_t_Int32_Int32_Int32_Int32_0
CreateVertexSelWin,100669441,CreateVertexSelWin_Internal_Static_Void_itfPanelTypeWork_t_Int32_Int32_Int32_Int32_0
DrawFacility,100669460,DrawFacility_Internal_Static_Void_itfpanel_t_sdfDrawTag_t_0
DrawLeftFade,100669457,DrawLeftFade_Internal_Static_Void_itfpanel_t_sdfDrawTag_t_0
DrawMesWin,100669453,DrawMesWin_Internal_Static_Void_itfpanel_t_sdfDrawTag_t_0
DrawMesWin2,100669458,DrawMesWin2_Internal_Static_Void_itfpanel_t_sdfDrawTag_t_0
DrawNormal,100669452,DrawNormal_Internal_Static_Void_itfpanel_t_sdfDrawTag_t_0
DrawPera1,100669456,DrawPera1_Internal_Static_Void_itfpanel_t_sdfDrawTag_t_0
DrawPlain,100669455,DrawPlain_Internal_Static_Void_itfpanel_t_sdfDrawTag_t_0
DrawSelWin,100669454,DrawSelWin_Internal_Static_Void_itfpanel_t_sdfDrawTag_t_0
DrawSpkWin2,100669459,DrawSpkWin2_Internal_Static_Void_itfpanel_t_sdfDrawTag_t_0
DrawTestAlphaPrim,100669461,DrawTestAlphaPrim_Internal_Static_Void_sdfDrawTag_t_0
EndInvoke,100669472,EndInvoke_Public_Virtual_New_Void_IAsyncResult_0
Invoke,100669470,Invoke_Public_Virtual_New_Void_itfpanel_t_sdfDrawTag_t_0
_ctor,100669469,_ctor_Public_Void_Object_IntPtr_0
itfPnlDraw,100669467,itfPnlDraw_Public_Static_Void_itfpanel_t_sdfGrOt_t_0
itfPnlRegist2,100669462,itfPnlRegist2_Public_Static_itfpanel_t_Int32_sdfTexHandle_t_0
itfPnlRelease,100669463,itfPnlRelease_Public_Static_Void_itfpanel_t_0
itfPnlSetColor,100669466,itfPnlSetColor_Public_Static_Void_itfpanel_t_Int32_Int32_Int32_Int32_0
itfPnlSetPosition,100669464,itfPnlSetPosition_Public_Static_Void_itfpanel_t_Int32_Int32_Int32_Int32_UInt32_0
itfPnlSetPositionOffset,100669465,itfPnlSetPositionOffset_Public_Static_Void_itfpanel_t_Int32_Int32_Int32_Int32_UInt32_0
