struct,type,name,kind
message_tag,sdfIVector2_t,pos,unsafe_property
message_tag,itfMesBinMesHeader_t,pbinheader,unsafe_property
message_tag,_FRQ,pfont,unsafe_property
message_tag,sbyte,phase,unsafe_property
message_tag,byte,wait,unsafe_property
message_tag,byte,last_style,unsafe_property
message_tag,byte,last_col,unsafe_property
message_tag,byte,last_tp,unsafe_property
message_tag,byte,last_spd,unsafe_property
message_tag,short,lines,unsafe_property
message_tag,short,page,unsafe_property
message_tag,short,maxpage,unsafe_property
message_tag,int,callmode,unsafe_property
instanceMes_tag,uint,stat,unsafe_property
instanceMes_tag,Il2CppSystem.Object,pdata,unsafe_property
instanceMes_tag,Il2CppSystem.Object,pext,unsafe_property
instanceMes_tag,uint,z,unsafe_property
instanceMes_tag,short,otindex,unsafe_property
instanceMes_tag,short,type,unsafe_property
instanceMes_tag,Speaker_tag,speaker,unsafe_property
instanceMes_tag,message_tag,message,unsafe_property
instanceMes_tag,select_tag,select,unsafe_property
instanceMes_tag,window_tag,window,unsafe_property
instanceMes_tag,variable_tag,variable,unsafe_property
instanceMes_tag,curctr_tag,curctr,unsafe_property
instanceMes_tag,instanceMes_tag.func_kutiDelegate,func_kuti,unsafe_property
instanceMes_tag,Il2CppStringArray,master_text,unsafe_property
instanceMes_tag,string,key,unsafe_property
instanceMes_tag,int,id,unsafe_property
mesflow_tag,itfmisclinkheader_t,linkheader,unsafe_property
mesflow_tag,instanceMes_tag,pinst,unsafe_property
mesflow_tag,sdfMemHandle_t,memhandle,unsafe_property
Speaker_tag,sdfIVector2_t,pos,unsafe_property
Speaker_tag,_FRQ,pfont,unsafe_property
Speaker_tag,ushort,num,unsafe_property
select_tag,sdfIVector2_t,pos,unsafe_property
select_tag,_FRQ,pfont,unsafe_property
select_tag,uint,mask,unsafe_property
select_tag,short,phase,unsafe_property
select_tag,short,select,unsafe_property
select_tag,short,select_imm,unsafe_property
select_tag,short,lines,unsafe_property
select_tag,short,alpha,unsafe_property
select_tag,short,numdef,unsafe_property
select_tag,Il2CppReferenceArray<defkey_tag>,defkey,unsafe_property
window_tag,itfpanel_t,spk,unsafe_property
window_tag,itfpanel_t,mes,unsafe_property
window_tag,sdfIVector4_t,mes_offset,unsafe_property
window_tag,sdfIVector4_t,mes_color,unsafe_property
variable_tag,Il2CppStringArray,pptr,unsafe_property
variable_tag,Il2CppReferenceArray<sdfMemHandle_t>,pmh,unsafe_property
curctr_tag,byte,isdraw,unsafe_property
curctr_tag,short,phase,unsafe_property
curctr_tag,short,ctr0,unsafe_property
curctr_tag,short,ctr1,unsafe_property
curctr_tag,uint,ctr_key,unsafe_property
defkey_tag,short,key,unsafe_property
defkey_tag,short,index,unsafe_property
itfpanel_t,itfPanelTypeWork_t,pwork,unsafe_property
itfpanel_t,int,type,unsafe_property
itfpanel_t,uint,z,unsafe_property
itfpanel_t,sdfIVector4_t,pos,unsafe_property
itfpanel_t,sdfIVector4_t,color,unsafe_property
itfMesBinFileHeader_t,byte,filetype,field
itfMesBinFileHeader_t,byte,format,field
itfMesBinFileHeader_t,short,user_id,field
itfMesBinFileHeader_t,uint,filesize,field
itfMesBinFileHeader_t,uint,mgc,field
itfMesBinFileHeader_t,uint,extsize,field
itfMesBinFileHeader_t,uint,ofs_addrinfo,field
itfMesBinFileHeader_t,uint,size_addrinfo,field
itfMesBinFileHeader_t,uint,numtypeheader,field
itfMesBinFileHeader_t,byte,resolveaddress,field
itfMesBinFileHeader_t,byte,reserved0,field
itfMesBinFileHeader_t,ushort,version,field
itfMesBinTypeHeader_t,uint,type,unsafe_property
itfMesBinTypeHeader_t,int,ptr,unsafe_property
itfMesBinTypeHeader2_t,int,ppspkhead,unsafe_property
itfMesBinTypeHeader2_t,int,spknum,unsafe_property
itfMesBinTypeHeader2_t,int,pextdata,unsafe_property
itfMesBinTypeHeader2_t,uint,reserved,unsafe_property
itfMesBinMesHeader_t,Il2CppStructArray<byte>,label,unsafe_property
itfMesBinMesHeader_t,short,page,unsafe_property
itfMesBinMesHeader_t,ushort,speaker,unsafe_property
itfMesBinMesHeader_t,Il2CppStructArray<uint>,addr,unsafe_property
itfMesBinMesHeader_t,Il2CppStructArray<int>,len,unsafe_property
itfMesBinSelHeader_t,Il2CppStructArray<byte>,label,unsafe_property
itfMesBinSelHeader_t,short,ext,unsafe_property
itfMesBinSelHeader_t,short,item,unsafe_property
itfMesBinSelHeader_t,short,pattern,unsafe_property
itfMesBinSelHeader_t,ushort,reserved,unsafe_property
itfMesBinSelHeader_t,Il2CppStructArray<uint>,ptr,unsafe_property
itfMesBinSelHeader_t,Il2CppStructArray<int>,len,unsafe_property
