field,method_name,signature_line,signature_line_no,caller_count,RefRangeStart,RefRangeEnd,XrefRangeStart,XrefRangeEnd,il2cpp_token
WindowDispOff_Internal_Static_Void_Boolean_0,WindowDispOff,public unsafe static void WindowDispOff(bool sw = false),423,12,5469905,5469917,5469899,5469905,100669299
SwitchSpeaker_Internal_Static_Void_Boolean_Boolean_0,SwitchSpeaker,"public unsafe static void SwitchSpeaker(bool sw, bool disp = true)",541,11,5470040,5470051,5470020,5470040,100669309
itfMesMngInitialize_Public_Static_Int32_Object_Il2CppStringArray_String_0,itfMesMngInitialize,"public unsafe static int itfMesMngInitialize(Il2CppSystem.Object presource, Il2CppStringArray master_text = null, string key = null)",1236,11,5470544,5470555,5470488,5470544,100669364
itfMesMngRelease_Public_Static_Void_Int32_0,itfMesMngRelease,public unsafe static void itfMesMngRelease(int id),1251,11,5470561,5470572,5470555,5470561,100669365
itfMesMngSetVar_Public_Static_Void_Int32_Int32_Int32_Int32_0,itfMesMngSetVar,"public unsafe static void itfMesMngSetVar(int id, int index, int num, int type)",1436,9,5470871,5470880,5470853,5470871,100669379
ChangeSelection_Internal_Static_Void_Int32_Int32_0,ChangeSelection,"public unsafe static void ChangeSelection(int index, int onoff)",697,8,5470217,5470225,5470156,5470217,100669320
FadeOutWindow_Internal_Static_Void_0,FadeOutWindow,public unsafe static void FadeOutWindow(),507,7,5469994,5470001,5469983,5469994,100669306
MsgWndSetActive_Public_Static_Void_Int32_Boolean_0,MsgWndSetActive,"public unsafe static void MsgWndSetActive(int i, bool sw)",1935,6,5471783,5471789,5471775,5471783,100669417
SwitchOK_Internal_Static_Void_Boolean_0,SwitchOK,public unsafe static void SwitchOK(bool sw),495,6,5469977,5469983,5469974,5469977,100669305
ClearMessage_Internal_Static_Void_0,ClearMessage,public unsafe static void ClearMessage(),401,4,5469874,5469878,5469873,5469874,100669297
WindowDispOn_Internal_Static_Void_instanceMes_tag_0,WindowDispOn,public unsafe static void WindowDispOn(instanceMes_tag pinst),389,4,5469869,5469873,5469814,5469869,100669296
itfMesMngRequestMessageRelease_Public_Static_Void_Int32_Int32_0,itfMesMngRequestMessageRelease,"public unsafe static void itfMesMngRequestMessageRelease(int id, int cls_speaker)",1294,4,5470709,5470713,5470706,5470709,100669368
GetTypeHeader2_Internal_Static_itfMesBinTypeHeader2_t_Il2CppStructArray_1_Byte_0,GetTypeHeader2,public unsafe static itfMesBinTypeHeader2_t GetTypeHeader2(Il2CppStructArray<byte> pfileheader),334,3,5469716,5469719,5469714,5469716,100669292
MsgWndActiveSelf_Internal_Static_Boolean_Int32_0,MsgWndActiveSelf,public unsafe static bool MsgWndActiveSelf(int i),1948,3,5471802,5471805,5471789,5471802,100669418
