field,method_name,signature_line,signature_line_no,caller_count,RefRangeStart,RefRangeEnd,XrefRangeStart,XrefRangeEnd,base,il2cpp_token
WindowDispOff_Internal_Static_Void_Boolean_0,WindowDispOff,public unsafe static void WindowDispOff(bool sw = false),423,12,5469905,5469917,5469899,5469905,WindowDispOff,100669299
SwitchSpeaker_Internal_Static_Void_Boolean_Boolean_0,SwitchSpeaker,"public unsafe static void SwitchSpeaker(bool sw, bool disp = true)",541,11,5470040,5470051,5470020,5470040,SwitchSpeaker,100669309
itfMesMngInitialize_Public_Static_Int32_Object_Il2CppStringArray_String_0,itfMesMngInitialize,"public unsafe static int itfMesMngInitialize(Il2CppSystem.Object presource, Il2CppStringArray master_text = null, string key = null)",1236,11,5470544,5470555,5470488,5470544,itfMesMngInitialize,100669364
itfMesMngRelease_Public_Static_Void_Int32_0,itfMesMngRelease,public unsafe static void itfMesMngRelease(int id),1251,11,5470561,5470572,5470555,5470561,itfMesMngRelease,100669365
itfMesMngSetVar_Public_Static_Void_Int32_Int32_Int32_Int32_0,itfMesMngSetVar,"public unsafe static void itfMesMngSetVar(int id, int index, int num, int type)",1436,9,5470871,5470880,5470853,5470871,itfMesMngSetVar,100669379
ClearMessage_Internal_Static_Void_0,ClearMessage,public unsafe static void ClearMessage(),401,4,5469874,5469878,5469873,5469874,ClearMessage,100669297
WindowDispOn_Internal_Static_Void_instanceMes_tag_0,WindowDispOn,public unsafe static void WindowDispOn(instanceMes_tag pinst),389,4,5469869,5469873,5469814,5469869,WindowDispOn,100669296
itfMesMngRequestMessageRelease_Public_Static_Void_Int32_Int32_0,itfMesMngRequestMessageRelease,"public unsafe static void itfMesMngRequestMessageRelease(int id, int cls_speaker)",1294,4,5470709,5470713,5470706,5470709,itfMesMngRequestMessageRelease,100669368
GetTypeHeader2_Internal_Static_itfMesBinTypeHeader2_t_Il2CppStructArray_1_Byte_0,GetTypeHeader2,public unsafe static itfMesBinTypeHeader2_t GetTypeHeader2(Il2CppStructArray<byte> pfileheader),334,3,5469716,5469719,5469714,5469716,GetTypeHeader2,100669292
itfMesMngRequestMessage_Public_Static_Int32_Int32_Int32_Int32_Int32_0,itfMesMngRequestMessage,"public unsafe static int itfMesMngRequestMessage(int id, int message, int page, int callmode = 0)",1263,3,5470684,5470687,5470572,5470684,itfMesMngRequestMessage,100669366
itfMesMngRequestSelectRelease_Public_Static_Void_Int32_0,itfMesMngRequestSelectRelease,public unsafe static void itfMesMngRequestSelectRelease(int id),1320,3,5470794,5470797,5470793,5470794,itfMesMngRequestSelectRelease,100669370
ForceWindowDispOff_Public_Static_Void_0,ForceWindowDispOff,public unsafe static void ForceWindowDispOff(),435,2,5469926,5469928,5469917,5469926,ForceWindowDispOff,100669300
GetSpeakerName_Internal_Static_Il2CppStructArray_1_Byte_instanceMes_tag_0,GetSpeakerName,public unsafe static Il2CppStructArray<byte> GetSpeakerName(instanceMes_tag pinst),595,2,5470105,5470107,5470080,5470105,GetSpeakerName,100669313
GetTypeHeader_Internal_Static_itfMesBinTypeHeader_t_instanceMes_tag_Int32_0,GetTypeHeader,"public unsafe static itfMesBinTypeHeader_t GetTypeHeader(instanceMes_tag pinst, int index)",319,2,5469712,5469714,5469709,5469712,GetTypeHeader,100669291
itfMesMngGetSelectNo_Public_Static_Int32_Int32_0,itfMesMngGetSelectNo,public unsafe static int itfMesMngGetSelectNo(int msgid),1045,2,5470395,5470397,5470394,5470395,itfMesMngGetSelectNo,100669348
itfMesMngRequestSelect_Public_Static_Void_Int32_Int32_0,itfMesMngRequestSelect,"public unsafe static void itfMesMngRequestSelect(int id, int select)",1307,2,5470791,5470793,5470713,5470791,itfMesMngRequestSelect,100669369
itfMesMngSetKutiCallback_Public_Static_Void_Int32_func_kutiDelegate_0,itfMesMngSetKutiCallback,"public unsafe static void itfMesMngSetKutiCallback(int id, instanceMes_tag.func_kutiDelegate func)",1580,2,5470956,5470958,5470952,5470956,itfMesMngSetKutiCallback,100669389
