field,method_name,signature_line,signature_line_no,caller_count,RefRangeStart,RefRangeEnd,XrefRangeStart,XrefRangeEnd,base,il2cpp_token
itfPnlDraw_Public_Static_Void_itfpanel_t_sdfGrOt_t_0,itfPnlDraw,"public unsafe static void itfPnlDraw(itfpanel_t handle, sdfGrOt_t pot)",497,4323,2667157,2671480,2667157,2671480,itfPnlDraw,100669467
_ctor_Public_Void_Object_IntPtr_0,g_pdrawDelegate,"public unsafe g_pdrawDelegate(Il2CppSystem.Object @object, System.IntPtr method) : this(IL2CPP.il2cpp_object_new(Il2CppClassPointerStore<itfPanel.g_pdrawDelegate>.NativeClassPtr))",1246,1030,2665970,2667000,2665970,2667000,_ctor,100669469
DrawTestAlphaPrim_Internal_Static_Void_sdfDrawTag_t_0,DrawTestAlphaPrim,public unsafe static void DrawTestAlphaPrim(sdfDrawTag_t pdrawtag),408,7,5472509,5472516,5472500,5472509,DrawTestAlphaPrim,100669461
itfPnlRelease_Public_Static_Void_itfpanel_t_0,itfPnlRelease,public unsafe static void itfPnlRelease(itfpanel_t handle),435,3,5472530,5472533,5472525,5472530,itfPnlRelease,100669463
itfPnlRegist2_Public_Static_itfpanel_t_Int32_sdfTexHandle_t_0,itfPnlRegist2,"public unsafe static itfpanel_t itfPnlRegist2(int type, sdfTexHandle_t texhandle)",420,2,5472523,5472525,5472516,5472523,itfPnlRegist2,100669462
itfPnlSetColor_Public_Static_Void_itfpanel_t_Int32_Int32_Int32_Int32_0,itfPnlSetColor,"public unsafe static void itfPnlSetColor(itfpanel_t handle, int r, int g, int b, int a)",481,2,5472552,5472554,5472548,5472552,itfPnlSetColor,100669466
itfPnlSetPosition_Public_Static_Void_itfpanel_t_Int32_Int32_Int32_Int32_UInt32_0,itfPnlSetPosition,"public unsafe static void itfPnlSetPosition(itfpanel_t handle, int x0, int y0, int x1, int y1, uint z)",447,2,5472540,5472542,5472533,5472540,itfPnlSetPosition,100669464
itfPnlSetPositionOffset_Public_Static_Void_itfpanel_t_Int32_Int32_Int32_Int32_UInt32_0,itfPnlSetPositionOffset,"public unsafe static void itfPnlSetPositionOffset(itfpanel_t handle, int x0, int y0, int x1, int y1, uint z)",464,2,5472546,5472548,5472542,5472546,itfPnlSetPositionOffset,100669465
CreateColorLeftFade_Internal_Static_Void_itfPanelTypeWork_t_Int32_Int32_Int32_Int32_0,CreateColorLeftFade,"public unsafe static void CreateColorLeftFade(itfPanelTypeWork_t pwork, int red, int green, int blue, int alpha)",259,1,5472240,5472241,5472240,5472241,CreateColorLeftFade,100669450
CreateColorNormal_Internal_Static_Void_itfPanelTypeWork_t_Int32_Int32_Int32_Int32_0,CreateColorNormal,"public unsafe static void CreateColorNormal(itfPanelTypeWork_t pwork, int red, int green, int blue, int alpha)",180,1,5472240,5472241,5472240,5472240,CreateColorNormal,100669445
CreateVertexNormal_Internal_Static_Void_itfPanelTypeWork_t_Int32_Int32_Int32_Int32_0,CreateVertexNormal,"public unsafe static void CreateVertexNormal(itfPanelTypeWork_t pwork, int x0, int y0, int x1, int y1)",85,1,5472213,5472214,5472210,5472213,CreateVertexNormal,100669439
Invoke_Public_Virtual_New_Void_itfpanel_t_sdfDrawTag_t_0,Invoke,"public unsafe void Invoke(itfpanel_t UnnamedParameter, sdfDrawTag_t UnnamedParameter2)",1259,1,5472208,5472209,5472174,5472208,Invoke,100669470
BeginInvoke_Public_Virtual_New_IAsyncResult_itfpanel_t_sdfDrawTag_t_AsyncCallback_Object_0,BeginInvoke,"public unsafe Il2CppSystem.IAsyncResult BeginInvoke(itfpanel_t UnnamedParameter, sdfDrawTag_t UnnamedParameter2, Il2CppSystem.AsyncCallback callback, Il2CppSystem.Object @object)",1273,0,0,0,5472209,5472210,BeginInvoke,100669471
CreateColorFacility_Internal_Static_Void_itfPanelTypeWork_t_Int32_Int32_Int32_Int32_0,CreateColorFacility,"public unsafe static void CreateColorFacility(itfPanelTypeWork_t pwork, int red, int green, int blue, int alpha)",275,0,0,0,5472264,5472269,CreateColorFacility,100669451
CreateColorMesWin_Internal_Static_Void_itfPanelTypeWork_t_Int32_Int32_Int32_Int32_0,CreateColorMesWin,"public unsafe static void CreateColorMesWin(itfPanelTypeWork_t pwork, int red, int green, int blue, int alpha)",196,0,0,0,5472241,5472248,CreateColorMesWin,100669446
CreateColorPera1_Internal_Static_Void_itfPanelTypeWork_t_Int32_Int32_Int32_Int32_0,CreateColorPera1,"public unsafe static void CreateColorPera1(itfPanelTypeWork_t pwork, int red, int green, int blue, int alpha)",243,0,0,0,5472255,5472264,CreateColorPera1,100669449
CreateColorPlain_Internal_Static_Void_itfPanelTypeWork_t_Int32_Int32_Int32_Int32_0,CreateColorPlain,"public unsafe static void CreateColorPlain(itfPanelTypeWork_t pwork, int red, int green, int blue, int alpha)",228,0,0,0,5472255,5472264,CreateColorPlain,100669448
CreateColorSelWin_Internal_Static_Void_itfPanelTypeWork_t_Int32_Int32_Int32_Int32_0,CreateColorSelWin,"public unsafe static void CreateColorSelWin(itfPanelTypeWork_t pwork, int red, int green, int blue, int alpha)",212,0,0,0,5472248,5472255,CreateColorSelWin,100669447
CreateVertexFacility_Internal_Static_Void_itfPanelTypeWork_t_Int32_Int32_Int32_Int32_0,CreateVertexFacility,"public unsafe static void CreateVertexFacility(itfPanelTypeWork_t pwork, int x0, int y0, int x1, int y1)",164,0,0,0,5472235,5472240,CreateVertexFacility,100669444
CreateVertexLeftFade_Internal_Static_Void_itfPanelTypeWork_t_Int32_Int32_Int32_Int32_0,CreateVertexLeftFade,"public unsafe static void CreateVertexLeftFade(itfPanelTypeWork_t pwork, int x0, int y0, int x1, int y1)",148,0,0,0,5472230,5472235,CreateVertexLeftFade,100669443
CreateVertexMesWin_Internal_Static_Void_itfPanelTypeWork_t_Int32_Int32_Int32_Int32_0,CreateVertexMesWin,"public unsafe static void CreateVertexMesWin(itfPanelTypeWork_t pwork, int x0, int y0, int x1, int y1)",101,0,0,0,5472214,5472225,CreateVertexMesWin,100669440
CreateVertexPlain_Internal_Static_Void_itfPanelTypeWork_t_Int32_Int32_Int32_Int32_0,CreateVertexPlain,"public unsafe static void CreateVertexPlain(itfPanelTypeWork_t pwork, int x0, int y0, int x1, int y1)",132,0,0,0,5472225,5472230,CreateVertexPlain,100669442
CreateVertexSelWin_Internal_Static_Void_itfPanelTypeWork_t_Int32_Int32_Int32_Int32_0,CreateVertexSelWin,"public unsafe static void CreateVertexSelWin(itfPanelTypeWork_t pwork, int x0, int y0, int x1, int y1)",117,0,0,0,5472225,5472230,CreateVertexSelWin,100669441
DrawFacility_Internal_Static_Void_itfpanel_t_sdfDrawTag_t_0,DrawFacility,"public unsafe static void DrawFacility(itfpanel_t handle, sdfDrawTag_t pdrawtag)",395,0,0,0,5472487,5472500,DrawFacility,100669460
DrawLeftFade_Internal_Static_Void_itfpanel_t_sdfDrawTag_t_0,DrawLeftFade,"public unsafe static void DrawLeftFade(itfpanel_t handle, sdfDrawTag_t pdrawtag)",356,0,0,0,5472326,5472342,DrawLeftFade,100669457
