field,method_name,signature_line,signature_line_no,caller_count,RefRangeStart,RefRangeEnd,XrefRangeStart,XrefRangeEnd,il2cpp_token
_ctor_Public_Void_Object_IntPtr_0,flowDelegate,"public unsafe flowDelegate(Il2CppSystem.Object @object, System.IntPtr method) : this(IL2CPP.il2cpp_object_new(Il2CppClassPointerStore<nbNegoProcess.flowDelegate>.NativeClassPtr))",1218,1030,2665970,2667000,2665970,2667000,100672270
nbAddNegoIdKouho_Public_Static_Void_byref_nbNegoProcessData_t_UInt32_0,nbAddNegoIdKouho,"public unsafe static void nbAddNegoIdKouho(ref nbNegoProcessData_t n, uint id)",160,348,5533217,5533565,5533213,5533217,100672225
nbDispNegoMessage_Public_Static_Void_byref_nbNegoProcessData_t_Int32_Int32_Int32_0,nbDispNegoMessage,"public unsafe static void nbDispNegoMessage(ref nbNegoProcessData_t n, int msgid, int msgno, int sel)",254,120,5533615,5533735,5533612,5533615,100672231
nbSetNegoNoMotion_Public_Static_Int32_byref_nbNegoProcessData_t_byref_nbFormation_t_0,nbSetNegoNoMotion,"public unsafe static int nbSetNegoNoMotion(ref nbNegoProcessData_t n, ref nbFormation_t form)",780,22,5534049,5534071,5534039,5534049,100672257
nbMemoryLoadNegoSe_Private_Static_Int32_nbFormation_t_0,nbMemoryLoadNegoSe,public unsafe static int nbMemoryLoadNegoSe(nbFormation_t form),118,20,5301622,5301642,5301622,5301642,100672222
nbSetMesMakka_Public_Static_Void_Int32_Int32_0,nbSetMesMakka,"public unsafe static void nbSetMesMakka(int msgid, int i)",212,15,5533572,5533587,5533568,5533572,100672228
nbSetNegoYesMotion_Public_Static_Int32_byref_nbNegoProcessData_t_byref_nbFormation_t_0,nbSetNegoYesMotion,"public unsafe static int nbSetNegoYesMotion(ref nbNegoProcessData_t n, ref nbFormation_t form)",802,14,5534075,5534089,5534071,5534075,100672258
nbSetMesItem_Public_Static_Void_Int32_Int32_0,nbSetMesItem,"public unsafe static void nbSetMesItem(int msgid, int it)",225,12,5533590,5533602,5533587,5533590,100672229
GET_NEGO_PROCID_Private_Static_Int32_UInt32_0,GET_NEGO_PROCID,public unsafe static int GET_NEGO_PROCID(uint x),80,10,5468222,5468232,5468222,5468232,100672219
nbSetNegoMesVar_Public_Static_Void_Int32_byref_datUnitWork_t_byref_datUnitWork_t_0,nbSetNegoMesVar,"public unsafe static void nbSetNegoMesVar(int msgid, ref datUnitWork_t p, ref datUnitWork_t e)",290,8,5533771,5533779,5533751,5533771,100672233
GetMsgList_Private_Static_Object_Int32_Int32_0,GetMsgList,"public unsafe static Il2CppSystem.Object GetMsgList(int ekucyo, int idx)",131,7,5533181,5533188,5532909,5533181,100672223
nbClsNegoMessage_Public_Static_Void_byref_nbNegoProcessData_t_0,nbClsNegoMessage,public unsafe static void nbClsNegoMessage(ref nbNegoProcessData_t n),238,5,5533607,5533612,5533602,5533607,100672230
nbGetHojoSkillWorkCnt_Public_Static_Int32_byref_nbNegoProcessData_t_0,nbGetHojoSkillWorkCnt,public unsafe static int nbGetHojoSkillWorkCnt(ref nbNegoProcessData_t n),650,4,5533897,5533901,5533897,5533897,100672249
nbGetNegoYaruItemB_Public_Static_Int32_byref_datUnitWork_t_0,nbGetNegoYaruItemB,public unsafe static int nbGetNegoYaruItemB(ref datUnitWork_t w),719,4,5533979,5533983,5533971,5533979,100672253
nbGetNegoYaruMakkaB_Public_Static_Int32_byref_nbNegoProcessData_t_byref_datUnitWork_t_byref_datUnitWork_t_0,nbGetNegoYaruMakkaB,"public unsafe static int nbGetNegoYaruMakkaB(ref nbNegoProcessData_t n, ref datUnitWork_t a, ref datUnitWork_t b)",339,4,5533789,5533793,5533788,5533789,100672235
nbSearchHojoSkillWork_Public_Static_UInt32_byref_nbNegoProcessData_t_Int32_0,nbSearchHojoSkillWork,"public unsafe static uint nbSearchHojoSkillWork(ref nbNegoProcessData_t n, int type)",667,4,5533921,5533925,5533901,5533921,100672250
NegoDebugDraw_Private_Static_Void_byref_nbNegoProcessData_t_0,NegoDebugDraw,public unsafe static void NegoDebugDraw(ref nbNegoProcessData_t n),841,3,5534160,5534163,5534101,5534160,100672260
nbGetInfoMsg_Public_Static_Int32_Int32_0,nbGetInfoMsg,public unsafe static int nbGetInfoMsg(int infotype),753,3,5534030,5534033,5533991,5534030,100672255
nbGetBackNoNegoId_Public_Static_UInt32_byref_nbNegoProcessData_t_Int32_0,nbGetBackNoNegoId,"public unsafe static uint nbGetBackNoNegoId(ref nbNegoProcessData_t n, int a)",194,2,5533566,5533568,5533566,5533566,100672227
nbGetNegoKureMakkaA_Public_Static_Int32_byref_nbNegoProcessData_t_byref_datUnitWork_t_byref_datUnitWork_t_0,nbGetNegoKureMakkaA,"public unsafe static int nbGetNegoKureMakkaA(ref nbNegoProcessData_t n, ref datUnitWork_t a, ref datUnitWork_t b)",366,2,5533797,5533799,5533793,5533797,100672236
nbGetQuestionType_Public_Static_Int32_byref_datUnitWork_t_0,nbGetQuestionType,public unsafe static int nbGetQuestionType(ref datUnitWork_t w),685,2,5533961,5533963,5533925,5533961,100672251
NegoDebug_Private_Static_Int32_byref_nbNegoProcessData_t_0,NegoDebug,public unsafe static int NegoDebug(ref nbNegoProcessData_t n),873,1,5534244,5534245,5534223,5534244,100672262
NegoDebugSelectDraw_Private_Static_Void_byref_nbNegoProcessData_t_0,NegoDebugSelectDraw,public unsafe static void NegoDebugSelectDraw(ref nbNegoProcessData_t n),857,1,5534222,5534223,5534163,5534222,100672261
nbCheckNegoMessage_Public_Static_Int32_byref_nbNegoProcessData_t_0,nbCheckNegoMessage,public unsafe static int nbCheckNegoMessage(ref nbNegoProcessData_t n),273,1,5533750,5533751,5533735,5533750,100672232
nbCheckSelectMesJoukenAri_Public_Static_Int32_Int32_Int32_0,nbCheckSelectMesJoukenAri,"public unsafe static int nbCheckSelectMesJoukenAri(int msg_no, int field_no)",766,1,5534038,5534039,5534033,5534038,100672256
nbGetInnenNegoID_Public_Static_Int32_byref_nbNegoProcessData_t_0,nbGetInnenNegoID,public unsafe static int nbGetInnenNegoID(ref nbNegoProcessData_t n),824,1,5534100,5534101,5534089,5534100,100672259
