class,access,method,signature,token,callerCount,xref_start,xref_end,ref_start,ref_end,file,token_key
Localize,public,GetBaseLanguage,public unsafe static int GetBaseLanguage(),100674505.0,2.0,,,,,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/Localize.cs,GetBaseLanguage_Public_Static_Int32_0
Localize,public,GetLanguage,public unsafe static int GetLanguage(),100674506.0,0.0,5591181.0,5591233.0,5591233.0,5591235.0,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/Localize.cs,GetLanguage_Public_Static_Int32_0
Localize,public,GetLanguageDefine,public unsafe static int GetLanguageDefine(),100674507.0,12.0,5591235.0,5591239.0,0.0,0.0,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/Localize.cs,GetLanguageDefine_Public_Static_Int32_0
Localize,public,IsEFIGS,public unsafe static bool IsEFIGS(),100674508.0,52.0,5591239.0,5591247.0,5591247.0,5591259.0,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/Localize.cs,IsEFIGS_Public_Static_Boolean_0
Localize,public,IsCHKO,public unsafe static bool IsCHKO(),100674509.0,0.0,5591259.0,5591263.0,5591263.0,5591315.0,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/Localize.cs,IsCHKO_Public_Static_Boolean_0
Localize,public,IsJA,public unsafe static bool IsJA(),100674510.0,1.0,5591315.0,5591319.0,0.0,0.0,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/Localize.cs,IsJA_Public_Static_Boolean_0
Localize,public,GetPlatform,public unsafe static int GetPlatform(),100674511.0,0.0,5591319.0,5591323.0,5591323.0,5591324.0,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/Localize.cs,GetPlatform_Public_Static_Int32_0
Localize,public,GetPlatformStr,public unsafe static string GetPlatformStr(),100674512.0,35.0,5591324.0,5591327.0,0.0,0.0,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/Localize.cs,GetPlatformStr_Public_Static_String_0
Localize,public,LoadDefault,public unsafe static void LoadDefault(int language),100674513.0,1.0,5591327.0,5591342.0,5591342.0,5591377.0,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/Localize.cs,LoadDefault_Public_Static_Void_Int32_0
Localize,public,GetAppendix,public unsafe static string GetAppendix(),100674514.0,42.0,5591377.0,5591436.0,5591436.0,5591437.0,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/Localize.cs,GetAppendix_Public_Static_String_0
