namespace,type,field,field_type,path
Il2Cppfield_H,collision_s,mode2D,short,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/collision_s.cs
Il2Cppfield_H,collision_s,numedges,short,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/collision_s.cs
Il2Cppfield_H,collision_s,normal,Vector4,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/collision_s.cs
Il2Cppfield_H,collision_s,num,float,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/collision_s.cs
Il2Cppfield_H,collision_s,e_normal,Il2CppStructArray<Vector4>,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/collision_s.cs
Il2Cppfield_H,collision_s,e_num,Il2CppStructArray<float>,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/collision_s.cs
Il2Cppfield_H,collision_s,min,Il2CppStructArray<float>,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/collision_s.cs
Il2Cppfield_H,collision_s,max,Il2CppStructArray<float>,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/collision_s.cs
Il2Cppfield_H,collision_s,point,Il2CppStructArray<Vector4>,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/collision_s.cs
Il2Cppfield_H,collision_s,elv,Vector4,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/collision_s.cs
Il2Cppfield_H,collision_s,blockID,short,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/collision_s.cs
Il2Cppfield_H,collision_s,hitflag,short,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/collision_s.cs
Il2Cppfield_H,collision_s,resID,int,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/collision_s.cs
Il2Cppfield_H,collision_s,matter,dds3Basic_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/collision_s.cs
Il2Cppfield_H,collision_s,pFace,fldResCollisionPolyFace_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/collision_s.cs
Il2Cppfield_H,collision_s,pTome,fldResCollPolyTome_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/collision_s.cs
Il2Cppfield_H,collision_s,hojiID,int,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/collision_s.cs
Il2Cppfield_H,collision_s,npcID,int,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/collision_s.cs
Il2Cppfield_H,fldAmFileHeader2_t,pAmInfo,uint,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldAmFileHeader2_t.cs
Il2Cppfield_H,fldAmFileHeader2_t,pArea,Il2CppReferenceArray<fldAmAreaData_t>,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldAmFileHeader2_t.cs
Il2Cppfield_H,fldAmFileHeader2_t,nArea,uint,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldAmFileHeader2_t.cs
Il2Cppfield_H,fldConstruntAreaFL2_t,flag,uint,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldConstruntAreaFL2_t.cs
Il2Cppfield_H,fldConstruntAreaFL2_t,areaName,string,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldConstruntAreaFL2_t.cs
Il2Cppfield_H,fldConstruntAreaFL2_t,areaID,uint,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldConstruntAreaFL2_t.cs
Il2Cppfield_H,fldFileAreaDataFL1_t,fileID,uint,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldFileAreaDataFL1_t.cs
Il2Cppfield_H,fldFileAreaDataFL1_t,SkyTblIdx,uint,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldFileAreaDataFL1_t.cs
Il2Cppfield_H,fldFileAreaDataFL1_t,filename0,string,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldFileAreaDataFL1_t.cs
Il2Cppfield_H,fldFileAreaDataFL1_t,filename1,string,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldFileAreaDataFL1_t.cs
Il2Cppfield_H,fldFileAreaDataFL1_t,filename2,string,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldFileAreaDataFL1_t.cs
Il2Cppfield_H,fldFileAreaDataFL1_t,filename3,string,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldFileAreaDataFL1_t.cs
Il2Cppfield_H,fldFileAreaDataFL2_t,fileID,uint,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldFileAreaDataFL2_t.cs
Il2Cppfield_H,fldFileAreaDataFL2_t,label,string,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldFileAreaDataFL2_t.cs
Il2Cppfield_H,fldFileAreaDataFL2_t,areaFrameno,int,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldFileAreaDataFL2_t.cs
Il2Cppfield_H,fldFileInfoHeaderFL1_t,nResourceTypeTable,uint,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldFileInfoHeaderFL1_t.cs
Il2Cppfield_H,fldFileInfoHeaderFL1_t,pResourceTypeTable,Il2CppReferenceArray<fldResourceTypeTable_t>,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldFileInfoHeaderFL1_t.cs
Il2Cppfield_H,fldFileInfoHeaderFL1_t,pAreaData,fldFileAreaDataFL1_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldFileInfoHeaderFL1_t.cs
Il2Cppfield_H,fldFileInfoHeaderFL2_t,nResourceTypeTable,uint,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldFileInfoHeaderFL2_t.cs
Il2Cppfield_H,fldFileInfoHeaderFL2_t,pResourceTypeTable,Il2CppReferenceArray<fldResourceTypeTable_t>,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldFileInfoHeaderFL2_t.cs
Il2Cppfield_H,fldFileInfoHeaderFL2_t,pAreaData,fldFileAreaDataFL2_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldFileInfoHeaderFL2_t.cs
Il2Cppfield_H,fldFileInfoHeaderFL2_t,nArea,uint,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldFileInfoHeaderFL2_t.cs
Il2Cppfield_H,fldFileInfoHeaderFL2_t,pAreaTable,Il2CppReferenceArray<fldConstruntAreaFL2_t>,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldFileInfoHeaderFL2_t.cs
Il2Cppfield_H,fldResCam_t,fovy,float,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldResCam_t.cs
Il2Cppfield_H,fldResCollisionPolyFace_t,Attr,uint,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldResCollisionPolyFace_t.cs
Il2Cppfield_H,fldResCollisionPolyFace_t,Myuka,byte,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldResCollisionPolyFace_t.cs
Il2Cppfield_H,fldResCollisionPolyFace_t,Se,byte,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldResCollisionPolyFace_t.cs
Il2Cppfield_H,fldResCollisionPolyFace_t,TomeIdx,ushort,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldResCollisionPolyFace_t.cs
Il2Cppfield_H,fldResCollisionPolyFace_t,Basyo,ushort,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldResCollisionPolyFace_t.cs
Il2Cppfield_H,fldResCollisionPolyFace_t,Amap0,byte,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldResCollisionPolyFace_t.cs
Il2Cppfield_H,fldResCollisionPolyFace_t,Amap1,byte,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldResCollisionPolyFace_t.cs
Il2Cppfield_H,fldResCollisionPolyFace_t,VtxIdx,Il2CppStructArray<uint>,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldResCollisionPolyFace_t.cs
Il2Cppfield_H,fldResCollisionPolyFace_t,EncType,short,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldResCollisionPolyFace_t.cs
Il2Cppfield_H,fldResCollisionPolyFace_t,EncIdx,short,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldResCollisionPolyFace_t.cs
Il2Cppfield_H,fldResCollisionPolyFace_t,Spc1,short,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldResCollisionPolyFace_t.cs
Il2Cppfield_H,fldResCollisionPolyFace_t,Spc2,short,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldResCollisionPolyFace_t.cs
