namespace,type,field,field_type,path
Il2Cppmodel_H,dds3ModelFileIndex_t,major,ushort,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppmodel_H/dds3ModelFileIndex_t.cs
Il2Cppmodel_H,dds3ModelFileIndex_t,minor,ushort,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppmodel_H/dds3ModelFileIndex_t.cs
Il2Cppmodel_H,dds3ModelFileIndex_t,scale,short,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppmodel_H/dds3ModelFileIndex_t.cs
Il2Cppmodel_H,dds3ModelFileIndex_t,radius,ushort,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppmodel_H/dds3ModelFileIndex_t.cs
Il2Cppmodel_H,dds3ModelFileKindTable_t,indexTable,Il2CppReferenceArray<dds3ModelFileIndex_t>,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppmodel_H/dds3ModelFileKindTable_t.cs
Il2Cppmodel_H,dds3ModelFileKindTable_t,numOfIndex,int,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppmodel_H/dds3ModelFileKindTable_t.cs
Il2Cppmodel_H,dds3ModelFileTableDef_t,fileTable,Il2CppReferenceArray<dds3ModelFileTable_t>,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppmodel_H/dds3ModelFileTableDef_t.cs
Il2Cppmodel_H,dds3ModelFileTableDef_t,numOfFile,int,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppmodel_H/dds3ModelFileTableDef_t.cs
Il2Cppmodel_H,dds3ModelFileTable_t,texFile,string,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppmodel_H/dds3ModelFileTable_t.cs
Il2Cppmodel_H,dds3ModelFileTable_t,modelFile,string,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppmodel_H/dds3ModelFileTable_t.cs
