namespace,type,field,field_type,path
Il2Cpppipe_H,tagPipeEnemyInfo,chID,byte,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpppipe_H/tagPipeEnemyInfo.cs
Il2Cpppipe_H,tagPipeEnemyInfo,w,float,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpppipe_H/tagPipeEnemyInfo.cs
Il2Cpppipe_H,tagPipeEnemyInfo,resv,byte,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpppipe_H/tagPipeEnemyInfo.cs
Il2Cpppipe_H,tagPipeEnemyInfo,resv2,ushort,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpppipe_H/tagPipeEnemyInfo.cs
Il2Cpppipe_H,tagPipeEnemyTable,offset,int,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpppipe_H/tagPipeEnemyTable.cs
Il2Cpppipe_H,tagPipeEnemyTable,chID,byte,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpppipe_H/tagPipeEnemyTable.cs
Il2Cpppipe_H,tagPipeEnemyTable,way,byte,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpppipe_H/tagPipeEnemyTable.cs
Il2Cpppipe_H,tagPipeEnemyTable,action,byte,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpppipe_H/tagPipeEnemyTable.cs
Il2Cpppipe_H,tagPipeEnemyTable,value,byte,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpppipe_H/tagPipeEnemyTable.cs
Il2Cpppipe_H,tagPipeFileHeader,posSize,int,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpppipe_H/tagPipeFileHeader.cs
Il2Cpppipe_H,tagPipeFileHeader,posAddr,int,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpppipe_H/tagPipeFileHeader.cs
Il2Cpppipe_H,tagPipeFileHeader,emSize,int,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpppipe_H/tagPipeFileHeader.cs
Il2Cpppipe_H,tagPipeFileHeader,emAddr,int,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpppipe_H/tagPipeFileHeader.cs
Il2Cpppipe_H,tagPipeFileHeader,linkSize,int,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpppipe_H/tagPipeFileHeader.cs
Il2Cpppipe_H,tagPipeFileHeader,linkAddr,int,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpppipe_H/tagPipeFileHeader.cs
Il2Cpppipe_H,tagPipeFileHeader,resv,Il2CppStructArray<sbyte>,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpppipe_H/tagPipeFileHeader.cs
Il2Cpppipe_H,tagpipeParts,offset,int,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpppipe_H/tagpipeParts.cs
Il2Cpppipe_H,tagpipeParts,id,byte,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpppipe_H/tagpipeParts.cs
Il2Cpppipe_H,tagpipeParts,mdl,byte,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpppipe_H/tagpipeParts.cs
Il2Cpppipe_H,tagpipeParts,resv,Il2CppStructArray<sbyte>,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpppipe_H/tagpipeParts.cs
Il2Cpppipe_H,tagPipePartsInfo,partsID,ushort,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpppipe_H/tagPipePartsInfo.cs
Il2Cpppipe_H,tagPipePartsInfo,inWay,byte,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpppipe_H/tagPipePartsInfo.cs
Il2Cpppipe_H,tagPipePartsInfo,goWay,byte,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpppipe_H/tagPipePartsInfo.cs
Il2Cpppipe_H,tagPipePartsInfo,type,int,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpppipe_H/tagPipePartsInfo.cs
Il2Cpppipe_H,tagPipePartsType,radius,float,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpppipe_H/tagPipePartsType.cs
