namespace,type,field,field_type,path
Il2Cpplibsdf_H,sdfMotionNodeDef_t,typeId,uint,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfMotionNodeDef_t.cs
Il2Cpplibsdf_H,sdfMotionNodeDef_t,nodeId,uint,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfMotionNodeDef_t.cs
Il2Cpplibsdf_H,sdfMatDef_t,id,uint,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfMatDef_t.cs
Il2Cpplibsdf_H,sdfMatDef_t,flags,ushort,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfMatDef_t.cs
Il2Cpplibsdf_H,sdfMatDef_t,parmBits,ushort,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfMatDef_t.cs
Il2Cpplibsdf_H,sdfMemHandle_t,prev,sdfMemHandle_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfMemHandle_t.cs
Il2Cpplibsdf_H,sdfMemHandle_t,next,sdfMemHandle_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfMemHandle_t.cs
Il2Cpplibsdf_H,sdfMemHandle_t,ptr,Il2CppSystem.Object,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfMemHandle_t.cs
Il2Cpplibsdf_H,sdfMemHandle_t,stat,ushort,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfMemHandle_t.cs
Il2Cpplibsdf_H,sdfMemHandle_t,mlock,ushort,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfMemHandle_t.cs
Il2Cpplibsdf_H,sdfModelNodeDef_t,format,ushort,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfModelNodeDef_t.cs
Il2Cpplibsdf_H,sdfModelNodeDef_t,pad0,ushort,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfModelNodeDef_t.cs
Il2Cpplibsdf_H,sdfModelNodeDef_t,pad1,uint,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfModelNodeDef_t.cs
Il2Cpplibsdf_H,sdfModelNodeDef_t,id,uint,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfModelNodeDef_t.cs
Il2Cpplibsdf_H,sdfModelNodeDef_t,parentIndex,int,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfModelNodeDef_t.cs
Il2Cpplibsdf_H,sdfModelNodeDef_t,rotate,Vector4,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfModelNodeDef_t.cs
Il2Cpplibsdf_H,sdfModelNodeDef_t,pos,Vector4,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfModelNodeDef_t.cs
Il2Cpplibsdf_H,sdfModelNodeDef_t,scale,Vector4,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfModelNodeDef_t.cs
Il2Cpplibsdf_H,sdfModelNodeDef_t,bounds,float,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfModelNodeDef_t.cs
Il2Cpplibsdf_H,sdfModelNodeDef_t,shape,Il2CppReferenceArray<Il2CppSystem.Object>,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfModelNodeDef_t.cs
Il2Cpplibsdf_H,sdfModelDef_t,modelDef,int,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfModelDef_t.cs
Il2Cpplibsdf_H,sdfModelDef_t,matDef_Old,Il2CppSystem.Object,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfModelDef_t.cs
Il2Cpplibsdf_H,sdfModelDef_t,count,int,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfModelDef_t.cs
Il2Cpplibsdf_H,sdfModelDef_t,matDef_New,sdfMatDef_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfModelDef_t.cs
Il2Cpplibsdf_H,sdfModelDef_t,morphCount,uint,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfModelDef_t.cs
Il2Cpplibsdf_H,sdfModelDef_t,extraData,Il2CppSystem.Object,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfModelDef_t.cs
Il2Cpplibsdf_H,sdfModelDef_t,nodeDef,Il2CppReferenceArray<sdfModelNodeDef_t>,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfModelDef_t.cs
Il2Cpplibsdf_H,sdfMotionCutDef_t,frameLength,uint,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfMotionCutDef_t.cs
Il2Cpplibsdf_H,sdfMotionCutDef_t,cutChunk,Il2CppReferenceArray<sdfMotionCutChunk_t>,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfMotionCutDef_t.cs
Il2Cpplibsdf_H,sdfMatList_t,memHandle,sdfMemHandle_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfMatList_t.cs
Il2Cpplibsdf_H,sdfMatList_t,count,short,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfMatList_t.cs
Il2Cpplibsdf_H,sdfMatList_t,capacity,short,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfMatList_t.cs
Il2Cpplibsdf_H,sdfMatList_t,elemSize,short,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfMatList_t.cs
Il2Cpplibsdf_H,sdfMatList_t,growStep,short,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfMatList_t.cs
Il2Cpplibsdf_H,sdfMatList_t,items,Il2CppReferenceArray<sdfMat_t>,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfMatList_t.cs
