type,consumer_path,consumer_file
fldConstruntAreaFL2_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldFileResolver.cs
fldConstruntAreaFL2_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldFileInfoHeaderFL2_t.cs,fldFileInfoHeaderFL2_t.cs
fldFileAreaDataFL1_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldFileResolver.cs
fldFileAreaDataFL1_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldFileInfoHeaderFL1_t.cs,fldFileInfoHeaderFL1_t.cs
fldFileAreaDataFL2_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldFileResolver.cs
fldFileAreaDataFL2_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldFileInfoHeaderFL2_t.cs,fldFileInfoHeaderFL2_t.cs
fldFileInfoHeaderFL1_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldFileResolver.cs
fldFileInfoHeaderFL2_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldFileResolver.cs
fldResCam_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldFileResolver.cs
fldResCollPolyTomeName_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldFileResolver.cs
fldResCollPolyTomeName_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldResCollPolyTome_t.cs,fldResCollPolyTome_t.cs
fldResCollPolyTome_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldFileResolver.cs
fldResCollPolyTome_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/collision_s.cs,collision_s.cs
fldResCollPolyTome_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldResCollisionPoly_t.cs,fldResCollisionPoly_t.cs
fldResCollisionPolyFace_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldFileResolver.cs
fldResCollisionPolyFace_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldProgramHit_tag.cs,fldProgramHit_tag.cs
fldResCollisionPolyFace_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/collision_s.cs,collision_s.cs
fldResCollisionPolyFace_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldResCollisionPoly_t.cs,fldResCollisionPoly_t.cs
fldResCollisionPoly_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldFileResolver.cs
fldResCollisionPoly_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldHit.cs,fldHit.cs
fldResCollisionPoly_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldProgramHit_tag.cs,fldProgramHit_tag.cs
fldResCollision_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldFileResolver.cs
fldResEvent_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldFileResolver.cs
fldResHeadAreaName_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldFileResolver.cs
fldResHeadAreaName_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldResHead_t.cs,fldResHead_t.cs
fldResHeadLinkData_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldFileResolver.cs
fldResHeadLinkData_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldResHeadLink_t.cs,fldResHeadLink_t.cs
fldResHeadLink_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldFileResolver.cs
fldResHeadLink_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldResHead_t.cs,fldResHead_t.cs
fldResHeadPos_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldFileResolver.cs
fldResHeadPos_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldProgramEveHit_tag.cs,fldProgramEveHit_tag.cs
fldResHeadPos_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldResHead_t.cs,fldResHead_t.cs
fldResHead_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldEveHit.cs,fldEveHit.cs
fldResHead_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldFileResolver.cs
fldResHead_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldProgramEveHit_tag.cs,fldProgramEveHit_tag.cs
fldResHead_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldResourceTypeTable_t.cs,fldResourceTypeTable_t.cs
fldResModel_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldFileResolver.cs
fldResPutEveBall_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldFileResolver.cs
fldResPutEveBall_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldProgramEveHit_tag.cs,fldProgramEveHit_tag.cs
fldResPutEveBall_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldResPut_t.cs,fldResPut_t.cs
fldResPutEveBox_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldFileResolver.cs
fldResPutEvePoly_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldFileResolver.cs
fldResPutItemBox_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldFileResolver.cs
fldResPutNpc_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldFileResolver.cs
fldResPutSE_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldFileResolver.cs
fldResPut_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldFileResolver.cs
fldResPut_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldProgramEveHit_tag.cs,fldProgramEveHit_tag.cs
fldResPut_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldResHead_t.cs,fldResHead_t.cs
fldResourceEffect_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/dds3EffectObjectBasic.cs,dds3EffectObjectBasic.cs
fldResourceEffect_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldFileResolver.cs
fldResourceEffect_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppbasic_H/dds3EffectObjectBasicWorkData_t.cs,dds3EffectObjectBasicWorkData_t.cs
fldResourceLight_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/dds3LightObjectBasic.cs,dds3LightObjectBasic.cs
fldResourceLight_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/dds3UnityEx_Light.cs,dds3UnityEx_Light.cs
fldResourceLight_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/effBattle.cs,effBattle.cs
fldResourceLight_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldFileResolver.cs
fldResourceLight_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/nbStageProcess.cs,nbStageProcess.cs
fldResourcePathTableInfo_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldFileResolver.cs
fldResourcePathTable_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldFileResolver.cs
fldResourcePathTable_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldResourcePathTableInfo_t.cs,fldResourcePathTableInfo_t.cs
fldResourceTypeTable_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldFileResolver.cs
fldResourceTypeTable_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldFileInfoHeaderFL1_t.cs,fldFileInfoHeaderFL1_t.cs
fldResourceTypeTable_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cppfield_H/fldFileInfoHeaderFL2_t.cs,fldFileInfoHeaderFL2_t.cs
sdfMatDef_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/fldFileResolver.cs,fldFileResolver.cs
sdfMatDef_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/sdfMat.cs,sdfMat.cs
sdfMatDef_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfModelDef_t.cs,sdfModelDef_t.cs
sdfMemHandle_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/dds3BezierTrackPoly_tag.cs,dds3BezierTrackPoly_tag.cs
sdfMemHandle_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/dds3MagatuhiBill_tag.cs,dds3MagatuhiBill_tag.cs
sdfMemHandle_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/dds3NeedleModel_tag.cs,dds3NeedleModel_tag.cs
sdfMemHandle_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpp/dds3RingPolyExpList_tag.cs,dds3RingPolyExpList_tag.cs
