type,field,cs_type
sdfModelTexList_t,memHandle,sdfMemHandle_t
sdfModelTexList_t,count,short
sdfModelTexList_t,capacity,short
sdfModelTexList_t,elemSize,short
sdfModelTexList_t,growStep,short
sdfModelTexList_t,items,sdfTexHandle_t
sdfTexHandle_t,prev,sdfTexHandle_t
sdfTexHandle_t,next,sdfTexHandle_t
sdfTexHandle_t,origin,sdfTexHandle_t
sdfTexHandle_t,width,short
sdfTexHandle_t,height,short
sdfTexHandle_t,pixelGsHandle,sdfGsMemSlice_t
sdfTexHandle_t,clutGsHandle,sdfGsMemSlice_t
sdfTexHandle_t,numOfCLUT,byte
sdfTexHandle_t,CLUTFormat,byte
sdfTexHandle_t,pixelFormat,byte
sdfTexHandle_t,numOfMipmap,byte
sdfTexHandle_t,mipmapParam,ushort
sdfTexHandle_t,flags,byte
sdfTexHandle_t,texWrapMode,byte
sdfTexHandle_t,texId,uint
sdfTexHandle_t,clutId,uint
sdfTexHandle_t,packet,Il2CppReferenceArray<Il2CppSystem.Object>
sdfTexHandle_t,packetCtx2,Il2CppSystem.Object
sdfTexHandle_t,clutData,Il2CppSystem.Object
sdfTexHandle_t,clutDataSize,uint
sdfTexHandle_t,clutColor,uint
sdfTexHandle_t,monoClutData,byte
sdfTexHandle_t,hashname,string
sdfTexHandle_t,image,Il2CppReferenceArray<Texture2D>
sdfGsMemSlice_t,prev,sdfGsMemSlice_t
sdfGsMemSlice_t,next,sdfGsMemSlice_t
sdfGsMemSlice_t,type,int
sdfGsMemSlice_t,addr,uint
sdfGsMemSlice_t,size,int
sdfGsMemSlice_t,w,short
sdfGsMemSlice_t,h,short
sdfGsMemSlice_t,pixelFormat,uint
sdfMemHandle_t,prev,sdfMemHandle_t
sdfMemHandle_t,next,sdfMemHandle_t
sdfMemHandle_t,ptr,Il2CppSystem.Object
sdfMemHandle_t,stat,ushort
sdfMemHandle_t,mlock,ushort
sdfMatDef_t,id,uint
sdfMatDef_t,flags,ushort
sdfMatDef_t,parmBits,ushort
sdfMatList_t,memHandle,sdfMemHandle_t
sdfMatList_t,count,short
