type,name,params,ret,caller_count,il2cpp_token,rva,original_name
AssetBundleCtrl,LoadFileByte,"string key, string path_name",Il2CppStructArray<byte>,144,,,
AssetBundleCtrl,IsLoad,string key,bool,105,,,
AssetBundleCtrl,LoadPrefab,"string key, string path, string name",GameObject,76,,,
AssetBundleCtrl,LoadPrefab,"string key, string path, string name",GameObject,76,,,
AssetBundleCtrl,LoadPrefab,"string key, string path, string name",GameObject,76,,,
AssetBundleCtrl,UnloadAB,string key,void,49,,,
AssetBundleCtrl,Load,"string key, string aname",void,47,,,
AssetBundleCtrl,LoadFileObject,"string key, string path_name",Il2CppSystem.Object,37,,,
AssetBundleCtrl,LoadFile,"string key, string path, string name, string extension",UnityEngine.Object,18,,,
AssetBundleCtrl,LoadFile,"string key, string path, string name, string extension",UnityEngine.Object,18,,,
AssetBundleCtrl,LoadAsset,"string key, string path, string name",UnityEngine.Object,14,,,
AssetBundleCtrl,GetAB,string key,AssetBundle,8,,,
AssetBundleCtrl,IsFileExists,"string key, string path_name",bool,5,,,
AssetBundleCtrl,LoadFile,"string key, string path_name",UnityEngine.Object,5,,,
AssetBundleCtrl,LoadFile,"string key, string path_name",UnityEngine.Object,5,,,
AssetBundleCtrl,GetKeys,,Il2CppStringArray,4,,,
AssetBundleCtrl,LoadAudioClip,"string key, string path, string name",AudioClip,4,,,
AssetBundleCtrl,LoadSprite,"string key, string path, string name",Il2CppReferenceArray<Sprite>,4,,,
AssetBundleCtrl,LoadSprite,"string key, string path, string name",Il2CppReferenceArray<Sprite>,4,,,
AssetBundleCtrl,LoadSprite,"string key, string fullPath",Il2CppReferenceArray<Sprite>,2,,,
AssetBundleCtrl,LoadSprite,"string key, string fullPath",Il2CppReferenceArray<Sprite>,2,,,
AssetBundleCtrl,CheckAsiaDLC,"string key, int dlc_id",bool,1,,,
AssetBundleCtrl,CheckRaidouDLC,"string key, int dlc_id",bool,1,,,
AssetBundleCtrl,LoadDirect,"string key, string aname, int dlc_id",void,1,,,
AssetBundleCtrl,LoadVideoClip,"string key, string path, string name",VideoClip,1,,,
AssetBundleCtrl,CheckChangeVoice,"ref string path, ref string name",void,0,,,
AssetBundleCtrl,GetABName,string key,string,0,,,
AssetBundleCtrl,LoadCoroutine,"string key, int dlc_id",IEnumerator,0,,,
AssetBundleCtrl,LoadFileAsync,"string key, string path, string name, string extension",AssetBundleRequest,0,,,
AssetBundleCtrl,LoadFileAsync,"string key, string path, string name, string extension",AssetBundleRequest,0,,,
AssetBundleCtrl,LoadFileAsync,"string key, string path_name",AssetBundleRequest,0,,,
AssetBundleCtrl,LoadFileAsync,"string key, string path_name",AssetBundleRequest,0,,,
AssetBundleCtrl,LoadPrefab,"string key, string path, string name, string par, string name2 = null",GameObject,0,,,
AssetBundleCtrl,LoadPrefab,"string key, string path, string name, string par, string name2 = null",GameObject,0,,,
AssetBundleCtrl,LoadPrefab,"string key, string path, string name, string par, string name2 = null",GameObject,0,,,
AssetBundleCtrl,LoadPrefab,"string key, string path, string name, GameObject parent, string name2 = null",GameObject,0,,,
AssetBundleCtrl,LoadPrefab,"string key, string path, string name, GameObject parent, string name2 = null",GameObject,0,,,
AssetBundleCtrl,LoadPrefab,"string key, string path, string name, GameObject parent, string name2 = null",GameObject,0,,,
AssetBundleCtrl,LoadPrefabAsync,"string key, string path, string name",AssetBundleRequest,0,,,
AssetBundleCtrl,UnloadABAll,,void,0,,,
