type,name,params,ret,caller_count,il2cpp_token,rva,original_name
Localize,GetLocalizeText,string ID,string,209,,,
Localize,GetLocalizeText,string ID,string,209,,,
Localize,LoadLocalizeText,"string key, string filename",void,96,,,
Localize,Remove,string key,void,62,,,
Localize,IsEFIGS,,bool,52,,,
Localize,GetAppendix,,string,42,,,
Localize,GetPlatformStr,,string,35,,,
Localize,GetLanguageDefine,,int,12,,,
Localize,ContainsIndex,string name,int,10,,,
Localize,GetData,string key,EventEMsgData,7,,,
Localize,LoadEventData,"string key, string name, int eventno, bool check = false",void,3,,,
Localize,GetBaseLanguage,,int,2,,,
Localize,ChangeTitle,,void,1,,,
Localize,GetLangCode,,string,1,,,
Localize,GetLocalizeText,"string dic, string ID",string,1,,,
Localize,GetLocalizeText,"string dic, string ID",string,1,,,
Localize,IsJA,,bool,1,,,
Localize,Load,"string key, string filePath",void,1,,,
Localize,LoadBattleLocalizeText,,void,1,,,
Localize,LoadDefault,int language,void,1,,,
Localize,ReleaseEventData,int eventno,void,1,,,
Localize,SettingFontMaterial,,void,1,,,
Localize,GetLanguage,,int,0,,,
Localize,GetPlatform,,int,0,,,
Localize,IsCHKO,,bool,0,,,
Localize,LoadCommonData,,void,0,,,
Localize,RemoveBattleLocalizeText,,void,0,,,
