type,name,params,ret,caller_count,il2cpp_token,rva,original_name
ScrScriptProcess,GetDLCTag,int eventno,string,23,,,
ScrScriptProcess,IsDLC,,bool,22,,,
ScrScriptProcess,IsDLCField,int field,bool,20,,,
ScrScriptProcess,scrAllReleaseScript,,void,9,,,
ScrScriptProcess,scrSearchScriptName,string scriptname,scrProcessWork_s,6,,,
ScrScriptProcess,GetEventFileNameToAssetName,string filename,string,3,,,
ScrScriptProcess,IndexToProcess,int id,dds3ProcessID_t,3,,,
ScrScriptProcess,scrInitGlobalWork,,void,3,,,
ScrScriptProcess,AddScript2,"Il2CppStructArray<byte> scrdata, int startproc",scrProcessWork_s,2,,,
ScrScriptProcess,StartScriptProcess,"int priority, scrProcessWork_s h",dds3ProcessID_t,2,,,
ScrScriptProcess,scrStartScript2,"int priority, Il2CppStructArray<byte> scrdata, int startproc",dds3ProcessID_t,2,,,
ScrScriptProcess,AddScript,"scrHeader_t header, Il2CppStructArray<scrTypeTable_t> typetable, Il2CppReferenceArray<scrProcTable_t> proctable, Il2CppReferenceArray<scrLabelTable_t> labeltable, Il2CppStructArray<scrCode_t> code, Il2CppStructArray<byte> mesdata, Il2CppStructArray<byte> stringdata, int startproc",scrProcessWork_s,1,,,
ScrScriptProcess,scrReleaseScript,scrProcessWork_s h,void,1,,,
ScrScriptProcess,scrStartScript1a,"int priority, scrHeader_t header, Il2CppStructArray<scrTypeTable_t> typetable, Il2CppReferenceArray<scrProcTable_t> proctable, Il2CppReferenceArray<scrLabelTable_t> labeltable, Il2CppStructArray<scrCode_t> code, Il2CppStructArray<byte> mesdata, Il2CppStructArray<byte> stringdata, int startproc",dds3ProcessID_t,1,,,
ScrScriptProcess,scrStartScript3,"int priority, string filename, int startproc, string akey",dds3ProcessID_t,1,,,
ScrScriptProcess,AddScript3,"string filename, int startproc, string akey = ""EventAB""",scrProcessWork_s,0,,,
ScrScriptProcess,LinkScriptHandleList,scrProcessWork_s h,void,0,,,
ScrScriptProcess,ProcessToIndex,dds3ProcessID_t id,int,0,,,
ScrScriptProcess,UnlinkScriptHandleList,scrProcessWork_s h,void,0,,,
ScrScriptProcess,scrScriptProcess,dds3ProcessID_t id,dds3ProcessFunc_t,0,,,
ScrScriptProcess,scrScriptShutdown,dds3ProcessID_t id,Il2CppSystem.Object,0,,,
ScrScriptProcess,scrSearchProcedureName,"Il2CppSystem.Object scrdata, string procname",int,0,,,
ScrScriptProcess,scrSetUserData,"dds3ProcessID_t id, Il2CppSystem.Object p",void,0,,,
