type,name,params,ret,caller_count,il2cpp_token,rva,original_name
SndAssetBundleManager,RemoveKeys,"SndAssetBundleManager.SNDDIR type, string key = null",void,32,,,
SndAssetBundleManager,LoadKeys,"SndAssetBundleManager.SNDDIR type, string key, string path = null",void,29,,,
SndAssetBundleManager,IsLocalizeKey,string key,string,11,,,
SndAssetBundleManager,_loadse,string key,void,7,,,
SndAssetBundleManager,LoadEventVoice,"int eventno, string key, EventEMsgData data",void,6,,,
SndAssetBundleManager,GetAudioClip,"int type, string name",AudioClip,5,,,
SndAssetBundleManager,_appendList,"string filename, ref Dictionary<string, Dictionary<string, SndAssetBundleManager.SndData>> dic, SndAssetBundleManager.SNDDIR pathid",void,4,,,
SndAssetBundleManager,_loadbgm,"SndAssetBundleManager.SNDDIR type, string key",void,4,,,
SndAssetBundleManager,IsConstantsVoice,string name,bool,3,,,
SndAssetBundleManager,ReplaceVoice,string id,string,3,,,
SndAssetBundleManager,LoadKeysSE1,"SndAssetBundleManager.SNDDIR type, string key, string se_name",void,2,,,
SndAssetBundleManager,Initialize,,void,1,,,
SndAssetBundleManager,LoadFNPCVoice,string key,void,1,,,
SndAssetBundleManager,LoadKeysMSE,"string key, int idx",int,1,,,
SndAssetBundleManager,VoiceCommonKey,"string key, string name",string,1,,,
SndAssetBundleManager,_load_motionvoice,,void,1,,,
SndAssetBundleManager,_load_npcvoice,,void,1,,,
SndAssetBundleManager,_load_replacevoice,,void,1,,,
SndAssetBundleManager,_loadvoice,"string key, string path",void,1,,,
SndAssetBundleManager,load_voice,"int eventno, string key, string name, string voice, EventEMsgData data, int i, bool replace",bool,1,,,
SndAssetBundleManager,CheckEnemy,int eno,void,0,,,
SndAssetBundleManager,LoadBossAIMSG,string key,void,0,,,
SndAssetBundleManager,LoadKeysBGM1,"SndAssetBundleManager.SNDDIR type, string key, string bgm_name",void,0,,,
SndAssetBundleManager,_loadbgm2,"string key, string bgm_name",void,0,,,
SndAssetBundleManager,_loadse2,"string key, string se_name",void,0,,,
