file,namespace,type,vis,ret,name,params,caller_count,il2cpp_token,rva,original_name,method_base,metadata_token_int,native_method_field
Il2Cpp/fldFileResolver.cs,Il2Cpp,fldFileResolver,public,void,fldFileResolverFL1,"fldFileInfoHeaderFL1_t pInfoHeaderFL1, Il2CppStructArray<byte> pHead, string akey",1,,,,fldFileResolverFL1,100668464.0,fldFileResolverFL1_Private_Static_Void_fldFileInfoHeaderFL1_t_Il2CppStructArray_1_Byte_String_0
Il2Cpp/fldFileResolver.cs,Il2Cpp,fldFileResolver,public,Il2CppSystem.Object,fldLoadFile,"string pFileName, string akey = """"",0,,,,fldLoadFile,100668527.0,fldLoadFile_Public_Static_Object_String_String_0
Il2Cpp/ScrScriptProcess.cs,Il2Cpp,ScrScriptProcess,public,scrProcessWork_s,AddScript3,"string filename, int startproc, string akey = ""EventAB""",0,,,,AddScript3,100673449.0,AddScript3_Internal_Static_scrProcessWork_s_String_Int32_String_0
Il2Cpp/ScrScriptProcess.cs,Il2Cpp,ScrScriptProcess,public,dds3ProcessID_t,scrStartScript3,"int priority, string filename, int startproc, string akey",1,,,,scrStartScript3,100673452.0,scrStartScript3_Public_Static_dds3ProcessID_t_Int32_String_Int32_String_0
Il2Cpp/sdfDevFile.cs,Il2Cpp,sdfDevFile,public,Il2CppSystem.Object,sdfDevLoadFileUnity,"string aFilename, ref Il2CppSystem.Object aTopPtr, int aSizePtr, string akey = """"",1,,,,sdfDevLoadFileUnity,100669954.0,sdfDevLoadFileUnity_Public_Static_Object_String_byref_Object_Int32_String_0
Il2Cpp/sdfDevFile.cs,Il2Cpp,sdfDevFile,public,Il2CppSystem.Object,sdfDevLoadFileUnity,"string aFilename, ref Il2CppSystem.Object aTopPtr, int aSizePtr, string akey = """"",1,,,,sdfDevLoadFileUnity,100669955.0,sdfDevLoadFileUnity_Public_Static_Object_String_byref_Il2CppStructArray_1_Byte_Int32_String_0
Il2Cpp/sdfDevFile.cs,Il2Cpp,sdfDevFile,public,Il2CppSystem.Object,sdfDevLoadFileUnity,"string aFilename, ref Il2CppStructArray<byte> aTopPtr, int aSizePtr, string akey = """"",23,,,,sdfDevLoadFileUnity,100669954.0,sdfDevLoadFileUnity_Public_Static_Object_String_byref_Object_Int32_String_0
Il2Cpp/sdfDevFile.cs,Il2Cpp,sdfDevFile,public,Il2CppSystem.Object,sdfDevLoadFileUnity,"string aFilename, ref Il2CppStructArray<byte> aTopPtr, int aSizePtr, string akey = """"",23,,,,sdfDevLoadFileUnity,100669955.0,sdfDevLoadFileUnity_Public_Static_Object_String_byref_Il2CppStructArray_1_Byte_Int32_String_0
Il2Cpp/billManager.cs,Il2Cpp,billManager,public,billHandle_t,dds3BillboardFileLoad,"int type, string pFileName, string akey",2,,,,,,
Il2Cpp/dds3EffectObjectBasic.cs,Il2Cpp,dds3EffectObjectBasic,public,dds3Basic_t,dds3AddP2AEffectObjectBasic,"string file, Vector4 pos, Vector4 rot, string akey",1,,,,,,
Il2Cpp/dds3EffectObjectBasic.cs,Il2Cpp,dds3EffectObjectBasic,public,dds3Basic_t,dds3AddTMXEffectObjectBasic,"string file, Vector4 pos, Vector4 rot, string akey",1,,,,,,
Il2Cpp/dds3SceneBasic.cs,Il2Cpp,dds3SceneBasic,public,void,dds3SceneBasicMakeScene,"ref dds3Basic_t pBasic, string file, string akey",2,,,,,,
Il2Cpp/dds3SceneBasic.cs,Il2Cpp,dds3SceneBasic,public,int,dds3SceneBasicLoadScriptFile,"ref dds3Basic_t scene, string scrfile, string akey = """"",1,,,,,,
