file,namespace,type,vis,ret,name,params,caller_count,il2cpp_token,rva,original_name,metadata_token_int
Il2Cpp/AssetBundleCtrl.cs,Il2Cpp,AssetBundleCtrl,public,Il2CppStructArray<byte>,LoadFileByte,"string key, string path_name",144,,,,100674328.0
Il2Cpp/AssetBundleCtrl.cs,Il2Cpp,AssetBundleCtrl,public,bool,IsLoad,string key,105,,,,100674308.0
Il2Cpp/AssetBundleCtrl.cs,Il2Cpp,AssetBundleCtrl,public,GameObject,LoadPrefab,"string key, string path, string name",76,,,,100674313.0
Il2Cpp/AssetBundleCtrl.cs,Il2Cpp,AssetBundleCtrl,public,GameObject,LoadPrefab,"string key, string path, string name",76,,,,100674314.0
Il2Cpp/AssetBundleCtrl.cs,Il2Cpp,AssetBundleCtrl,public,GameObject,LoadPrefab,"string key, string path, string name",76,,,,100674315.0
Il2Cpp/AssetBundleCtrl.cs,Il2Cpp,AssetBundleCtrl,public,void,UnloadAB,string key,49,,,,100674311.0
Il2Cpp/AssetBundleCtrl.cs,Il2Cpp,AssetBundleCtrl,public,void,Load,"string key, string aname",47,,,,100674303.0
Il2Cpp/AssetBundleCtrl.cs,Il2Cpp,AssetBundleCtrl,public,Il2CppSystem.Object,LoadFileObject,"string key, string path_name",37,,,,100674327.0
Il2Cpp/AssetBundleCtrl.cs,Il2Cpp,AssetBundleCtrl,public,UnityEngine.Object,LoadFile,"string key, string path, string name, string extension",18,,,,100674323.0
Il2Cpp/AssetBundleCtrl.cs,Il2Cpp,AssetBundleCtrl,public,UnityEngine.Object,LoadFile,"string key, string path, string name, string extension",18,,,,100674325.0
Il2Cpp/AssetBundleCtrl.cs,Il2Cpp,AssetBundleCtrl,public,UnityEngine.Object,LoadAsset,"string key, string path, string name",14,,,,100674322.0
Il2Cpp/AssetBundleCtrl.cs,Il2Cpp,AssetBundleCtrl,public,AssetBundle,GetAB,string key,8,,,,100674309.0
Il2Cpp/AssetBundleCtrl.cs,Il2Cpp,AssetBundleCtrl,public,bool,IsFileExists,"string key, string path_name",5,,,,100674329.0
Il2Cpp/AssetBundleCtrl.cs,Il2Cpp,AssetBundleCtrl,public,UnityEngine.Object,LoadFile,"string key, string path_name",5,,,,100674323.0
Il2Cpp/AssetBundleCtrl.cs,Il2Cpp,AssetBundleCtrl,public,UnityEngine.Object,LoadFile,"string key, string path_name",5,,,,100674325.0
Il2Cpp/AssetBundleCtrl.cs,Il2Cpp,AssetBundleCtrl,public,AudioClip,LoadAudioClip,"string key, string path, string name",4,,,,100674319.0
Il2Cpp/AssetBundleCtrl.cs,Il2Cpp,AssetBundleCtrl,public,Il2CppReferenceArray<Sprite>,LoadSprite,"string key, string path, string name",4,,,,100674317.0
