token_dec,token_hex,rid,rva,kind,accessor,name,decl
100670549,0x06001C55,7253,0x000D2A00,method,,evtDebug,static evtDebug()
100670550,0x06001C56,7254,0x000D2E90,method,,IsPaused,public unsafe static bool IsPaused()
100670551,0x06001C57,7255,0x000D2EC0,method,,draweventdebug,public unsafe static void draweventdebug()
100670552,0x06001C58,7256,0x000D2EE8,method,,EventDebugProcess2,public unsafe static Il2CppSystem.Object EventDebugProcess2(dds3ProcessID_t id)
100670553,0x06001C59,7257,0x000D2F2C,method,,EventDebugSelectFlash,public unsafe static Il2CppSystem.Object EventDebugSelectFlash(dds3ProcessID_t id)
100670554,0x06001C5A,7258,0x000D2F70,method,,IsDlcEvent,public unsafe static bool IsDlcEvent()
100670555,0x06001C5B,7259,0x000D2FA0,method,,EventDebugProcess1,public unsafe static Il2CppSystem.Object EventDebugProcess1(dds3ProcessID_t id)
100670556,0x06001C5C,7260,0x000D2FE4,method,,CheckAssetBundleData,public unsafe static Il2CppSystem.Object CheckAssetBundleData()
100670557,0x06001C5D,7261,0x000D3018,method,,EventDebugShutdown,public unsafe static Il2CppSystem.Object EventDebugShutdown(dds3ProcessID_t id)
100670558,0x06001C5E,7262,0x000D305C,method,,evtInitEventTest,public unsafe static void evtInitEventTest()
100670559,0x06001C5F,7263,0x000D3084,method,,evtExitEventTest,public unsafe static void evtExitEventTest()
100670560,0x06001C60,7264,0x000D30AC,method,,evtChkEndProcess,public unsafe static bool evtChkEndProcess()
100670561,0x06001C61,7265,0x000D30DC,method,,GetDbgEventName,public unsafe static string GetDbgEventName(int eve_id)
100670562,0x06001C62,7266,0x0000B89D,method,,evtDebug,public evtDebug(System.IntPtr pointer) : base(pointer)
100670563,0x06001C63,7267,0x000D3114,property,get,str_freecamera,public unsafe static string str_freecamera
100670565,0x06001C65,7269,0x000D3134,property,get,debug_draw,public unsafe static int debug_draw
100670567,0x06001C67,7271,0x000D3150,property,get,event_mode,public unsafe static int event_mode
100670569,0x06001C69,7273,0x000D316C,property,get,event_filename,public unsafe static string event_filename
100670571,0x06001C6B,7275,0x000D318C,property,get,free_camera,public unsafe static int free_camera
100670573,0x06001C6D,7277,0x000D31A8,property,get,VoiceName,public unsafe static string VoiceName
100670575,0x06001C6F,7279,0x000D31C8,property,get,bStatus,public unsafe static int bStatus
100670577,0x06001C71,7281,0x000D31E4,property,get,cam_name,public unsafe static string cam_name
100670579,0x06001C73,7283,0x000D3204,property,get,TagName,public unsafe static string TagName
100670581,0x06001C75,7285,0x000D3224,property,get,itfon,public unsafe static int itfon
100670583,0x06001C77,7287,0x000D3240,property,get,fieldObj,public unsafe static GameObject fieldObj
100670585,0x06001C79,7289,0x000D3268,property,get,EventDebugProcess1_e,public unsafe static int EventDebugProcess1_e
100670587,0x06001C7B,7291,0x000D3284,property,get,EvtNo1,public unsafe static int EvtNo1
