token_dec,token_hex,rid,rva,kind,accessor,name,decl
100670727,0x06001D07,7431,0x000D44BC,method,,evtKutiManager,static evtKutiManager()
100670728,0x06001D08,7432,0x000D47E4,method,,DlcTimeLineLoad,public unsafe void DlcTimeLineLoad(Il2CppReferenceArray<evtKutiManager.E_TimeLineTbl> _tbl)
100670729,0x06001D09,7433,0x000D4828,method,,DlcTimeLineDivisionAdd,public unsafe void DlcTimeLineDivisionAdd(string key)
100670730,0x06001D0A,7434,0x000D486C,method,,Awake,public unsafe void Awake()
100670731,0x06001D0B,7435,0x000D48A0,method,,Initialize,"public unsafe void Initialize(string key, string path, bool evt = true)"
100670732,0x06001D0C,7436,0x000D4904,method,,Append,"public unsafe void Append(string key, string path, bool evt = true)"
100670733,0x06001D0D,7437,0x000D4968,method,,IsExists,public unsafe bool IsExists()
100670734,0x06001D0E,7438,0x000D49A4,method,,Clear,public unsafe void Clear(bool sw = false)
100670735,0x06001D0F,7439,0x000D49E4,method,,OnDestroy,public unsafe void OnDestroy()
100670736,0x06001D10,7440,0x000D4A18,method,,FixedUpdate,public unsafe void FixedUpdate()
100670737,0x06001D11,7441,0x000D4A4C,method,,SetKutiName,public unsafe void SetKutiName(string name)
100670738,0x06001D12,7442,0x000D4A90,method,,Contains,public unsafe bool Contains()
100670739,0x06001D13,7443,0x000D4ACC,method,,StopKuti,public unsafe void StopKuti()
100670740,0x06001D14,7444,0x000D4B00,method,,IsSpeaking,"public unsafe void IsSpeaking(evtUnitHandle_t h, float time)"
100670741,0x06001D15,7445,0x000D4B50,method,,SetUnit,public unsafe void SetUnit(evtUnitHandle_t h)
100670742,0x06001D16,7446,0x000D4B94,method,,evtKutiManager,public unsafe evtKutiManager() : this(IL2CPP.il2cpp_object_new(Il2CppClassPointerStore<evtKutiManager>.NativeClassPtr))
100670743,0x06001D17,7447,0x0000BCE8,method,,evtKutiManager,public evtKutiManager(System.IntPtr pointer) : base(pointer)
100670744,0x06001D18,7448,0x000D4BD0,property,get,hUnit,public unsafe evtUnitHandle_t hUnit
100670746,0x06001D1A,7450,0x000D4C00,property,get,TimeLine,"public unsafe Dictionary<string, List<float>> TimeLine"
100670748,0x06001D1C,7452,0x000D4C30,property,get,KutiName,public unsafe string KutiName
100670750,0x06001D1E,7454,0x000D4C58,property,get,KutiSwitch,public unsafe bool KutiSwitch
100670752,0x06001D20,7456,0x000D4C80,property,get,MsgTime,public unsafe float MsgTime
100670754,0x06001D22,7458,0x000D4CA8,property,get,UpTime,public unsafe float UpTime
100670756,0x06001D24,7460,0x000D4CD0,property,get,eTimeLine710,public unsafe Il2CppReferenceArray<evtKutiManager.E_TimeLineTbl> eTimeLine710
100670758,0x06001D26,7462,0x000D4D00,property,get,eTimeLine711,public unsafe Il2CppReferenceArray<evtKutiManager.E_TimeLineTbl> eTimeLine711
