token_dec,token_hex,rid,rva,kind,accessor,name,decl,category
100670932,0x06001DD4,7636,0x000D6DB0,method,,evtPolygonMovie,static evtPolygonMovie(),API
100670933,0x06001DD5,7637,0x000D7588,method,,InitializeReplaceList,public unsafe static void InitializeReplaceList(int event_no),API
100670934,0x06001DD6,7638,0x000D75BC,method,,StartAnimation,public unsafe static void StartAnimation(pmdProcessWork_t wdata),misc
100670935,0x06001DD7,7639,0x000D75F4,method,,DispAnimation,public unsafe static void DispAnimation(pmdProcessWork_t wdata),misc
100670936,0x06001DD8,7640,0x000D762C,method,,UnitFrameFunc,"public unsafe static void UnitFrameFunc(pmdProcessWork_t wdata, pmdFrameTable_t f, pmdFrameTable_t nf, int now)",FrameFunc
100670937,0x06001DD9,7641,0x000D7694,method,,CameraFrameFunc,"public unsafe static void CameraFrameFunc(pmdProcessWork_t wdata, pmdFrameTable_t f, pmdFrameTable_t nf, int now)",FrameFunc
100670938,0x06001DDA,7642,0x000D76FC,method,,GetNowCameraName,public unsafe static string GetNowCameraName(),API
100670939,0x06001DDB,7643,0x000D7728,method,,QuakeFrameFunc,"public unsafe static void QuakeFrameFunc(pmdProcessWork_t wdata, pmdFrameTable_t f, pmdFrameTable_t nf, int now)",FrameFunc
100670940,0x06001DDC,7644,0x000D7790,method,,FadeFrameFunc,"public unsafe static void FadeFrameFunc(pmdProcessWork_t wdata, pmdFrameTable_t f, pmdFrameTable_t nf, int now)",FrameFunc
100670941,0x06001DDD,7645,0x000D77F8,method,,SeFrameFunc,"public unsafe static void SeFrameFunc(pmdProcessWork_t wdata, pmdFrameTable_t f, pmdFrameTable_t nf, int now)",FrameFunc
100670942,0x06001DDE,7646,0x000D7860,method,,BgmFrameFunc,"public unsafe static void BgmFrameFunc(pmdProcessWork_t wdata, pmdFrameTable_t f, pmdFrameTable_t nf, int now)",FrameFunc
100670943,0x06001DDF,7647,0x000D78C8,method,,BlurFrameFunc,"public unsafe static void BlurFrameFunc(pmdProcessWork_t wdata, pmdFrameTable_t f, pmdFrameTable_t nf, int now)",FrameFunc
100670944,0x06001DE0,7648,0x000D7930,method,,AddEffect,"public unsafe static dds3Basic_t AddEffect(pmdProcessWork_t wdata, pmdFrameTable_t f)",misc
100670945,0x06001DE1,7649,0x000D7988,method,,AddEffectTable,"public unsafe static int AddEffectTable(int now, pmdProcessWork_t wdata, pmdFrameTable_t f, string effname, string targetname, int posindex, int cutno)",misc
100670946,0x06001DE2,7650,0x000D7A2C,method,,AddEffectTableMG12,"public unsafe static int AddEffectTableMG12(int now, pmdProcessWork_t wdata, pmdFrameTable_t f)",misc
100670947,0x06001DE3,7651,0x000D7A90,method,,DelEffectTable,"public unsafe static void DelEffectTable(pmdProcessWork_t wdata, int no)",misc
100670948,0x06001DE4,7652,0x000D7AD4,method,,EffectFrameFunc,"public unsafe static void EffectFrameFunc(pmdProcessWork_t wdata, pmdFrameTable_t f, pmdFrameTable_t nf, int now)",FrameFunc
