type,field,field_type,offset,offset_repr
pmdCameraTable_t,NameIndex,int,,
pmdCameraTable_t,Reserve1,int,,
pmdCameraTable_t,Reserve2,int,,
pmdCameraTable_t,Reserve3,int,,
pmdCutInfo_t,FirstFrame,int,,
pmdCutInfo_t,LastFrame,int,,
pmdCutInfo_t,TotalFrame,int,,
pmdCutInfo_t,Reserve1,int,,
pmdDataInfo_t,c0,sbyte,0,0
pmdDataInfo_t,c1,sbyte,1,1
pmdDataInfo_t,c2,sbyte,2,2
pmdDataInfo_t,c3,sbyte,3,3
pmdDataInfo_t,s0,short,0,0
pmdDataInfo_t,s1,short,2,2
pmdDataInfo_t,i,int,0,0
pmdDataInfo_t,f,float,0,0
pmdDataInfo_t,p,System.IntPtr,0,0
pmdEffectTable_t,NameIndex,int,,
pmdEffectTable_t,DataOffset,int,,
pmdEffectTable_t,Type,int,,
pmdEffectTable_t,Reserve2,int,,
pmdFrameTable_t,ObjectType,ushort,,
pmdFrameTable_t,Frame,ushort,,
pmdFrameTable_t,Length,ushort,,
pmdFrameTable_t,NameIndex,short,,
pmdFrameTable_t,Data,Il2CppStructArray<pmdDataInfo_t>,,
pmdHeader_t,FileType,sbyte,,
pmdHeader_t,FileFormat,sbyte,,
pmdHeader_t,UserID,short,,
pmdHeader_t,FileSize,int,,
pmdHeader_t,MagicCode,Il2CppStructArray<byte>,,
pmdHeader_t,ExpandSize,int,,
pmdHeader_t,TypeTableCount,int,,
pmdHeader_t,Version,int,,
pmdHeader_t,Reserve2,int,,
pmdHeader_t,Reserve3,int,,
pmdNameTable_t,Name,string,,
pmdProcessWork_t,flag,uint,,
pmdProcessWork_t,CameraFirst,int,,
pmdProcessWork_t,Header1,pmdHeader_t,,
pmdProcessWork_t,TypeTable1,Il2CppReferenceArray<pmdTypeTable_t>,,
pmdProcessWork_t,NameTable1,Il2CppReferenceArray<pmdNameTable_t>,,
pmdProcessWork_t,NameCount1,int,,
pmdProcessWork_t,StageTable,pmdStageTable_t,,
pmdProcessWork_t,StageCount,int,,
pmdProcessWork_t,StageF1,Il2CppStructArray<byte>,,
pmdProcessWork_t,StageF2,Il2CppStructArray<byte>,,
