file,field,type,offset
itfMesBinFileHeader_t.cs,filetype,byte,0
itfMesBinFileHeader_t.cs,format,byte,1
itfMesBinFileHeader_t.cs,user_id,short,2
itfMesBinFileHeader_t.cs,filesize,uint,4
itfMesBinFileHeader_t.cs,mgc,uint,8
itfMesBinFileHeader_t.cs,extsize,uint,12
itfMesBinFileHeader_t.cs,ofs_addrinfo,uint,16
itfMesBinFileHeader_t.cs,size_addrinfo,uint,20
itfMesBinFileHeader_t.cs,numtypeheader,uint,24
itfMesBinFileHeader_t.cs,resolveaddress,byte,28
itfMesBinFileHeader_t.cs,reserved0,byte,29
itfMesBinFileHeader_t.cs,version,ushort,30
itfMesBinMesHeader_t.cs,label,Il2CppStructArray<byte>,
itfMesBinMesHeader_t.cs,page,short,
itfMesBinMesHeader_t.cs,speaker,ushort,
itfMesBinMesHeader_t.cs,addr,Il2CppStructArray<uint>,
itfMesBinMesHeader_t.cs,len,Il2CppStructArray<int>,
itfMesBinSelHeader_t.cs,label,Il2CppStructArray<byte>,
itfMesBinSelHeader_t.cs,ext,short,
itfMesBinSelHeader_t.cs,item,short,
itfMesBinSelHeader_t.cs,pattern,short,
itfMesBinSelHeader_t.cs,reserved,ushort,
itfMesBinSelHeader_t.cs,ptr,Il2CppStructArray<uint>,
itfMesBinSelHeader_t.cs,len,Il2CppStructArray<int>,
itfMesBinTypeHeader2_t.cs,ppspkhead,int,
itfMesBinTypeHeader2_t.cs,spknum,int,
itfMesBinTypeHeader2_t.cs,pextdata,int,
itfMesBinTypeHeader2_t.cs,reserved,uint,
itfMesBinTypeHeader_t.cs,type,uint,
itfMesBinTypeHeader_t.cs,ptr,int,
