native_ptr_name,token,method,visibility,member_kind,return,args,overload,category,method_prefix
DAT_STR_REF_DHNAME_Private_Static_String_Int32_0,100669285,DAT_STR_REF_DHNAME,Private,Static,String,['Int32'],0,DAT_STR (string lookup),DAT
DAT_STR_REF_DVNAME_Private_Static_String_Int32_0,100669282,DAT_STR_REF_DVNAME,Private,Static,String,['Int32'],0,DAT_STR (string lookup),DAT
DAT_STR_REF_ITNAME_Private_Static_String_Int32_0,100669284,DAT_STR_REF_ITNAME,Private,Static,String,['Int32'],0,DAT_STR (string lookup),DAT
DAT_STR_REF_RCNAME_Private_Static_String_Int32_0,100669281,DAT_STR_REF_RCNAME,Private,Static,String,['Int32'],0,DAT_STR (string lookup),DAT
DAT_STR_REF_SKNAME_Private_Static_String_Int32_0,100669283,DAT_STR_REF_SKNAME,Private,Static,String,['Int32'],0,DAT_STR (string lookup),DAT
GetDataBytes_Internal_Static_Il2CppStructArray_1_Byte_Il2CppStructArray_1_Byte_Int32_Int32_0,100669410,GetDataBytes,Internal,Static,Il2CppStructArray,"['1', 'Byte', 'Il2CppStructArray', '1', 'Byte', 'Int32', 'Int32']",0,Lookup/helpers,GetDataBytes
GetFRQString_Internal_Static_String__FRQ_0,100669287,GetFRQString,Internal,Static,String,"['', 'FRQ']",0,Lookup/helpers,GetFRQString
GetFontHandleUnit_Internal_Static__FRQ_Il2CppStructArray_1_Byte_Il2CppStructArray_1_UInt32_Il2CppStructArray_1_Int32_Int32_UInt32_Int32_Int32_UInt32_0,100669315,GetFontHandleUnit,Internal,Static,,"['FRQ', 'Il2CppStructArray', '1', 'Byte', 'Il2CppStructArray', '1', 'UInt32', 'Il2CppStructArray', '1', 'Int32', 'Int32', 'UInt32', 'Int32', 'Int32', 'UInt32']",0,Lookup/helpers,GetFontHandleUnit
GetLastLinkFontHandle_Public_Static__FRQ__FRQ_0,100669393,GetLastLinkFontHandle,Public,Static,,"['FRQ', '', 'FRQ']",0,Lookup/helpers,GetLastLinkFontHandle
GetLastMessagePara_Internal_Static_Void__FRQ_message_tag_0,100669394,GetLastMessagePara,Internal,Static,Void,"['', 'FRQ', 'message', 'tag']",0,Lookup/helpers,GetLastMessagePara
GetMaskedIndex_Internal_Static_Int32_Int32_UInt32_0,100669323,GetMaskedIndex,Internal,Static,Int32,"['Int32', 'UInt32']",0,Lookup/helpers,GetMaskedIndex
GetMessagePagePtr_Internal_Static_Il2CppStructArray_1_Byte_itfMesBinMesHeader_t_Il2CppStructArray_1_Byte_Int32_0,100669293,GetMessagePagePtr,Internal,Static,Il2CppStructArray,"['1', 'Byte', 'itfMesBinMesHeader', 't', 'Il2CppStructArray', '1', 'Byte', 'Int32']",0,Lookup/helpers,GetMessagePagePtr
GetNumSelectItem_Internal_Static_Int32_Int32_UInt32_0,100669314,GetNumSelectItem,Internal,Static,Int32,"['Int32', 'UInt32']",0,Lookup/helpers,GetNumSelectItem
GetSpeakerName_Internal_Static_Il2CppStructArray_1_Byte_instanceMes_tag_0,100669313,GetSpeakerName,Internal,Static,Il2CppStructArray,"['1', 'Byte', 'instanceMes', 'tag']",0,Lookup/helpers,GetSpeakerName
GetTypeHeader_Internal_Static_itfMesBinTypeHeader_t_instanceMes_tag_Int32_0,100669291,GetTypeHeader,Internal,Static,itfMesBinTypeHeader,"['t', 'instanceMes', 'tag', 'Int32']",0,Lookup/helpers,GetTypeHeader
GetTypeHeader2_Internal_Static_itfMesBinTypeHeader2_t_Il2CppStructArray_1_Byte_0,100669292,GetTypeHeader2,Internal,Static,itfMesBinTypeHeader2,"['t', 'Il2CppStructArray', '1', 'Byte']",0,Lookup/helpers,GetTypeHeader2
CalcCurCtr_Private_Static_Void_instanceMes_tag_0,100669401,CalcCurCtr,Private,Static,Void,"['instanceMes', 'tag']",0,Other,CalcCurCtr
CalcManagerProc_Private_Static_dds3ProcessFunc_t_dds3ProcessID_t_0,100669407,CalcManagerProc,Private,Static,dds3ProcessFunc,"['t', 'dds3ProcessID', 't']",0,Other,CalcManagerProc
CalcMesFlow_Internal_Static_Void_instanceMes_tag_0,100669339,CalcMesFlow,Internal,Static,Void,"['instanceMes', 'tag']",0,Other,CalcMesFlow
CalcMessage_Internal_Static_Void_instanceMes_tag_0,100669341,CalcMessage,Internal,Static,Void,"['instanceMes', 'tag']",0,Other,CalcMessage
CalcSelect_Private_Static_Void_instanceMes_tag_0,100669396,CalcSelect,Private,Static,Void,"['instanceMes', 'tag']",0,Other,CalcSelect
CalcWindow_Internal_Static_Void_instanceMes_tag_0,100669340,CalcWindow,Internal,Static,Void,"['instanceMes', 'tag']",0,Other,CalcWindow
CallEventVoice_Internal_Static_Void_instanceMes_tag_0,100669411,CallEventVoice,Internal,Static,Void,"['instanceMes', 'tag']",0,Other,CallEventVoice
ChangeFontAlpha_Internal_Static_Void__FRQ_Int32_0,100669322,ChangeFontAlpha,Internal,Static,Void,"['', 'FRQ', 'Int32']",0,Other,ChangeFontAlpha
ChangeFontColorAll_Internal_Static_Void__FRQ_Int32_0,100669321,ChangeFontColorAll,Internal,Static,Void,"['', 'FRQ', 'Int32']",0,Other,ChangeFontColorAll
ChangeFontPosition_Internal_Static_Void__FRQ_Int32_Int32_0,100669318,ChangeFontPosition,Internal,Static,Void,"['', 'FRQ', 'Int32', 'Int32']",0,Other,ChangeFontPosition
ChangeSelection_Internal_Static_Void_Int32_Int32_0,100669320,ChangeSelection,Internal,Static,Void,"['Int32', 'Int32']",0,Other,ChangeSelection
ChangeZBuffer_Internal_Static_Void__FRQ_UInt32_0,100669319,ChangeZBuffer,Internal,Static,Void,"['', 'FRQ', 'UInt32']",0,Other,ChangeZBuffer
ClearMessage_Internal_Static_Void_0,100669297,ClearMessage,Internal,Static,Void,[],0,Other,ClearMessage
ClearSpeaker_Internal_Static_Void_0,100669298,ClearSpeaker,Internal,Static,Void,[],0,Other,ClearSpeaker
CommitVarTable_Internal_Static_Void_variable_tag_0,100669312,CommitVarTable,Internal,Static,Void,"['variable', 'tag']",0,Other,CommitVarTable
ConvertZenkakuNumber_Internal_Static_Void_byref_String_Int32_0,100669337,ConvertZenkakuNumber,Internal,Static,Void,"['byref', 'String', 'Int32']",0,Other,ConvertZenkakuNumber
CountLineMessage_Private_Static_Int32__FRQ__FRQ_0,100669395,CountLineMessage,Private,Static,Int32,"['', 'FRQ', '', 'FRQ']",0,Other,CountLineMessage
DebugDrawWindowLine_Private_Static_Void_itfpanel_t_0,100669409,DebugDrawWindowLine,Private,Static,Void,"['itfpanel', 't']",0,Other,DebugDrawWindowLine
DestructFlow_Internal_Static_Void_Int32_0,100669289,DestructFlow,Internal,Static,Void,['Int32'],0,Other,DestructFlow
