type_kind,file,name,type
property,mesflow_tag.cs,linkheader,itfmisclinkheader_t
property,mesflow_tag.cs,pinst,instanceMes_tag
property,mesflow_tag.cs,memhandle,sdfMemHandle_t
property,instanceMes_tag.cs,stat,uint
property,instanceMes_tag.cs,pdata,Il2CppSystem.Object
property,instanceMes_tag.cs,pext,Il2CppSystem.Object
property,instanceMes_tag.cs,z,uint
property,instanceMes_tag.cs,otindex,short
property,instanceMes_tag.cs,type,short
property,instanceMes_tag.cs,speaker,Speaker_tag
property,instanceMes_tag.cs,message,message_tag
property,instanceMes_tag.cs,select,select_tag
property,instanceMes_tag.cs,window,window_tag
property,instanceMes_tag.cs,variable,variable_tag
property,instanceMes_tag.cs,curctr,curctr_tag
property,instanceMes_tag.cs,func_kuti,instanceMes_tag.func_kutiDelegate
property,instanceMes_tag.cs,master_text,Il2CppStringArray
property,instanceMes_tag.cs,key,string
property,instanceMes_tag.cs,id,int
property,message_tag.cs,pos,sdfIVector2_t
property,message_tag.cs,pbinheader,itfMesBinMesHeader_t
property,message_tag.cs,pfont,_FRQ
property,message_tag.cs,phase,sbyte
property,message_tag.cs,wait,byte
property,message_tag.cs,last_style,byte
property,message_tag.cs,last_col,byte
property,message_tag.cs,last_tp,byte
property,message_tag.cs,last_spd,byte
property,message_tag.cs,lines,short
property,message_tag.cs,page,short
property,message_tag.cs,maxpage,short
property,message_tag.cs,callmode,int
property,select_tag.cs,pos,sdfIVector2_t
property,select_tag.cs,pfont,_FRQ
property,select_tag.cs,mask,uint
property,select_tag.cs,phase,short
property,select_tag.cs,select,short
property,select_tag.cs,select_imm,short
property,select_tag.cs,lines,short
property,select_tag.cs,alpha,short
property,select_tag.cs,numdef,short
property,select_tag.cs,defkey,Il2CppReferenceArray<defkey_tag>
property,window_tag.cs,spk,itfpanel_t
property,window_tag.cs,mes,itfpanel_t
property,window_tag.cs,mes_offset,sdfIVector4_t
property,window_tag.cs,mes_color,sdfIVector4_t
property,Speaker_tag.cs,pos,sdfIVector2_t
property,Speaker_tag.cs,pfont,_FRQ
property,Speaker_tag.cs,num,ushort
property,variable_tag.cs,pptr,Il2CppStringArray
property,variable_tag.cs,pmh,Il2CppReferenceArray<sdfMemHandle_t>
property,curctr_tag.cs,isdraw,byte
property,curctr_tag.cs,phase,short
property,curctr_tag.cs,ctr0,short
property,curctr_tag.cs,ctr1,short
property,curctr_tag.cs,ctr_key,uint
