type,token,method_key
FsSaveData,100674358,SaveInit_Public_Void_0
FsSaveData,100674359,Save_Public_Boolean_Int32_dds3GlobalWork_t_Boolean_0
FsSaveData,100674360,CreateSaveBuffer_Public_Il2CppStructArray_1_Byte_0
FsSaveData,100674361,Load_Public_Boolean_0
FsSaveData,100674362,RestoreloadBuff_Public_Boolean_Il2CppStructArray_1_Byte_0
FsSaveData,100674363,LoadCorrectionVer6_Private_Void_byref_Int32_byref_dds3GlobalWork_tag_Int32_0
FsSaveData,100674364,LoadCorrectionVer7_Private_Void_byref_dds3GlobalWork_tag_byref_dds3WorkVer7_tag_0
FsSaveData,100674365,Load_Public_Int32_Int32_byref_dds3GlobalWork_t_byref_dds3AdditionWork_t_0
FsSaveData,100674366,loadHeaderGameFileInfo_Public_Void_Int32_byref_GameFileInfo_t_0
FsSaveData,100674367,GetSuspendFieldArea_Public_Void_byref_Int32_byref_Int32_0
FsSaveData,100674368,GetSuspendDispName_Public_Void_byref_Int32_byref_Int32_0
FsSaveData,100674369,SteamConfigLocalInit_Public_Void_0
FsSaveData,100674370,SteamConfigLocalCopy_Public_Void_Int32_Boolean_0
FsSaveData,100674371,SteamConfigLocalCreate_Private_Void_Int32_0
FsSaveData,100674372,SteamConfigLocalClear_Public_Void_Int32_0
FsSaveData,100674373,SteamConfigLocalLoad_Public_Void_0
FsSaveData,100674374,SteamConfigLocalSave_Public_Void_0
FsSaveData,100674375,GetConfigLocal_Public_Il2CppStructArray_1_Int32_Int32_0
FsSaveData,100674376,SetConfigLocal_Public_Void_Int32_Il2CppStructArray_1_Int32_0
FsSaveData,100674377,_ctor_Public_Void_0
SAVEDATA,100674379,restoreSystemVer7_Public_Void_0
SAVEDATA,100674380,backupSystemVer7_Public_Void_0
SAVEDATA,100674381,initSystemVer7_Public_Void_0
SAVEDATA,100674382,initialize_Public_Void_0
SAVEDATA,100674383,initPushBlock_Private_Void_byref_Il2CppReferenceArray_1_fldBlockBuff_tag_0
SAVEDATA,100674384,initCreate_Private_Void_byref_dds3GlobalWork_tag_byref_dds3WorkVer7_tag_0
SAVEDATA,100674385,initAddition_Private_Void_0
SAVEDATA,100674386,initSystem_Private_Void_0
SAVEDATA,100674387,setHeaderGameFileInfo_Public_Void_Int32_byref_GameFileInfo_t_0
SAVEDATA,100674388,restoreGameFileInfo_Private_Void_GameFileInfo_tag_byref_GameFileInfo_t_dds3WorkVer7_tag_0
SAVEDATA,100674389,restorePushBlock_Private_Void_byref_Il2CppReferenceArray_1_fldBlockBuff_tag_byref_Il2CppReferenceArray_1_fldBlockBuff_t_0
SAVEDATA,100674390,restoreData_Public_Void_Int32_byref_dds3GlobalWork_t_byref_dds3AdditionWork_t_0
SAVEDATA,100674391,restoreBuff_Public_Void_dds3GlobalWork_tag_byref_dds3GlobalWork_t_dds3WorkVer7_tag_0
SAVEDATA,100674392,restoreAddition_Public_Void_byref_dds3AdditionWork_t_0
SAVEDATA,100674393,restoreSystem_Public_Void_0
SAVEDATA,100674394,backupPushBlock_Private_Void_byref_Il2CppReferenceArray_1_fldBlockBuff_tag_byref_Il2CppReferenceArray_1_fldBlockBuff_t_0
SAVEDATA,100674395,backupData_Public_Void_Int32_dds3GlobalWork_t_Boolean_0
SAVEDATA,100674396,backupBuff_Public_Void_byref_dds3GlobalWork_tag_dds3GlobalWork_t_byref_dds3WorkVer7_tag_0
SAVEDATA,100674397,backupAddition_Private_Void_0
SAVEDATA,100674398,backupSystem_Public_Void_0
SAVEDATA,100674399,_ctor_Public_Void_0
SteamSaveData,100674187,SaveFile_Public_Static_Void_Il2CppStructArray_1_Byte_String_0
SteamSaveData,100674188,LoadFile_Public_Static_Il2CppStructArray_1_Byte_String_0
SteamSaveData,100674189,GetFileSize_Public_Static_Int32_String_0
SteamSaveData,100674190,GetFreeSpace_Public_Static_UInt64_Boolean_0
SteamSaveData,100674191,GetFilePath_Public_Static_String_0
SteamSaveData,100674192,Encrypt_Private_Static_Il2CppStructArray_1_Byte_Il2CppStructArray_1_Byte_0
SteamSaveData,100674193,Decrypt_Private_Static_Il2CppStructArray_1_Byte_Il2CppStructArray_1_Byte_0
dds3GlobalWork,100664448,dds3GlobalWorkMainProc_Private_Static_dds3ProcessFunc_t_dds3ProcessID_t_0
dds3GlobalWork,100664449,UserInit_Private_Static_Void_0
dds3GlobalWork,100664450,UserDestroy_Private_Static_Void_0
dds3GlobalWork,100664451,dds3GlobalWorkInit_Public_Static_Void_0
dds3GlobalWork,100664452,dds3GlobalWorkDestroy_Public_Static_Void_0
dds3GlobalWork,100664453,NewGame2Push_Private_Static_Void_0
dds3GlobalWork,100664454,NewGame2Pop_Private_Static_Void_0
dds3GlobalWork,100664455,dds3GlobalWorkUserInit2_Public_Static_Void_Int32_0
