type,token,label,notes
FsSaveData,100674359,"FsSaveData.Save(slot, globalWork, isSuspend?) -> bool",
FsSaveData,100674360,FsSaveData.CreateSaveBuffer() -> byte[],
FsSaveData,100674365,"FsSaveData.Load(slot, out globalWork, out additionWork) -> int",
FsSaveData,100674366,"FsSaveData.loadHeaderGameFileInfo(slot, out GameFileInfo_t)",
FsSaveData,100674367,"FsSaveData.GetSuspendFieldArea(out fieldID, out areaID)",
FsSaveData,100674368,"FsSaveData.GetSuspendDispName(out nameU, out nameD)",
FsSaveData,100674373,FsSaveData.SteamConfigLocalLoad(),
FsSaveData,100674374,FsSaveData.SteamConfigLocalSave(),
SAVEDATA,100674379,SAVEDATA.restoreSystemVer7(),
SAVEDATA,100674380,SAVEDATA.backupSystemVer7(),
SAVEDATA,100674382,SAVEDATA.initialize(),
SAVEDATA,100674387,"SAVEDATA.setHeaderGameFileInfo(slot, ref GameFileInfo_t)",
SAVEDATA,100674390,"SAVEDATA.restoreData(slot, out globalWork, out additionWork)",
SAVEDATA,100674395,"SAVEDATA.backupData(slot, globalWork, isSuspend?)",
SteamSaveData,100674187,"SteamSaveData.SaveFile(bytes, filename)",
SteamSaveData,100674188,SteamSaveData.LoadFile(filename) -> byte[],
SteamSaveData,100674189,SteamSaveData.GetFileSize(filename) -> int,
SteamSaveData,100674190,SteamSaveData.GetFreeSpace(refresh?) -> ulong,
SteamSaveData,100674191,SteamSaveData.GetFilePath() -> string,
dds3GlobalWork,100664451,dds3GlobalWork.dds3GlobalWorkInit(),
dds3GlobalWork,100664452,dds3GlobalWork.dds3GlobalWorkDestroy(),
dds3GlobalWork,100664455,dds3GlobalWork.dds3GlobalWorkUserInit2(arg0),
