type,field,field_type
GameFileInfo_t,Lv,char
GameFileInfo_t,PlayTime,int
GameFileInfo_t,TmnlId,char
GameFileInfo_t,TmnlMode,char
GameFileInfo_t,autoMapOpen,Il2CppStructArray<sbyte>
GameFileInfo_t,autoMapOpenEX,Il2CppStructArray<sbyte>
GameFileInfo_t,cname_code,string
GameFileInfo_t,cname_nums,char
GameFileInfo_t,dante_mode,char
GameFileInfo_t,end_list,Il2CppStructArray<char>
GameFileInfo_t,endcnt,short
GameFileInfo_t,mode,char
GameFileInfo_t,nameLang,int
GameFileInfo_t,newfile,short
GameFileInfo_t,pad3,string
GameFileInfo_t,saveTime,long
GameFileInfo_t,ver,char
GameFileInfo_t,verstr,Il2CppStructArray<char>
dds3AdditionWork_t,AmFloor,int
dds3AdditionWork_t,BgmId,int
dds3AdditionWork_t,CamMode,byte
dds3AdditionWork_t,CamTableIdx,int
dds3AdditionWork_t,SeId,int
dds3AdditionWork_t,WarpIndex,byte
dds3AdditionWork_t,areaID,int
dds3AdditionWork_t,dummy,Il2CppStructArray<sbyte>
dds3AdditionWork_t,fieldID,int
dds3AdditionWork_t,gFldNowDZone,byte
dds3AdditionWork_t,nameD,int
dds3AdditionWork_t,nameU,int
dds3AdditionWork_t,playerPos,Vector4
dds3AdditionWork_t,playerRot,Vector4
dds3GlobalWork_t,EventBit,Il2CppStructArray<int>
dds3GlobalWork_t,FloatVariable,Il2CppStructArray<float>
dds3GlobalWork_t,GameFileInfo,GameFileInfo_t
dds3GlobalWork_t,IntVariable,Il2CppStructArray<int>
dds3GlobalWork_t,Moon,evtMoon_t
dds3GlobalWork_t,amap31,fldAutoMapBuff31_t
dds3GlobalWork_t,amap31_Ver7,fldAutoMapBuff31_t
dds3GlobalWork_t,amapEX,fldAutoMapBuffEX_t
dds3GlobalWork_t,amapEX_Ver7,fldAutoMapBuffEX_t
dds3GlobalWork_t,amap_Ver7,fldAutoMapBuff_t
dds3GlobalWork_t,boss_press,Il2CppReferenceArray<Il2CppStructArray<int>>
dds3GlobalWork_t,bouga_cnt,ushort
dds3GlobalWork_t,cname_code,Il2CppReferenceArray<Il2CppStructArray<byte>>
dds3GlobalWork_t,cname_nums,Il2CppStructArray<byte>
dds3GlobalWork_t,config_data,Il2CppReferenceArray<Il2CppStructArray<int>>
dds3GlobalWork_t,dmy,int
dds3GlobalWork_t,encountcnt,ushort
dds3GlobalWork_t,encountkyori,float
dds3GlobalWork_t,encyc_record,fclEncycRecord_t
dds3GlobalWork_t,fldSave,fldSave_t
dds3GlobalWork_t,hearts,Il2CppStructArray<byte>
dds3GlobalWork_t,hearts_sk,Il2CppReferenceArray<Il2CppStructArray<ushort>>
dds3GlobalWork_t,hearts_up_param,Il2CppReferenceArray<Il2CppStructArray<sbyte>>
dds3GlobalWork_t,heartscnt,byte
dds3GlobalWork_t,heartsequip,byte
dds3GlobalWork_t,heartsskcnt,Il2CppStructArray<byte>
dds3GlobalWork_t,item,Il2CppStructArray<byte>
dds3GlobalWork_t,kotowari,Il2CppStructArray<byte>
dds3GlobalWork_t,maka,int
dds3GlobalWork_t,maxstock,int
dds3GlobalWork_t,mh,sdfMemHandle_t
dds3GlobalWork_t,nameLanguage,int
dds3GlobalWork_t,name_code,Il2CppReferenceArray<Il2CppStructArray<byte>>
dds3GlobalWork_t,name_nums,Il2CppReferenceArray<Il2CppStructArray<byte>>
dds3GlobalWork_t,negoques,Il2CppStructArray<byte>
dds3GlobalWork_t,playtime,int
dds3GlobalWork_t,runtime,int
dds3GlobalWork_t,stat,uint
dds3GlobalWork_t,stockcnt,int
dds3GlobalWork_t,stocklist,Il2CppStructArray<int>
dds3GlobalWork_t,syakkincnt,Il2CppStructArray<byte>
dds3GlobalWork_t,unitwork,Il2CppReferenceArray<datUnitWork_t>
dds3GlobalWork_t,wakimi_id,ushort
fldAutoMapBuff_t,blkOpenFlg,Il2CppReferenceArray<Il2CppStructArray<uint>>
fldBlockBuff_t,EanimeCngID,Il2CppStructArray<byte>
fldBlockBuff_t,EanimeOffFlg,ushort
fldBlockBuff_t,EviewOffFlg,ushort
fldBlockBuff_t,ManimeOffFlg,ushort
fldBlockBuff_t,MviewOffFlg,ushort
fldBlockBuff_t,gimicLastFlg,ushort
fldBlockBuff_t,hitOffFlg,ushort
fldBlockBuff_t,npcOffFlg,ushort
fldSaveNml_t,_fld,short
fldSaveNml_t,_flg,short
fldSaveSml_t,_fld,short
fldSaveSml_t,_jmp,short
fldSave_t,AnahoriCnt,int
fldSave_t,PushBlock,Il2CppReferenceArray<Il2CppReferenceArray<fldBlockBuff_t>>
fldSave_t,amap,fldAutoMapBuff_t
fldSave_t,pub,Il2CppStructArray<int>
fldSave_t,takara,Il2CppStructArray<byte>
fldSave_t,takara2,Il2CppStructArray<byte>
fldSave_t,tmnlid,short
fldSave_t,tmnltype,short
