struct,field,type,file
cmpCursorInfo_t,CursorPos,cmpCursorPos_t,cmpCursorInfo_t.cs
cmpCursorInfo_t,CursorSize,cmpCursorSize_t,cmpCursorInfo_t.cs
cmpCursorInfo_t,StepY,int,cmpCursorInfo_t.cs
cmpCursorInfo_t,StopFlag,sbyte,cmpCursorInfo_t.cs
cmpDataStock_t,MH,sdfMemHandle_t,cmpDataStock_t.cs
cmpDataStock_t,Mode,sbyte,cmpDataStock_t.cs
cmpDataStock_t,SeqInfo,cmpSeqInfo_t,cmpDataStock_t.cs
cmpDataStock_t,pStockInfo,cmpStockInfo_t,cmpDataStock_t.cs
cmpSeqInfo_s,Change,sbyte,cmpSeqInfo_s.cs
cmpSeqInfo_s,Current,sbyte,cmpSeqInfo_s.cs
cmpSeqInfo_s,Flag,byte,cmpSeqInfo_s.cs
cmpSeqInfo_s,Last,sbyte,cmpSeqInfo_s.cs
cmpSeqInfo_s,MesFlag,sbyte,cmpSeqInfo_s.cs
cmpSeqInfo_s,MesPID,dds3ProcessID_t,cmpSeqInfo_s.cs
cmpSeqInfo_s,Next,sbyte,cmpSeqInfo_s.cs
cmpSeqInfo_s,Timer,int,cmpSeqInfo_s.cs
cmpSeqInfo_s,pParent,cmpSeqInfo_s,cmpSeqInfo_s.cs
cmpStockInfo_t,DrawMode,sbyte,cmpStockInfo_t.cs
cmpStockInfo_t,LocalStock,Il2CppReferenceArray<cmpLocalStock_t>,cmpStockInfo_t.cs
cmpStockInfo_t,SelPos,Il2CppReferenceArray<cmpCursorInfo_t>,cmpStockInfo_t.cs
