class,wrapper_file,native_name,token_dec,method,access,is_static,system
cmpCalc,cmpCalc.cs,cmpChkStockRemoveEff_Public_Static_SByte_cmpStockInfo_t_0,100663588,cmpChkStockRemoveEff,Public,True,camp
cmpCalc,cmpCalc.cs,cmpSetStockRemoveEff_Public_Static_Void_cmpStockInfo_t_0,100663589,cmpSetStockRemoveEff,Public,True,camp
cmpCalc,cmpCalc.cs,cmpIniStockRecoverEff_Public_Static_Void_0,100663590,cmpIniStockRecoverEff,Public,True,camp
cmpCalc,cmpCalc.cs,cmpSetStockRecoverEff_Public_Static_Void_SByte_UInt16_cmpStockInfo_t_0,100663591,cmpSetStockRecoverEff,Public,True,camp
cmpCalc,cmpCalc.cs,cmpDestroyItem_Public_Static_SByte_SByte_0,100663592,cmpDestroyItem,Public,True,camp
cmpCalc,cmpCalc.cs,cmpGetSelectSrcStock_Public_Static_datUnitWork_t_0,100663593,cmpGetSelectSrcStock,Public,True,camp
cmpCalc,cmpCalc.cs,cmpGetSelectDstIndex_Public_Static_Int32_0,100663594,cmpGetSelectDstIndex,Public,True,camp
cmpCalc,cmpCalc.cs,cmpGetSelectDstStock_Public_Static_datUnitWork_t_0,100663595,cmpGetSelectDstStock,Public,True,camp
cmpCalc,cmpCalc.cs,cmpGetSelectItemID_Public_Static_UInt16_0,100663596,cmpGetSelectItemID,Public,True,camp
cmpCalc,cmpCalc.cs,cmpSetItSkMessageVar_Public_Static_Void_datUnitWork_t_0,100663597,cmpSetItSkMessageVar,Public,True,camp
cmpCalc,cmpCalc.cs,cmpGetItSkErrSelFlag_Public_Static_UInt32_UInt16_0,100663598,cmpGetItSkErrSelFlag,Public,True,camp
cmpCalc,cmpCalc.cs,cmpGetSkillMsgIndex_Public_Static_Int32_Int32_UInt16_0,100663599,cmpGetSkillMsgIndex,Public,True,camp
cmpCalc,cmpCalc.cs,cmpGetItemMsgIndex_Public_Static_Int32_Int32_UInt16_0,100663600,cmpGetItemMsgIndex,Public,True,camp
cmpCalc,cmpCalc.cs,cmpCreateLocalItem_Public_Static_Void_Byte_0,100663601,cmpCreateLocalItem,Public,True,camp
cmpCalc,cmpCalc.cs,cmpStartSkillTokusyuMsg_Public_Static_Int32_UInt16_0,100663602,cmpStartSkillTokusyuMsg,Public,True,camp
cmpCalc,cmpCalc.cs,cmpStartItemTokusyuMsg_Public_Static_Int32_UInt16_0,100663603,cmpStartItemTokusyuMsg,Public,True,camp
cmpCalc,cmpCalc.cs,cmpStartSkillMsg_Public_Static_Int32_UInt16_UInt32_0,100663604,cmpStartSkillMsg,Public,True,camp
