struct,field,type,file
cmbGlobalWork_t,AccidentDevil,datUnitWork_t,cmbGlobalWork_t.cs
cmbGlobalWork_t,AccidentFlag,sbyte,cmbGlobalWork_t.cs
cmbGlobalWork_t,ActCnt,int,cmbGlobalWork_t.cs
cmbGlobalWork_t,ActFlag,sbyte,cmbGlobalWork_t.cs
cmbGlobalWork_t,ActMaskRate,float,cmbGlobalWork_t.cs
cmbGlobalWork_t,ActTimeTablePos,int,cmbGlobalWork_t.cs
cmbGlobalWork_t,BirthDevil,datUnitWork_t,cmbGlobalWork_t.cs
cmbGlobalWork_t,BirthDevilFlag,sbyte,cmbGlobalWork_t.cs
cmbGlobalWork_t,BirthDevilOrg,datUnitWork_t,cmbGlobalWork_t.cs
cmbGlobalWork_t,CmdSelInfo,cmpCmdSelInfo_t,cmbGlobalWork_t.cs
cmbGlobalWork_t,CollectMH,sdfMemHandle_t,cmbGlobalWork_t.cs
cmbGlobalWork_t,DevilNums,byte,cmbGlobalWork_t.cs
cmbGlobalWork_t,EffCsr,int,cmbGlobalWork_t.cs
cmbGlobalWork_t,EffHandle,Il2CppReferenceArray<effEVECombParSmoke_t>,cmbGlobalWork_t.cs
cmbGlobalWork_t,ErrorFlag,sbyte,cmbGlobalWork_t.cs
cmbGlobalWork_t,EventEnd,int,cmbGlobalWork_t.cs
cmbGlobalWork_t,HelpFlag,sbyte,cmbGlobalWork_t.cs
cmbGlobalWork_t,IdxNums,sbyte,cmbGlobalWork_t.cs
cmbGlobalWork_t,Initialized,bool,cmbGlobalWork_t.cs
cmbGlobalWork_t,IntroFlag,sbyte,cmbGlobalWork_t.cs
cmbGlobalWork_t,Jyakyo1st,byte,cmbGlobalWork_t.cs
cmbGlobalWork_t,LevelLimit,int,cmbGlobalWork_t.cs
cmbGlobalWork_t,ListWindow,lstListWindow_t,cmbGlobalWork_t.cs
cmbGlobalWork_t,MH,sdfMemHandle_t,cmbGlobalWork_t.cs
cmbGlobalWork_t,ModelPack,Il2CppReferenceArray<cmbModelPack_t>,cmbGlobalWork_t.cs
cmbGlobalWork_t,ModelPos,Il2CppStructArray<Vector4>,cmbGlobalWork_t.cs
cmbGlobalWork_t,MovieSkip,int,cmbGlobalWork_t.cs
cmbGlobalWork_t,NoDraw,int,cmbGlobalWork_t.cs
cmbGlobalWork_t,PMPID,dds3ProcessID_t,cmbGlobalWork_t.cs
cmbGlobalWork_t,PanelMover,Il2CppReferenceArray<fclPanelMover_t>,cmbGlobalWork_t.cs
cmbGlobalWork_t,RandomSkillSw,int,cmbGlobalWork_t.cs
cmbGlobalWork_t,RepeatSw,int,cmbGlobalWork_t.cs
cmbGlobalWork_t,Result,cmbResultTable_t,cmbGlobalWork_t.cs
cmbGlobalWork_t,ScriptMH,sdfMemHandle_t,cmbGlobalWork_t.cs
cmbGlobalWork_t,ScriptPID,dds3ProcessID_t,cmbGlobalWork_t.cs
cmbGlobalWork_t,SelDev,Il2CppReferenceArray<cmbSelDev_t>,cmbGlobalWork_t.cs
cmbGlobalWork_t,SeqInfo,cmpSeqInfo_t,cmbGlobalWork_t.cs
cmbGlobalWork_t,SpriteBG,fclSprite_t,cmbGlobalWork_t.cs
cmbGlobalWork_t,StatFlag,sbyte,cmbGlobalWork_t.cs
cmbGlobalWork_t,StatTarget,sbyte,cmbGlobalWork_t.cs
cmbGlobalWork_t,StockIdx,Il2CppStructArray<sbyte>,cmbGlobalWork_t.cs
cmbGlobalWork_t,TalkSelInfo,cmpCmdSelInfo_t,cmbGlobalWork_t.cs
cmbGlobalWork_t,TexHandle,Il2CppReferenceArray<sdfTexHandle_t>,cmbGlobalWork_t.cs
cmbGlobalWork_t,TokusyuBGM,sbyte,cmbGlobalWork_t.cs
cmbGlobalWork_t,WorkCI,Il2CppReferenceArray<cmpCursorInfo_t>,cmbGlobalWork_t.cs
cmbGlobalWork_t,ZensyoList,Il2CppReferenceArray<datUnitWork_t>,cmbGlobalWork_t.cs
cmbGlobalWork_t,ZensyoSelInfo,cmpCmdSelInfo_t,cmbGlobalWork_t.cs
cmbGlobalWork_t,bDrawDisabled,bool,cmbGlobalWork_t.cs
cmbGlobalWork_t,bDrawStat,int,cmbGlobalWork_t.cs
cmbGlobalWork_t,bFirstMsg,bool,cmbGlobalWork_t.cs
cmbGlobalWork_t,bLoadModel,bool,cmbGlobalWork_t.cs
cmbGlobalWork_t,bMaxParam,bool,cmbGlobalWork_t.cs
cmbGlobalWork_t,bReadPhase,bool,cmbGlobalWork_t.cs
cmbGlobalWork_t,bUnlock,bool,cmbGlobalWork_t.cs
cmbGlobalWork_t,mKeisyoList,fclKeisyoList_t,cmbGlobalWork_t.cs
cmbGlobalWork_t,mSkillConfCur,int,cmbGlobalWork_t.cs
cmbGlobalWork_t,mSkillSelectCount,int,cmbGlobalWork_t.cs
cmbGlobalWork_t,mSkillSelectCur,int,cmbGlobalWork_t.cs
cmbGlobalWork_t,mSkillSelectMax,int,cmbGlobalWork_t.cs
cmbGlobalWork_t,mSkillSelectOrg,int,cmbGlobalWork_t.cs
cmbGlobalWork_t,mSkillSelectPage,int,cmbGlobalWork_t.cs
cmbGlobalWork_t,mSkillSelectPage1,int,cmbGlobalWork_t.cs
cmbGlobalWork_t,pCollectData,Il2CppStructArray<byte>,cmbGlobalWork_t.cs
cmbGlobalWork_t,pEffParam,effEVECombParSmokeParam_t,cmbGlobalWork_t.cs
cmbGlobalWork_t,pRibbon,fclRibbon_t,cmbGlobalWork_t.cs
cmbGlobalWork_t,pScriptData,Il2CppStructArray<byte>,cmbGlobalWork_t.cs
cmbKeisyoSort_t,KeiAttr,byte,cmbKeisyoSort_t.cs
cmbKeisyoSort_t,KeisyoSkill,ushort,cmbKeisyoSort_t.cs
cmbResultTable_t,b_id,Il2CppReferenceArray<Il2CppReferenceArray<Il2CppStructArray<ushort>>>,cmbResultTable_t.cs
cmbResultTable_t,devil,Il2CppReferenceArray<Il2CppReferenceArray<Il2CppReferenceArray<datUnitWork_t>>>,cmbResultTable_t.cs
cmbResultTable_t,flag,sbyte,cmbResultTable_t.cs
cmbResultTable_t,keisyo,Il2CppReferenceArray<Il2CppReferenceArray<Il2CppReferenceArray<fclKeisyoList_t>>>,cmbResultTable_t.cs
cmbResultTable_t,keisyoAll,Il2CppReferenceArray<Il2CppReferenceArray<Il2CppReferenceArray<fclKeisyoListAll_t>>>,cmbResultTable_t.cs
cmbResultTable_t,table,Il2CppReferenceArray<Il2CppReferenceArray<Il2CppStructArray<sbyte>>>,cmbResultTable_t.cs
cmbSelDev_t,CursorIndex,sbyte,cmbSelDev_t.cs
cmbSelDev_t,ID,ushort,cmbSelDev_t.cs
cmbSelDev_t,Index,sbyte,cmbSelDev_t.cs
fclDataRag_t,BackPanel,fclPanel_t,fclDataRag_t.cs
fclDataRag_t,CmdSelInfo,cmpCmdSelInfo_t,fclDataRag_t.cs
fclDataRag_t,Devil,datUnitWork_t,fclDataRag_t.cs
fclDataRag_t,EventEnd,int,fclDataRag_t.cs
fclDataRag_t,HeartsFlag,sbyte,fclDataRag_t.cs
fclDataRag_t,HelpPanel,fclPanel_t,fclDataRag_t.cs
fclDataRag_t,InitFlag,sbyte,fclDataRag_t.cs
fclDataRag_t,Initialized,bool,fclDataRag_t.cs
fclDataRag_t,ItemList,Il2CppStructArray<sbyte>,fclDataRag_t.cs
fclDataRag_t,ItemListCnt,sbyte,fclDataRag_t.cs
fclDataRag_t,ItemWindow,lstListWindow_t,fclDataRag_t.cs
fclDataRag_t,MitamaList,Il2CppStructArray<sbyte>,fclDataRag_t.cs
fclDataRag_t,MitamaListCnt,sbyte,fclDataRag_t.cs
fclDataRag_t,MitamaWindow,lstListWindow_t,fclDataRag_t.cs
fclDataRag_t,PanelMover,Il2CppReferenceArray<fclPanelMover_t>,fclDataRag_t.cs
fclDataRag_t,Place,sbyte,fclDataRag_t.cs
fclDataRag_t,ScriptPID,dds3ProcessID_t,fclDataRag_t.cs
fclDataRag_t,SeireiList,Il2CppStructArray<sbyte>,fclDataRag_t.cs
fclDataRag_t,SeireiListCnt,sbyte,fclDataRag_t.cs
fclDataRag_t,SeireiWindow,lstListWindow_t,fclDataRag_t.cs
fclDataRag_t,SeqInfo,cmpSeqInfo_t,fclDataRag_t.cs
fclDataRag_t,SpriteBG,fclSprite_t,fclDataRag_t.cs
fclDataRag_t,SyojiPanel,fclPanel_t,fclDataRag_t.cs
fclDataRag_t,TexHandle,Il2CppReferenceArray<sdfTexHandle_t>,fclDataRag_t.cs
fclDataRag_t,TexHandleBG,sdfTexHandle_t,fclDataRag_t.cs
fclDataRag_t,ismsgend,int,fclDataRag_t.cs
fclDataRag_t,pScriptData,Il2CppStructArray<byte>,fclDataRag_t.cs
fclDataShop_t,BackPanel,fclPanel_t,fclDataShop_t.cs
fclDataShop_t,BuyItemCnt,sbyte,fclDataShop_t.cs
fclDataShop_t,BuyItemList,Il2CppStructArray<ushort>,fclDataShop_t.cs
fclDataShop_t,ChoiceNums,sbyte,fclDataShop_t.cs
fclDataShop_t,CmdSelInfo,cmpCmdSelInfo_t,fclDataShop_t.cs
fclDataShop_t,EventEnd,int,fclDataShop_t.cs
fclDataShop_t,HeartsFlag,sbyte,fclDataShop_t.cs
fclDataShop_t,HelpPanel,fclPanel_t,fclDataShop_t.cs
fclDataShop_t,IncVal,int,fclDataShop_t.cs
fclDataShop_t,InitFlag,sbyte,fclDataShop_t.cs
fclDataShop_t,Initialized,bool,fclDataShop_t.cs
fclDataShop_t,ListWindow,lstListWindow_t,fclDataShop_t.cs
fclDataShop_t,PanelMover,Il2CppReferenceArray<fclPanelMover_t>,fclDataShop_t.cs
fclDataShop_t,PayMoney,int,fclDataShop_t.cs
fclDataShop_t,PayTotal,int,fclDataShop_t.cs
fclDataShop_t,Place,sbyte,fclDataShop_t.cs
fclDataShop_t,ScriptPID,dds3ProcessID_t,fclDataShop_t.cs
fclDataShop_t,SellItemList,fclItemList_t,fclDataShop_t.cs
fclDataShop_t,SeqInfo,cmpSeqInfo_t,fclDataShop_t.cs
fclDataShop_t,TexHandle,Il2CppReferenceArray<sdfTexHandle_t>,fclDataShop_t.cs
fclDataShop_t,ismsgend,int,fclDataShop_t.cs
fclDataShop_t,pScriptData,Il2CppStructArray<byte>,fclDataShop_t.cs
fclDataTerminal_t,ActFlag,sbyte,fclDataTerminal_t.cs
fclDataTerminal_t,ActStartFlag,sbyte,fclDataTerminal_t.cs
fclDataTerminal_t,CmdSelInfo,cmpCmdSelInfo_t,fclDataTerminal_t.cs
fclDataTerminal_t,EventEnd,int,fclDataTerminal_t.cs
fclDataTerminal_t,EvtScrMH,sdfMemHandle_t,fclDataTerminal_t.cs
fclDataTerminal_t,EvtScrPID,dds3ProcessID_t,fclDataTerminal_t.cs
fclDataTerminal_t,Initialized,bool,fclDataTerminal_t.cs
fclDataTerminal_t,LastTerminalType,sbyte,fclDataTerminal_t.cs
fclDataTerminal_t,MH,sdfMemHandle_t,fclDataTerminal_t.cs
fclDataTerminal_t,PMPID,dds3ProcessID_t,fclDataTerminal_t.cs
fclDataTerminal_t,PMPID2,dds3ProcessID_t,fclDataTerminal_t.cs
fclDataTerminal_t,ScriptMH,sdfMemHandle_t,fclDataTerminal_t.cs
fclDataTerminal_t,ScriptPID,dds3ProcessID_t,fclDataTerminal_t.cs
fclDataTerminal_t,SeqInfo,cmpSeqInfo_t,fclDataTerminal_t.cs
fclDataTerminal_t,TerminalCnt,sbyte,fclDataTerminal_t.cs
fclDataTerminal_t,TerminalList,Il2CppStructArray<sbyte>,fclDataTerminal_t.cs
fclDataTerminal_t,TerminalNo,ushort,fclDataTerminal_t.cs
fclDataTerminal_t,TerminalType,sbyte,fclDataTerminal_t.cs
fclDataTerminal_t,TexHandle,Il2CppReferenceArray<sdfTexHandle_t>,fclDataTerminal_t.cs
fclDataTerminal_t,TransWindow,lstListWindow_t,fclDataTerminal_t.cs
fclDataTerminal_t,pScriptData,Il2CppStructArray<byte>,fclDataTerminal_t.cs
fclItemList_t,ItemCnt,byte,fclItemList_t.cs
fclItemList_t,ItemIdx,Il2CppStructArray<ushort>,fclItemList_t.cs
fclKeisyoListAll_t,SkillCnt,sbyte,fclKeisyoListAll_t.cs
fclKeisyoListAll_t,SkillID,Il2CppStructArray<ushort>,fclKeisyoListAll_t.cs
fclKeisyoList_t,SkillCnt,sbyte,fclKeisyoList_t.cs
fclKeisyoList_t,SkillID,Il2CppStructArray<ushort>,fclKeisyoList_t.cs
fclRagDevil_t,DevilID,ushort,fclRagDevil_t.cs
fclRagDevil_t,Param,fclRagDevilParam_t,fclRagDevil_t.cs
fclRagDevil_t,ParamFlag,sbyte,fclRagDevil_t.cs
fclRagDevil_t,Rate,Il2CppReferenceArray<fclRagExchangeRate_t>,fclRagDevil_t.cs
fclRagExchangeRate_t,ItemID,ushort,fclRagExchangeRate_t.cs
fclRagExchangeRate_t,Nums,sbyte,fclRagExchangeRate_t.cs
fclRagItem_t,ItemID,ushort,fclRagItem_t.cs
fclRagItem_t,Rate,Il2CppReferenceArray<fclRagExchangeRate_t>,fclRagItem_t.cs
fclRag_t,EventBitPos,Il2CppStructArray<short>,fclRag_t.cs
fclRag_t,ItemPackID,Il2CppStructArray<byte>,fclRag_t.cs
fclRag_t,MitamaPackID,Il2CppStructArray<byte>,fclRag_t.cs
fclRag_t,Place,sbyte,fclRag_t.cs
fclRag_t,SeireiPackID,Il2CppStructArray<byte>,fclRag_t.cs
