class,wrapper_file,native_name,token_dec,method,access,is_static,system
fclCombineAct,fclCombineAct.cs,cmpSetModelMotion_Public_Static_Void_cmbModelPack_t_0,100667385,cmpSetModelMotion,Public,True,facility_combine
fclCombineAct,fclCombineAct.cs,cmbActDammy_Internal_Static_Void_0,100667386,cmbActDammy,Internal,True,facility_combine
fclCombineAct,fclCombineAct.cs,cmbActUpdateMask_Internal_Static_Void_0,100667387,cmbActUpdateMask,Internal,True,facility_combine
fclCombineAct,fclCombineAct.cs,cmbActHideIkenie_Internal_Static_Void_0,100667388,cmbActHideIkenie,Internal,True,facility_combine
fclCombineAct,fclCombineAct.cs,cmbActHideZairyou_Internal_Static_Void_0,100667389,cmbActHideZairyou,Internal,True,facility_combine
fclCombineAct,fclCombineAct.cs,cmbActIkenieBadStart_Internal_Static_Void_0,100667390,cmbActIkenieBadStart,Internal,True,facility_combine
fclCombineAct,fclCombineAct.cs,cmbActIkenieBadStop_Internal_Static_Void_0,100667391,cmbActIkenieBadStop,Internal,True,facility_combine
fclCombineAct,fclCombineAct.cs,cmbActGetEffEraseSpd_Public_Static_Single_UInt16_0,100667392,cmbActGetEffEraseSpd,Public,True,facility_combine
fclCombineAct,fclCombineAct.cs,cmbActGetEffOfsPos_Public_Static_Single_UInt16_0,100667393,cmbActGetEffOfsPos,Public,True,facility_combine
fclCombineAct,fclCombineAct.cs,cmbActGetEffRadius_Public_Static_Single_UInt16_0,100667394,cmbActGetEffRadius,Public,True,facility_combine
fclCombineAct,fclCombineAct.cs,cmbActGetEffNums_Public_Static_Int32_UInt16_0,100667395,cmbActGetEffNums,Public,True,facility_combine
fclCombineAct,fclCombineAct.cs,cmbActLoadPB_Internal_Static_sdfMemHandle_t_UInt16_Int32_0,100667396,cmbActLoadPB,Internal,True,facility_combine
fclCombineAct,fclCombineAct.cs,cmbInitModelPack_Public_Static_Void_Int32_cmbModelPack_t_0,100667397,cmbInitModelPack,Public,True,facility_combine
fclCombineAct,fclCombineAct.cs,_MDC_Public_Static_Int32_Int32_0,100667398,_MDC,Public,True,facility_combine
fclCombineAct,fclCombineAct.cs,cmbLoadModelPack_Public_Static_Void_Int32_cmbModelPack_t_0,100667399,cmbLoadModelPack,Public,True,facility_combine
fclCombineAct,fclCombineAct.cs,model_loaded_Internal_Static_Boolean_0,100667400,model_loaded,Internal,True,facility_combine
fclCombineAct,fclCombineAct.cs,CombineAct_ModelLoadEffectForUnity_Private_Static_Void_dds3ModelHandle_t_GameObject_Int32_Int32_0,100667401,CombineAct_ModelLoadEffectForUnity,Private,True,facility_combine
fclCombineAct,fclCombineAct.cs,CombineAct_ModelFreeEffectForUnity_Private_Static_Void_dds3ModelHandle_t_0,100667402,CombineAct_ModelFreeEffectForUnity,Private,True,facility_combine
fclCombineAct,fclCombineAct.cs,cmbFreeModelPack_Public_Static_Int32_cmbModelPack_t_0,100667403,cmbFreeModelPack,Public,True,facility_combine
fclCombineAct,fclCombineAct.cs,cmbGetModelHandleFromPack_Public_Static_dds3ModelHandle_t_cmbModelPack_t_0,100667404,cmbGetModelHandleFromPack,Public,True,facility_combine
fclCombineAct,fclCombineAct.cs,cmbSetPackModel_Public_Static_dds3ModelHandle_t_cmbModelPack_t_Boolean_0,100667405,cmbSetPackModel,Public,True,facility_combine
fclCombineAct,fclCombineAct.cs,cmbSetPackModelShow_Public_Static_dds3ModelHandle_t_cmbModelPack_t_0,100667406,cmbSetPackModelShow,Public,True,facility_combine
fclCombineAct,fclCombineAct.cs,cmbHidePackModel_Public_Static_dds3ModelHandle_t_cmbModelPack_t_0,100667407,cmbHidePackModel,Public,True,facility_combine
fclCombineAct,fclCombineAct.cs,cmbSetActEffDrawOff_Internal_Static_Void_Byte_0,100667408,cmbSetActEffDrawOff,Internal,True,facility_combine
fclCombineAct,fclCombineAct.cs,cmbSetActEff_Internal_Static_Void_Byte_Single_Single_Vector4_0,100667409,cmbSetActEff,Internal,True,facility_combine
fclCombineAct,fclCombineAct.cs,cmbGetModelPosition_Internal_Static_SByte_String_byref_Vector4_0,100667410,cmbGetModelPosition,Internal,True,facility_combine
fclCombineAct,fclCombineAct.cs,cmbCreateActMaskPosData_Internal_Static_Void_Il2CppStructArray_1_Vector4_Il2CppStructArray_1_Single_Il2CppStructArray_1_Int32_0,100667411,cmbCreateActMaskPosData,Internal,True,facility_combine
fclCombineAct,fclCombineAct.cs,cmbDrawActEff_Internal_Static_Void_Il2CppStructArray_1_Vector4_Il2CppStructArray_1_Single_Single_Il2CppStructArray_1_Int32_Int32_0,100667412,cmbDrawActEff,Internal,True,facility_combine
fclCombineAct,fclCombineAct.cs,cmbDrawZairyou_Internal_Static_Void_Int32_Single_Int32_0,100667413,cmbDrawZairyou,Internal,True,facility_combine
fclCombineAct,fclCombineAct.cs,cmbDrawTanjyou_Public_Static_Void_0,100667414,cmbDrawTanjyou,Public,True,facility_combine
fclCombineAct,fclCombineAct.cs,cmbDrawAction_Public_Static_Void_0,100667415,cmbDrawAction,Public,True,facility_combine
fclCombineAct,fclCombineAct.cs,cmbGetStatTarget_Public_Static_datUnitWork_t_0,100667416,cmbGetStatTarget,Public,True,facility_combine
fclCombineAct,fclCombineAct.cs,cmbActTimeTableControl_Internal_Static_Void_0,100667417,cmbActTimeTableControl,Internal,True,facility_combine
fclCombineAct,fclCombineAct.cs,cmbInitActEff_Internal_Static_Void_byref_effEVECombParSmoke_t_UInt16_0,100667418,cmbInitActEff,Internal,True,facility_combine
fclCombineAct,fclCombineAct.cs,cmbInitActionForScr_Internal_Static_Void_0,100667419,cmbInitActionForScr,Internal,True,facility_combine
fclCombineAct,fclCombineAct.cs,cmpActionSE_Public_Static_Void_Int32_Int32_0,100667420,cmpActionSE,Public,True,facility_combine
fclCombineAct,fclCombineAct.cs,cmbActionBGM_Public_Static_Void_Int32_0,100667421,cmbActionBGM,Public,True,facility_combine
fclCombineAct,fclCombineAct.cs,cmbInitAction_Public_Static_Void_0,100667422,cmbInitAction,Public,True,facility_combine
fclCombineAct,fclCombineAct.cs,cmbActDisableZairyou_Internal_Static_Void_0,100667423,cmbActDisableZairyou,Internal,True,facility_combine
fclCombineAct,fclCombineAct.cs,cmbChkActScript_Public_Static_SByte_0,100667424,cmbChkActScript,Public,True,facility_combine
fclCombineAct,fclCombineAct.cs,cmbChkPolygonMovie_Public_Static_SByte_0,100667425,cmbChkPolygonMovie,Public,True,facility_combine
fclCombineAct,fclCombineAct.cs,cmbUpdateAction_Public_Static_Void_0,100667426,cmbUpdateAction,Public,True,facility_combine
fclCombineAct,fclCombineAct.cs,IsMovieSkip_Public_Static_Boolean_0,100667427,IsMovieSkip,Public,True,facility_combine
fclCombineAct,fclCombineAct.cs,GetLight_Public_Static_Void_byref_Single_byref_Single_byref_Single_byref_Single_byref_Single_byref_Single_byref_Single_byref_Single_byref_Single_byref_Single_Single_Single_Single_0,100667428,GetLight,Public,True,facility_combine
fclCombineAct,fclCombineAct.cs,SetLight_From_evtCommand_Public_Static_Void_String_0,100667429,SetLight_From_evtCommand,Public,True,facility_combine
fclCombineAct,fclCombineAct.cs,_ctor_Public_Void_Object_IntPtr_0,100667431,_ctor,Public,False,facility_combine
fclCombineAct,fclCombineAct.cs,Invoke_Public_Virtual_New_Void_0,100667432,Invoke,Public,False,facility_combine
fclCombineAct,fclCombineAct.cs,BeginInvoke_Public_Virtual_New_IAsyncResult_AsyncCallback_Object_0,100667433,BeginInvoke,Public,False,facility_combine
