class,wrapper_file,native_name,token_dec,method,access,is_static,system
fclTerminalCalc,fclTerminalCalc.cs,trmCalcAct_Private_Static_Void_0,100668084,trmCalcAct,Private,True,facility_terminal
fclTerminalCalc,fclTerminalCalc.cs,trmCalc_Public_Static_dds3ProcessFunc_t_dds3ProcessID_t_0,100668085,trmCalc,Public,True,facility_terminal
fclTerminalDraw,fclTerminalDraw.cs,InitializeGameObject_Public_Static_Void_0,100668086,InitializeGameObject,Public,True,facility_terminal
fclTerminalDraw,fclTerminalDraw.cs,FinalizeGameObject_Public_Static_Void_0,100668087,FinalizeGameObject,Public,True,facility_terminal
fclTerminalDraw,fclTerminalDraw.cs,trmGetTerminalName_Public_Static_String_Int32_Int32_0,100668088,trmGetTerminalName,Public,True,facility_terminal
fclTerminalDraw,fclTerminalDraw.cs,trmDrawTerminalNamePanel_Internal_Static_Void_0,100668089,trmDrawTerminalNamePanel,Internal,True,facility_terminal
fclTerminalDraw,fclTerminalDraw.cs,trmDrawTerminalName_Internal_Static_Void_GameObject_TextMeshProUGUI_String_UInt32_0,100668090,trmDrawTerminalName,Internal,True,facility_terminal
fclTerminalDraw,fclTerminalDraw.cs,trmDrawSeqTrans_Internal_Static_Void_0,100668091,trmDrawSeqTrans,Internal,True,facility_terminal
fclTerminalDraw,fclTerminalDraw.cs,SetCursorEffect_Internal_Static_Void_cmpCursorInfo_t_Dictionary_2_String_GameObject_String_Int32_Il2CppStructArray_1_Int32_0,100668092,SetCursorEffect,Internal,True,facility_terminal
fclTerminalDraw,fclTerminalDraw.cs,trmDrawSeqConfirm_Internal_Static_Void_0,100668093,trmDrawSeqConfirm,Internal,True,facility_terminal
fclTerminalDraw,fclTerminalDraw.cs,trmDrawSeqRoot_Internal_Static_Void_SByte_0,100668094,trmDrawSeqRoot,Internal,True,facility_terminal
fclTerminalDraw,fclTerminalDraw.cs,trmDraw_Public_Static_dds3ProcessFunc_t_dds3ProcessID_t_0,100668095,trmDraw,Public,True,facility_terminal
fclTerminalInit,fclTerminalInit.cs,trmGetCallMode_Public_Static_SByte_0,100668097,trmGetCallMode,Public,True,facility_terminal
fclTerminalInit,fclTerminalInit.cs,trmGetEventStat_Internal_Static_TRM_EVT_0,100668098,trmGetEventStat,Internal,True,facility_terminal
fclTerminalInit,fclTerminalInit.cs,trmSetEventStat_Public_Static_Void_TRM_EVT_0,100668099,trmSetEventStat,Public,True,facility_terminal
fclTerminalInit,fclTerminalInit.cs,trmGetEventNo_Public_Static_Int32_Int32_fclDataTerminal_t_0,100668100,trmGetEventNo,Public,True,facility_terminal
fclTerminalInit,fclTerminalInit.cs,trmCreateEventProcessName_Public_Static_SByte_Int32_byref_String_0,100668101,trmCreateEventProcessName,Public,True,facility_terminal
fclTerminalInit,fclTerminalInit.cs,trmStartBGM_Public_Static_Void_Int32_Int32_Boolean_0,100668102,trmStartBGM,Public,True,facility_terminal
fclTerminalInit,fclTerminalInit.cs,trmEndBGM_Public_Static_Void_0,100668103,trmEndBGM,Public,True,facility_terminal
