enum,name,value,file
CMB_SEQ,CMB_SEQ_RO,0,CMB_SEQ.cs
CMB_SEQ,CMB_SEQ_CM,1,CMB_SEQ.cs
CMB_SEQ,CMB_SEQ_ZE,2,CMB_SEQ.cs
CMB_SEQ,CMB_SEQ_TL,3,CMB_SEQ.cs
CMB_SEQ,CMB_SEQ_EX,4,CMB_SEQ.cs
CMB_SEQ,CMB_SEQ_1ST,5,CMB_SEQ.cs
CMB_SEQ,CMB_SEQ_2ND,6,CMB_SEQ.cs
CMB_SEQ,CMB_SEQ_SAC_CFM,7,CMB_SEQ.cs
CMB_SEQ,CMB_SEQ_SAC,8,CMB_SEQ.cs
CMB_SEQ,CMB_SEQ_STA,9,CMB_SEQ.cs
CMB_SEQ,CMB_SEQ_STA2,10,CMB_SEQ.cs
CMB_SEQ,CMB_SEQ_BID,11,CMB_SEQ.cs
CMB_SEQ,CMB_SEQ_DCI,12,CMB_SEQ.cs
CMB_SEQ,CMB_SEQ_ACC,13,CMB_SEQ.cs
CMB_SEQ,CMB_SEQ_ACT_WAIT,14,CMB_SEQ.cs
CMB_SEQ,CMB_SEQ_ACT,15,CMB_SEQ.cs
CMB_SEQ,CMB_SEQ_INT,16,CMB_SEQ.cs
CMB_SEQ,CMB_SEQ_ERR,17,CMB_SEQ.cs
CMB_SEQ,CMB_SEQ_MSG,18,CMB_SEQ.cs
CMB_SEQ,CMB_SEQ_END,19,CMB_SEQ.cs
CMB_SEQ,CMB_SEQ_SELECT_SKILL,20,CMB_SEQ.cs
CMB_SEQ,CMB_SEQ_CONF_SKILL,21,CMB_SEQ.cs
CMB_SEQ,CMB_SEQ_MAX,22,CMB_SEQ.cs
SHP_SEQ,SHP_SEQ_RO,0,SHP_SEQ.cs
SHP_SEQ,SHP_SEQ_BU,1,SHP_SEQ.cs
SHP_SEQ,SHP_SEQ_SE,2,SHP_SEQ.cs
SHP_SEQ,SHP_SEQ_TL,3,SHP_SEQ.cs
SHP_SEQ,SHP_SEQ_EX,4,SHP_SEQ.cs
SHP_SEQ,SHP_SEQ_BN,5,SHP_SEQ.cs
SHP_SEQ,SHP_SEQ_SN,6,SHP_SEQ.cs
SHP_SEQ,SHP_SEQ_ERR,7,SHP_SEQ.cs
SHP_SEQ,SHP_SEQ_CFM,8,SHP_SEQ.cs
SHP_SEQ,SHP_SEQ_PAY,9,SHP_SEQ.cs
SHP_SEQ,SHP_SEQ_SRV,10,SHP_SEQ.cs
SHP_SEQ,SHP_SEQ_SRV_IT,11,SHP_SEQ.cs
TRM_EVT,TRM_EVT_NONE,0,TRM_EVT.cs
TRM_EVT,TRM_EVT_WAIT,1,TRM_EVT.cs
TRM_EVT,TRM_EVT_START,2,TRM_EVT.cs
TRM_EVT,TRM_EVT_BUSY,3,TRM_EVT.cs
TRM_EVT,TRM_EVT_TALK_START,4,TRM_EVT.cs
TRM_EVT,TRM_EVT_TALK,5,TRM_EVT.cs
TRM_EVT,TRM_EVT_TERM,6,TRM_EVT.cs
TRM_SEQ,TRM_SEQ_RO,0,TRM_SEQ.cs
TRM_SEQ,TRM_SEQ_TR,1,TRM_SEQ.cs
TRM_SEQ,TRM_SEQ_SA,2,TRM_SEQ.cs
TRM_SEQ,TRM_SEQ_TL,3,TRM_SEQ.cs
TRM_SEQ,TRM_SEQ_EX,4,TRM_SEQ.cs
TRM_SEQ,TRM_SEQ_CFM,5,TRM_SEQ.cs
TRM_SEQ,TRM_SEQ_ACT,6,TRM_SEQ.cs
TRM_SEQ,TRM_SEQ_SA_IN,7,TRM_SEQ.cs
TRM_SEQ,TRM_SEQ_SA_OUT,8,TRM_SEQ.cs
