class,wrapper_file,native_field_ptr,field_name,system
fclCombineTable,fclCombineTable.cs,EffEraseSpd,EffEraseSpd,facility_combine_table
fclCombineTable,fclCombineTable.cs,EffOfs,EffOfs,facility_combine_table
fclCombineTable,fclCombineTable.cs,MotionNo,MotionNo,facility_combine_table
fclCombineTable,fclCombineTable.cs,Nums,Nums,facility_combine_table
fclCombineTable,fclCombineTable.cs,PosMode,PosMode,facility_combine_table
fclCombineTable,fclCombineTable.cs,Radius,Radius,facility_combine_table
fclCombineTable,fclCombineTable.cs,fclAccidentFailTbl,fclAccidentFailTbl,facility_combine_table
fclCombineTable,fclCombineTable.cs,fclActParamTbl,fclActParamTbl,facility_combine_table
fclCombineTable,fclCombineTable.cs,fclBirthSpiritTbl,fclBirthSpiritTbl,facility_combine_table
fclCombineTable,fclCombineTable.cs,fclCombineCurseTbl,fclCombineCurseTbl,facility_combine_table
fclCombineTable,fclCombineTable.cs,fclCombineManinKagTbl,fclCombineManinKagTbl,facility_combine_table
fclCombineTable,fclCombineTable.cs,fclCombineManinRaceTbl,fclCombineManinRaceTbl,facility_combine_table
fclCombineTable,fclCombineTable.cs,fclCombineManinTbl,fclCombineManinTbl,facility_combine_table
fclCombineTable,fclCombineTable.cs,fclCombineTbl,fclCombineTbl,facility_combine_table
fclCombineTable,fclCombineTable.cs,fclEventDevilTbl,fclEventDevilTbl,facility_combine_table
fclCombineTable,fclCombineTable.cs,fclExtPatternTbl,fclExtPatternTbl,facility_combine_table
fclCombineTable,fclCombineTable.cs,fclIkenieExtPatternDev2Tbl,fclIkenieExtPatternDev2Tbl,facility_combine_table
fclCombineTable,fclCombineTable.cs,fclIkenieExtPatternDevRaceTbl,fclIkenieExtPatternDevRaceTbl,facility_combine_table
fclCombineTable,fclCombineTable.cs,fclIkenieExtPatternDevTbl,fclIkenieExtPatternDevTbl,facility_combine_table
fclCombineTable,fclCombineTable.cs,fclIkenieExtPatternTbl,fclIkenieExtPatternTbl,facility_combine_table
fclCombineTable,fclCombineTable.cs,fclRankUpDownTbl,fclRankUpDownTbl,facility_combine_table
fclCombineTable,fclCombineTable.cs,fclSpiritParamUpTbl,fclSpiritParamUpTbl,facility_combine_table
fclJunkShopTable,fclJunkShopTable.cs,fclShopItemBoxTbl,fclShopItemBoxTbl,facility_junk_table
fclJunkShopTable,fclJunkShopTable.cs,fclShopItemPackTbl,fclShopItemPackTbl,facility_junk_table
fclJunkShopTable,fclJunkShopTable.cs,fclShopTbl,fclShopTbl,facility_junk_table
fclRagShopTable,fclRagShopTable.cs,fclRagDefaultMitamaTbl,fclRagDefaultMitamaTbl,facility_rag_table
fclRagShopTable,fclRagShopTable.cs,fclRagDefaultSeireiTbl,fclRagDefaultSeireiTbl,facility_rag_table
fclRagShopTable,fclRagShopTable.cs,fclRagItemPackTbl,fclRagItemPackTbl,facility_rag_table
fclRagShopTable,fclRagShopTable.cs,fclRagItemTbl,fclRagItemTbl,facility_rag_table
fclRagShopTable,fclRagShopTable.cs,fclRagMitamaPackTbl,fclRagMitamaPackTbl,facility_rag_table
fclRagShopTable,fclRagShopTable.cs,fclRagMitamaTbl,fclRagMitamaTbl,facility_rag_table
fclRagShopTable,fclRagShopTable.cs,fclRagSeireiPackTbl,fclRagSeireiPackTbl,facility_rag_table
fclRagShopTable,fclRagShopTable.cs,fclRagSeireiTbl,fclRagSeireiTbl,facility_rag_table
fclRagShopTable,fclRagShopTable.cs,fclRagTbl,fclRagTbl,facility_rag_table
