property,property_type,get_token,get_token_dec,set_token,set_token_dec
SeqInfo,cmpSeqInfo_t,0x060083AD,100697005,0x060083AE,100697006
MH,sdfMemHandle_t,0x060083AF,100697007,0x060083B0,100697008
CmdSelInfo,cmpCmdSelInfo_t,0x060083B1,100697009,0x060083B2,100697010
WorkCI,Il2CppReferenceArray<cmpCursorInfo_t>,0x060083B3,100697011,0x060083B4,100697012
Jyakyo1st,byte,0x060083B5,100697013,0x060083B6,100697014
TokusyuBGM,sbyte,0x060083B7,100697015,0x060083B8,100697016
DevilNums,byte,0x060083B9,100697017,0x060083BA,100697018
SelDev,Il2CppReferenceArray<cmbSelDev_t>,0x060083BB,100697019,0x060083BC,100697020
BirthDevil,datUnitWork_t,0x060083BD,100697021,0x060083BE,100697022
BirthDevilOrg,datUnitWork_t,0x060083BF,100697023,0x060083C0,100697024
AccidentDevil,datUnitWork_t,0x060083C1,100697025,0x060083C2,100697026
BirthDevilFlag,sbyte,0x060083C3,100697027,0x060083C4,100697028
AccidentFlag,sbyte,0x060083C5,100697029,0x060083C6,100697030
Result,cmbResultTable_t,0x060083C7,100697031,0x060083C8,100697032
HelpFlag,sbyte,0x060083C9,100697033,0x060083CA,100697034
StatFlag,sbyte,0x060083CB,100697035,0x060083CC,100697036
StatTarget,sbyte,0x060083CD,100697037,0x060083CE,100697038
ErrorFlag,sbyte,0x060083CF,100697039,0x060083D0,100697040
ScriptMH,sdfMemHandle_t,0x060083D1,100697041,0x060083D2,100697042
pScriptData,Il2CppStructArray<byte>,0x060083D3,100697043,0x060083D4,100697044
ScriptPID,dds3ProcessID_t,0x060083D5,100697045,0x060083D6,100697046
CollectMH,sdfMemHandle_t,0x060083D7,100697047,0x060083D8,100697048
pCollectData,Il2CppStructArray<byte>,0x060083D9,100697049,0x060083DA,100697050
PMPID,dds3ProcessID_t,0x060083DB,100697051,0x060083DC,100697052
ModelPack,Il2CppReferenceArray<cmbModelPack_t>,0x060083DD,100697053,0x060083DE,100697054
ModelPos,Il2CppStructArray<Vector4>,0x060083DF,100697055,0x060083E0,100697056
EffHandle,Il2CppReferenceArray<effEVECombParSmoke_t>,0x060083E1,100697057,0x060083E2,100697058
ActTimeTablePos,int,0x060083E3,100697059,0x060083E4,100697060
ActFlag,sbyte,0x060083E5,100697061,0x060083E6,100697062
ActCnt,int,0x060083E7,100697063,0x060083E8,100697064
ActMaskRate,float,0x060083E9,100697065,0x060083EA,100697066
IntroFlag,sbyte,0x060083EB,100697067,0x060083EC,100697068
IdxNums,sbyte,0x060083ED,100697069,0x060083EE,100697070
StockIdx,Il2CppStructArray<sbyte>,0x060083EF,100697071,0x060083F0,100697072
ZensyoSelInfo,cmpCmdSelInfo_t,0x060083F1,100697073,0x060083F2,100697074
TalkSelInfo,cmpCmdSelInfo_t,0x060083F3,100697075,0x060083F4,100697076
ListWindow,lstListWindow_t,0x060083F5,100697077,0x060083F6,100697078
ZensyoList,Il2CppReferenceArray<datUnitWork_t>,0x060083F7,100697079,0x060083F8,100697080
TexHandle,Il2CppReferenceArray<sdfTexHandle_t>,0x060083F9,100697081,0x060083FA,100697082
SpriteBG,fclSprite_t,0x060083FB,100697083,0x060083FC,100697084
pEffParam,effEVECombParSmokeParam_t,0x060083FD,100697085,0x060083FE,100697086
pRibbon,fclRibbon_t,0x060083FF,100697087,0x06008400,100697088
PanelMover,Il2CppReferenceArray<fclPanelMover_t>,0x06008401,100697089,0x06008402,100697090
NoDraw,int,0x06008403,100697091,0x06008404,100697092
Initialized,bool,0x06008405,100697093,0x06008406,100697094
EventEnd,int,0x06008407,100697095,0x06008408,100697096
LevelLimit,int,0x06008409,100697097,0x0600840A,100697098
MovieSkip,int,0x0600840B,100697099,0x0600840C,100697100
RepeatSw,int,0x0600840D,100697101,0x0600840E,100697102
bDrawStat,int,0x0600840F,100697103,0x06008410,100697104
bDrawDisabled,bool,0x06008411,100697105,0x06008412,100697106
EffCsr,int,0x06008413,100697107,0x06008414,100697108
bReadPhase,bool,0x06008415,100697109,0x06008416,100697110
bMaxParam,bool,0x06008417,100697111,0x06008418,100697112
bLoadModel,bool,0x06008419,100697113,0x0600841A,100697114
bUnlock,bool,0x0600841B,100697115,0x0600841C,100697116
bFirstMsg,bool,0x0600841D,100697117,0x0600841E,100697118
RandomSkillSw,int,0x0600841F,100697119,0x06008420,100697120
mSkillSelectCur,int,0x06008421,100697121,0x06008422,100697122
mSkillSelectPage,int,0x06008423,100697123,0x06008424,100697124
mSkillSelectPage1,int,0x06008425,100697125,0x06008426,100697126
mSkillSelectOrg,int,0x06008427,100697127,0x06008428,100697128
mSkillSelectCount,int,0x06008429,100697129,0x0600842A,100697130
mSkillSelectMax,int,0x0600842B,100697131,0x0600842C,100697132
mKeisyoList,fclKeisyoList_t,0x0600842D,100697133,0x0600842E,100697134
mSkillConfCur,int,0x0600842F,100697135,0x06008430,100697136
