property,property_type,get_token,get_token_dec,set_token,set_token_dec,file
fclAccidentFailTbl,Il2CppStructArray<ushort>,0x06001F01,100671233,0x06001F02,100671234,Il2Cpp/fclCombineTable.cs
fclActParamTbl,Il2CppStructArray<fclCombineTable.fclActParamTbl_t>,0x06001F03,100671235,0x06001F04,100671236,Il2Cpp/fclCombineTable.cs
fclBirthSpiritTbl,Il2CppReferenceArray<fclCombCom_t>,0x06001F05,100671237,0x06001F06,100671238,Il2Cpp/fclCombineTable.cs
fclCombineCurseTbl,Il2CppReferenceArray<Il2CppStructArray<byte>>,0x06001F09,100671241,0x06001F0A,100671242,Il2Cpp/fclCombineTable.cs
fclCombineManinKagTbl,Il2CppReferenceArray<Il2CppStructArray<byte>>,0x06001F0B,100671243,0x06001F0C,100671244,Il2Cpp/fclCombineTable.cs
fclCombineManinRaceTbl,Il2CppStructArray<byte>,0x06001F0D,100671245,0x06001F0E,100671246,Il2Cpp/fclCombineTable.cs
fclCombineManinTbl,Il2CppReferenceArray<Il2CppStructArray<ushort>>,0x06001F0F,100671247,0x06001F10,100671248,Il2Cpp/fclCombineTable.cs
fclCombineTbl,Il2CppReferenceArray<Il2CppStructArray<byte>>,0x06001F07,100671239,0x06001F08,100671240,Il2Cpp/fclCombineTable.cs
fclEventDevilTbl,Il2CppReferenceArray<fclEventDevil_t>,0x06001F11,100671249,0x06001F12,100671250,Il2Cpp/fclCombineTable.cs
fclExtPatternTbl,Il2CppReferenceArray<fclCombCom_t>,0x06001F13,100671251,0x06001F14,100671252,Il2Cpp/fclCombineTable.cs
fclIkenieExtPatternDev2Tbl,Il2CppReferenceArray<fclIkenieExtPatternDev2_t>,0x06001F19,100671257,0x06001F1A,100671258,Il2Cpp/fclCombineTable.cs
fclIkenieExtPatternDevRaceTbl,Il2CppReferenceArray<fclIkenieExtPatternDevRace_t>,0x06001F1B,100671259,0x06001F1C,100671260,Il2Cpp/fclCombineTable.cs
fclIkenieExtPatternDevTbl,Il2CppReferenceArray<fclIkenieExtPatternDev_t>,0x06001F17,100671255,0x06001F18,100671256,Il2Cpp/fclCombineTable.cs
fclIkenieExtPatternTbl,Il2CppReferenceArray<fclIkenieExtPattern_t>,0x06001F15,100671253,0x06001F16,100671254,Il2Cpp/fclCombineTable.cs
fclRankUpDownTbl,Il2CppReferenceArray<fclRankTbl_t>,0x06001F1D,100671261,0x06001F1E,100671262,Il2Cpp/fclCombineTable.cs
fclSpiritParamUpTbl,Il2CppReferenceArray<fclCombSpirit_t>,0x06001F1F,100671263,0x06001F20,100671264,Il2Cpp/fclCombineTable.cs
