file,token,token_dec,method,signature
Il2Cpp/fclCombineAct.cs,0x06001F3E,100671294,cmpSetModelMotion,public unsafe static void cmpSetModelMotion(cmbModelPack_t handle)
Il2Cpp/fclCombineAct.cs,0x06001F3F,100671295,cmbActDammy,public unsafe static void cmbActDammy()
Il2Cpp/fclCombineAct.cs,0x06001F40,100671296,cmbActUpdateMask,public unsafe static void cmbActUpdateMask()
Il2Cpp/fclCombineAct.cs,0x06001F41,100671297,cmbActHideIkenie,public unsafe static void cmbActHideIkenie()
Il2Cpp/fclCombineAct.cs,0x06001F42,100671298,cmbActHideZairyou,public unsafe static void cmbActHideZairyou()
Il2Cpp/fclCombineAct.cs,0x06001F43,100671299,cmbActIkenieBadStart,public unsafe static void cmbActIkenieBadStart()
Il2Cpp/fclCombineAct.cs,0x06001F44,100671300,cmbActIkenieBadStop,public unsafe static void cmbActIkenieBadStop()
Il2Cpp/fclCombineAct.cs,0x06001F45,100671301,cmbActGetEffEraseSpd,public unsafe static float cmbActGetEffEraseSpd(ushort DevilID)
Il2Cpp/fclCombineAct.cs,0x06001F46,100671302,cmbActGetEffOfsPos,public unsafe static float cmbActGetEffOfsPos(ushort DevilID)
Il2Cpp/fclCombineAct.cs,0x06001F47,100671303,cmbActGetEffRadius,public unsafe static float cmbActGetEffRadius(ushort DevilID)
Il2Cpp/fclCombineAct.cs,0x06001F48,100671304,cmbActGetEffNums,public unsafe static int cmbActGetEffNums(ushort DevilID)
Il2Cpp/fclCombineAct.cs,0x06001F49,100671305,cmbActLoadPB,"public unsafe static sdfMemHandle_t cmbActLoadPB(ushort DevilID, int pSize)"
Il2Cpp/fclCombineAct.cs,0x06001F4A,100671306,cmbInitModelPack,"public unsafe static void cmbInitModelPack(int ModelNo, cmbModelPack_t pPack)"
Il2Cpp/fclCombineAct.cs,0x06001F4B,100671307,_MDC,public unsafe static int _MDC(int no)
Il2Cpp/fclCombineAct.cs,0x06001F4C,100671308,cmbLoadModelPack,"public unsafe static void cmbLoadModelPack(int ModelNo, cmbModelPack_t pPack)"
Il2Cpp/fclCombineAct.cs,0x06001F4D,100671309,model_loaded,public unsafe static bool model_loaded()
Il2Cpp/fclCombineAct.cs,0x06001F4E,100671310,CombineAct_ModelLoadEffectForUnity,"public unsafe static void CombineAct_ModelLoadEffectForUnity(dds3ModelHandle_t modelHandle, GameObject obj, int MajorNo, int MinorNo)"
Il2Cpp/fclCombineAct.cs,0x06001F4F,100671311,CombineAct_ModelFreeEffectForUnity,public unsafe static void CombineAct_ModelFreeEffectForUnity(dds3ModelHandle_t modelHandle)
Il2Cpp/fclCombineAct.cs,0x06001F50,100671312,cmbFreeModelPack,public unsafe static int cmbFreeModelPack(cmbModelPack_t pPack)
Il2Cpp/fclCombineAct.cs,0x06001F51,100671313,cmbGetModelHandleFromPack,public unsafe static dds3ModelHandle_t cmbGetModelHandleFromPack(cmbModelPack_t pPack)
Il2Cpp/fclCombineAct.cs,0x06001F52,100671314,cmbSetPackModel,"public unsafe static dds3ModelHandle_t cmbSetPackModel(cmbModelPack_t pPack, bool show = true)"
Il2Cpp/fclCombineAct.cs,0x06001F53,100671315,cmbSetPackModelShow,public unsafe static dds3ModelHandle_t cmbSetPackModelShow(cmbModelPack_t pPack)
