group,native_ptr_name,token,note
datCalc,datGetSkillKouka_Public_Static_Int32_Int32_Int32_datUnitWork_t_datUnitWork_t_0,100672556,skill exec/cost/effect magnitude seam
datCalc,datGetSkillBadKouka_Public_Static_Int32_Int32_datUnitWork_t_datUnitWork_t_0,100672557,skill exec/cost/effect magnitude seam
datCalc,datExecSkill_Public_Static_Int32_Int32_datUnitWork_t_datUnitWork_t_0,100672558,skill exec/cost/effect magnitude seam
datCalc,datGetSkillCost_Public_Static_Int32_datUnitWork_t_Int32_0,100672612,skill exec/cost/effect magnitude seam
nbActionProcess,SetPress_Public_Static_Void_byref_nbActionProcessData_t_Single_0,100670818,press-turn update seam (action layer)
nbActionProcess,SetNewPress_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670819,press-turn update seam (action layer)
nbActionProcess,SetAddPressPacket_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670823,press-turn update seam (action layer)
nbAiScript,nbCommand_AI_ACT_ATTACK_Public_Static_Int32_0,100670979,AI opcode surface (action/target)
nbAiScript,nbCommand_AI_ACT_ESCAPE_Public_Static_Int32_0,100670980,AI opcode surface (action/target)
nbAiScript,nbCommand_AI_ACT_WAIT_Public_Static_Int32_0,100670981,AI opcode surface (action/target)
nbAiScript,nbCommand_AI_ACT_SKILL_Public_Static_Int32_0,100670982,AI opcode surface (action/target)
nbAiScript,nbCommand_AI_ACT_SUMMON_Public_Static_Int32_0,100670983,AI opcode surface (action/target)
nbAiScript,nbCommand_AI_TAR_AI_Public_Static_Int32_0,100670985,AI opcode surface (action/target)
nbAiScript,nbCommand_AI_TAR_LIFEMIN_Public_Static_Int32_0,100670986,AI opcode surface (action/target)
nbAiScript,nbCommand_AI_TAR_BAARLV_Public_Static_Int32_0,100670987,AI opcode surface (action/target)
nbAiScript,nbCommand_AI_TAR_LVMIN_Public_Static_Int32_0,100670988,AI opcode surface (action/target)
nbAiScript,nbCommand_AI_TAR_BAD_Public_Static_Int32_0,100670989,AI opcode surface (action/target)
nbAiScript,nbCommand_AI_TAR_ID_Public_Static_Int32_0,100670990,AI opcode surface (action/target)
nbAiScript,nbCommand_AI_TAR_LIGHT_Public_Static_Int32_0,100670991,AI opcode surface (action/target)
nbAiScript,nbCommand_AI_TAR_DARK_Public_Static_Int32_0,100670992,AI opcode surface (action/target)
nbAiScript,nbCommand_AI_TAR_PLAYER_Public_Static_Int32_0,100670993,AI opcode surface (action/target)
nbAiScript,nbCommand_AI_TAR_RND_Public_Static_Int32_0,100670994,AI opcode surface (action/target)
nbAiScript,nbCommand_AI_TAR_JOKEN_Public_Static_Int32_0,100670995,AI opcode surface (action/target)
nbAiScript,nbCommand_AI_CHK_MYHP_Public_Static_Int32_0,100670997,AI opcode surface (condition)
nbAiScript,nbCommand_AI_CHK_MYMP_Public_Static_Int32_0,100670998,AI opcode surface (condition)
nbAiScript,nbCommand_AI_CHK_FRHP_Public_Static_Int32_0,100670999,AI opcode surface (condition)
nbAiScript,nbCommand_AI_CHK_DMGCNT_Public_Static_Int32_0,100671000,AI opcode surface (condition)
nbAiScript,nbCommand_AI_CHK_FRCNT_Public_Static_Int32_0,100671001,AI opcode surface (condition)
nbAiScript,nbCommand_AI_CHK_ENCNT_Public_Static_Int32_0,100671002,AI opcode surface (condition)
nbAiScript,nbCommand_AI_CHK_MYBAD_Public_Static_Int32_0,100671003,AI opcode surface (condition)
nbAiScript,nbCommand_AI_CHK_FRBAD_Public_Static_Int32_0,100671004,AI opcode surface (condition)
nbAiScript,nbCommand_AI_CHK_ENBAD_Public_Static_Int32_0,100671005,AI opcode surface (condition)
nbAiScript,nbCommand_AI_CHK_ENALLBAD_Public_Static_Int32_0,100671006,AI opcode surface (condition)
nbCalc,GetFailpoint_Private_Static_Int16_Int32_0,100671079,runtime formula/helper seam
nbCalc,nbGetHitType_Public_Static_Int32_nbActionProcessData_t_Int32_Int32_Int32_0,100671080,runtime formula/helper seam
nbCalc,nbGetAisyoRitu_Public_Static_Single_Int32_Int32_Int32_0,100671085,runtime formula/helper seam
nbCalc,nbGetKoukaHp_Public_Static_Int32_Int32_Int32_Int32_Int32_Single_Int32_0,100671086,runtime formula/helper seam
nbCalc,nbGetKoukaMp_Public_Static_Int32_Int32_Int32_Int32_Int32_Single_Int32_0,100671087,runtime formula/helper seam
nbCalc,nbGetKoukaBadDamage_Public_Static_UInt32_Int32_Int32_Int32_Single_Int32_0,100671091,runtime formula/helper seam
nbCalc,nbGetKoukaBadKaifuku_Public_Static_UInt32_Int32_Int32_Int32_Single_Int32_0,100671092,runtime formula/helper seam
nbCalc,nbCheckHitEffect_Public_Static_UInt32_Int32_Int32_Int32_0,100671093,runtime formula/helper seam
nbCalc,nbSetBadStat_Public_Static_Void_Int32_Int32_Int32_0,100671096,runtime formula/helper seam
nbCalc,nbCheckBadKaifuku_Public_Static_Int32_datUnitWork_t_Int32_0,100671097,runtime formula/helper seam
nbCalc,nbGetBadStat_Public_Static_UInt32_Int32_0,100671098,runtime formula/helper seam
nbCalc,nbCheckBadCurse_Public_Static_Int32_Int32_0,100671099,runtime formula/helper seam
nbCalc,nbGetAisyoTable_Public_Static_Int32_Int32_0,100671100,runtime formula/helper seam
nbCalc,nbGetAisyo_Public_Static_UInt32_Int32_Int32_Int32_0,100671101,runtime formula/helper seam
nbCalc,nbGetVirtualAisyo_Public_Static_Int32_Int32_Int32_Int32_0,100671115,runtime formula/helper seam
nbCalc,nbCheckBadPanicAction_Public_Static_Int32_datUnitWork_t_0,100671138,runtime formula/helper seam
nbCalc,nbCheckBadStatusGameOver_Public_Static_Int32_nbMainProcessData_t_0,100671139,runtime formula/helper seam
nbCalc,nbGetCriticalPow_Public_Static_Single_Int32_Single_0,100671142,runtime formula/helper seam
nbMainProcess,nbSetPhase_Private_Static_Void_Int32_0,100671572,set current phase
nbMainProcess,nbSetNextPhase_Private_Static_Void_Int32_0,100671573,set next phase
nbMainProcess,nbGetMainProcessData_Public_Static_nbMainProcessData_t_0,100671574,battle root data pointer
nbMainProcess,nbGetUnitWorkPointer_Public_Static_datUnitWork_t_nbMainProcessData_t_nbParty_t_0,100671575,formindex→unit work lookup
nbMainProcess,nbGetPartyFromFormindex_Public_Static_nbParty_t_Int32_0,100671576,formindex→party lookup
nbMainProcess,nbGetUnitWorkFromFormindex_Public_Static_datUnitWork_t_Int32_0,100671577,formindex→unit work lookup
nbMainProcess,nbPushAction_Public_Static_Void_Int32_Int32_Int32_Int32_0,100671584,push action to stack/queue
nbMakePacket,nbAddPressPacket_Public_Static_nbKoukaPacket_t_Int32_Int32_Single_0,100671669,press-turn packet builder
nbMakePacket,nbAddNewPressPacket_Public_Static_nbKoukaPacket_t_Int32_Int32_Int32_Int32_0,100671670,press-turn packet builder
nbMakePacket,nbMakePressPacket_Public_Static_Int32_Int32_Int32_Single_0,100671702,press-turn packet builder
nbMakePacket,nbMakeNewPressPacket_Public_Static_Int32_Int32_Int32_Int32_byref_nbFormation_t_0,100671703,press-turn packet builder
nbPanelProcess,nbPanelPressTurnGaugeAnimStart_Private_Static_Void_0,100672287,press UI gauge surface
nbPanelProcess,nbPanelPressGaugeInit_Private_Static_Void_0,100672288,press UI gauge surface
nbPanelProcess,nbPanelPressGaugeStart_Public_Static_Void_0,100672289,press UI gauge surface
nbPanelProcess,nbPanelPressGaugeShow_Public_Static_Void_0,100672290,press UI gauge surface
nbPanelProcess,nbPanelPressGaugeHide_Public_Static_Void_0,100672291,press UI gauge surface
nbPanelProcess,nbPanelPressGaugeEncountHide_Public_Static_Void_0,100672292,press UI gauge surface
nbPanelProcess,nbPanelPressGauge_Public_Static_Void_nbMainProcessData_t_0,100672293,press UI gauge surface
nbPanelProcess,nbPanelPressTurnInit_Private_Static_Void_0,100672294,press UI gauge surface
nbPanelProcess,nbPanelPressTurnRun_Public_Static_Int32_0,100672295,press UI gauge surface
nbPanelProcess,nbPanelPressTurnGaugeRun_Public_Static_Int32_0,100672296,press UI gauge surface
nbPanelProcess,nbPanelPressTurnOmit_Public_Static_Void_0,100672297,press UI gauge surface
nbPanelProcess,nbPanelPressTurnStart_Public_Static_Void_0,100672298,press UI gauge surface
