native_ptr_name,token,group
Get_Public_Static_UInt32_Int32_Int32_UInt32_0,100672540,datAisyo
datGetBaseMaxHp_Public_Static_Int32_datUnitWork_t_0,100672544,datCalc
datGetBaseMaxMp_Public_Static_Int32_datUnitWork_t_0,100672545,datCalc
datGetNormalAtkPow_Public_Static_Int32_datUnitWork_t_0,100672546,datCalc
datGetMagicHitPow_Public_Static_Int32_datUnitWork_t_0,100672547,datCalc
datGetDefPow_Public_Static_Int32_datUnitWork_t_0,100672548,datCalc
datGetSakePow_Public_Static_Int32_datUnitWork_t_0,100672549,datCalc
GetButuriAttack_Public_Static_Int32_Int32_datUnitWork_t_datUnitWork_t_Int32_0,100672550,datCalc
GetButuriKaifuku_Public_Static_Int32_Int32_datUnitWork_t_datUnitWork_t_Int32_0,100672551,datCalc
GetMagicAttack_Public_Static_Int32_Int32_datUnitWork_t_datUnitWork_t_Int32_0,100672552,datCalc
GetMagicKaifuku_Public_Static_Int32_Int32_datUnitWork_t_datUnitWork_t_Int32_0,100672553,datCalc
GetMaxHpWazaPoint_Public_Static_Int32_Int32_datUnitWork_t_datUnitWork_t_Int32_0,100672554,datCalc
GetAisyoRitu_Public_Static_Single_Int32_datUnitWork_t_datUnitWork_t_0,100672555,datCalc
datGetSkillKouka_Public_Static_Int32_Int32_Int32_datUnitWork_t_datUnitWork_t_0,100672556,datCalc
datGetSkillBadKouka_Public_Static_Int32_Int32_datUnitWork_t_datUnitWork_t_0,100672557,datCalc
datExecSkill_Public_Static_Int32_Int32_datUnitWork_t_datUnitWork_t_0,100672558,datCalc
datOverwriteBadStat_Public_Static_Void_datUnitWork_t_UInt32_0,100672559,datCalc
datSetBadStat_Public_Static_Void_datUnitWork_t_UInt32_0,100672560,datCalc
datResetBadStat_Public_Static_Void_datUnitWork_t_UInt32_0,100672561,datCalc
datGetMaxHp_Public_Static_UInt32_datUnitWork_t_0,100672562,datCalc
datGetMaxMp_Public_Static_UInt32_datUnitWork_t_0,100672563,datCalc
datAddHp_Public_Static_UInt32_datUnitWork_t_Int32_0,100672564,datCalc
datAddMp_Public_Static_UInt32_datUnitWork_t_Int32_0,100672565,datCalc
datGetBaseParam_Public_Static_Int32_datUnitWork_t_Int32_0,100672566,datCalc
datGetParam_Public_Static_Int32_datUnitWork_t_Int32_0,100672567,datCalc
datCheckSyojiSkill_Public_Static_Int32_datUnitWork_t_UInt32_0,100672568,datCalc
datGetAisyo_Public_Static_UInt32_datUnitWork_t_Int32_0,100672569,datCalc
datGetAisyoFlag_Public_Static_Int32_datUnitWork_t_Int32_0,100672570,datCalc
datGetBadStatusAttr_Public_Static_Int32_Int32_0,100672571,datCalc
datCheckDying_Public_Static_Int32_datUnitWork_t_0,100672572,datCalc
datAddMaka_Public_Static_Void_Int32_0,100672573,datCalc
datAddMakaPar_Public_Static_Void_Int32_0,100672574,datCalc
datCheckMaka_Public_Static_Int32_Int32_0,100672575,datCalc
datAddItem_Public_Static_Void_Int32_Int32_0,100672576,datCalc
datCheckItem_Public_Static_Int32_Int32_Int32_0,100672577,datCalc
datCheckItemFull_Public_Static_Int32_Int32_0,100672578,datCalc
datGetRace_Public_Static_Int32_datUnitWork_t_0,100672579,datCalc
datCheckTalk_Public_Static_Int32_datUnitWork_t_0,100672580,datCalc
datSearchDevilStock_Public_Static_Int32_Int32_0,100672581,datCalc
datGetPlayerLevel_Public_Static_Int32_0,100672582,datCalc
datCheckPlayerDead_Public_Static_Int32_0,100672583,datCalc
datGetPlayerParam_Public_Static_Int32_Int32_0,100672584,datCalc
datAddPlayerParam_Public_Static_Void_Int32_Int32_0,100672585,datCalc
datGetNakamaParam_Public_Static_Int32_Int32_Int32_0,100672586,datCalc
datGetPlayerLND_Public_Static_Int32_0,100672587,datCalc
datDeadNakama_Public_Static_Void_Int32_0,100672588,datCalc
datPartyDamage_Public_Static_Void_Int32_0,100672589,datCalc
datPartyDamageFld_Public_Static_Void_Int32_0,100672590,datCalc
datPartyDamagePipe_Public_Static_Void_Int32_Int32_0,100672591,datCalc
datPartyKaifuku_Public_Static_Void_0,100672592,datCalc
datGet3Zokusei_Public_Static_Int32_datUnitWork_t_0,100672593,datCalc
datCheckStockFull_Public_Static_Int32_0,100672594,datCalc
datSetDevilWork_Public_Static_Void_Int32_datUnitWork_t_0,100672595,datCalc
datAddDevil_Public_Static_Int32_Int32_Int32_0,100672596,datCalc
datAddUniqueDevil_Public_Static_Int32_Int32_Int32_Int32_0,100672597,datCalc
datSearchUniqueDevilStock_Public_Static_Int32_Int32_0,100672598,datCalc
datGetUniqueDevilId_Public_Static_Int32_Int32_0,100672599,datCalc
datAddExp_Public_Static_Void_datUnitWork_t_Int32_0,100672600,datCalc
datAddHearts_Public_Static_Int32_Int32_0,100672601,datCalc
datRemoveHearts_Public_Static_Void_0,100672602,datCalc
datEquipHearts_Public_Static_Void_Int32_0,100672603,datCalc
datSetAutoKaifukuSkill_Public_Static_Void_datUnitWork_t_Int32_0,100672604,datCalc
datFieldSkillKaifuku_Public_Static_Void_0,100672605,datCalc
datCheckSkillInParty_Public_Static_Int32_Int32_0,100672606,datCalc
datCheckSkillTakaraSagasi_Public_Static_Int32_0,100672607,datCalc
datClearCommMemory_Public_Static_Void_datUnitWork_t_0,100672608,datCalc
datAllClearCommMemory_Public_Static_Void_0,100672609,datCalc
datAddKotowariPoint_Public_Static_Void_Int32_Int32_0,100672610,datCalc
datGetKotowariLank_Public_Static_Int32_Int32_0,100672611,datCalc
datGetSkillCost_Public_Static_Int32_datUnitWork_t_Int32_0,100672612,datCalc
datInitPlayer_Public_Static_Void_0,100672613,datCalc
datInitBossPress_Public_Static_Void_0,100672614,datCalc
datDelDevil_Public_Static_Int32_Int32_0,100672615,datCalc
datGetItemSkillNo_Public_Static_Int32_Int32_0,100672616,datCalc
datGetLevelForDraw_Public_Static_Int32_datUnitWork_t_0,100672617,datCalc
datCopyDevilWork_Public_Static_Void_Int32_datUnitWork_t_0,100672618,datCalc
datBossRashGetRec_Public_Static_Int32_Int32_Int32_0,100672619,datCalc
datBossRashUpdRec_Public_Static_Void_Int32_Int32_0,100672620,datCalc
datBossRashChk_Public_Static_Int32_Int32_0,100672621,datCalc
IsNOCTURNE_Public_Static_Boolean_0,100672622,datCalc
tbl_Private_Static_datDevilAI_t_Int32_0,100672627,datDevilAI
Get_Public_Static_datDevilAI_t_Int32_0,100672628,datDevilAI
SetActionSeq_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670806,nbActionProcess
SetNextActionSeq_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670807,nbActionProcess
SetTimeList_Public_Static_Void_byref_nbActionProcessData_t_Int32_Int32_Int32_Int32_0,100670808,nbActionProcess
AddTimeListHp_Public_Static_Int32_byref_nbActionProcessData_t_Int32_Int32_0,100670809,nbActionProcess
GetTimeListHp_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670810,nbActionProcess
GetUnlockTime_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670811,nbActionProcess
GetEndTime_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670812,nbActionProcess
CheckTimeListDead_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670813,nbActionProcess
CheckCounter_Public_Static_Int32_byref_nbActionProcessData_t_Int32_Int32_0,100670814,nbActionProcess
CheckArrCounter_Public_Static_Int32_byref_nbActionProcessData_t_0,100670815,nbActionProcess
UnitKyoseiDisp_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670816,nbActionProcess
SetDeadPacket_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670817,nbActionProcess
SetPress_Public_Static_Void_byref_nbActionProcessData_t_Single_0,100670818,nbActionProcess
SetNewPress_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670819,nbActionProcess
SetHitStopFrame_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670820,nbActionProcess
SetEnemyEscapePacket_Public_Static_Void_byref_nbActionProcessData_t_Int32_Int32_0,100670821,nbActionProcess
SetAuroraPacket_Public_Static_Void_byref_nbActionProcessData_t_Int32_Int32_0,100670822,nbActionProcess
SetAddPressPacket_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670823,nbActionProcess
SetAddFlareChargePacket_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670824,nbActionProcess
SetMakaPacket_Public_Static_Void_byref_nbActionProcessData_t_Int32_Int32_0,100670825,nbActionProcess
SetTorafuPacket_Public_Static_Void_byref_nbActionProcessData_t_Int32_Int32_0,100670826,nbActionProcess
SetAnalyzePacket_Public_Static_Void_byref_nbActionProcessData_t_Int32_Int32_0,100670827,nbActionProcess
SetPlayerSummonPacket_Public_Static_Int32_byref_nbActionProcessData_t_Int32_Int32_Int32_Int32_0,100670828,nbActionProcess
SetSakePacket_Public_Static_Void_byref_nbActionProcessData_t_Int32_Int32_Int32_Int32_Int32_0,100670829,nbActionProcess
SetMissPacket_Public_Static_Void_byref_nbActionProcessData_t_Int32_Int32_Int32_Int32_Int32_0,100670830,nbActionProcess
SetOngShadowPacket_Public_Static_Void_byref_nbActionProcessData_t_Int32_Int32_Int32_Int32_Int32_0,100670831,nbActionProcess
SetOngShadowPacket2_Public_Static_Void_byref_nbActionProcessData_t_Int32_Int32_0,100670832,nbActionProcess
SetAllPacket_Public_Static_Void_byref_nbActionProcessData_t_Int32_Int32_Int32_Int32_Int32_Int32_Single_0,100670833,nbActionProcess
SetTarget_Public_Static_Int32_byref_nbActionProcessData_t_0,100670834,nbActionProcess
