native_ptr_name,token
datGetBaseMaxHp_Public_Static_Int32_datUnitWork_t_0,100672544
datGetBaseMaxMp_Public_Static_Int32_datUnitWork_t_0,100672545
datGetNormalAtkPow_Public_Static_Int32_datUnitWork_t_0,100672546
datGetMagicHitPow_Public_Static_Int32_datUnitWork_t_0,100672547
datGetDefPow_Public_Static_Int32_datUnitWork_t_0,100672548
datGetSakePow_Public_Static_Int32_datUnitWork_t_0,100672549
GetButuriAttack_Public_Static_Int32_Int32_datUnitWork_t_datUnitWork_t_Int32_0,100672550
GetButuriKaifuku_Public_Static_Int32_Int32_datUnitWork_t_datUnitWork_t_Int32_0,100672551
GetMagicAttack_Public_Static_Int32_Int32_datUnitWork_t_datUnitWork_t_Int32_0,100672552
GetMagicKaifuku_Public_Static_Int32_Int32_datUnitWork_t_datUnitWork_t_Int32_0,100672553
GetMaxHpWazaPoint_Public_Static_Int32_Int32_datUnitWork_t_datUnitWork_t_Int32_0,100672554
GetAisyoRitu_Public_Static_Single_Int32_datUnitWork_t_datUnitWork_t_0,100672555
datGetSkillKouka_Public_Static_Int32_Int32_Int32_datUnitWork_t_datUnitWork_t_0,100672556
datGetSkillBadKouka_Public_Static_Int32_Int32_datUnitWork_t_datUnitWork_t_0,100672557
datExecSkill_Public_Static_Int32_Int32_datUnitWork_t_datUnitWork_t_0,100672558
datOverwriteBadStat_Public_Static_Void_datUnitWork_t_UInt32_0,100672559
datSetBadStat_Public_Static_Void_datUnitWork_t_UInt32_0,100672560
datResetBadStat_Public_Static_Void_datUnitWork_t_UInt32_0,100672561
datGetMaxHp_Public_Static_UInt32_datUnitWork_t_0,100672562
datGetMaxMp_Public_Static_UInt32_datUnitWork_t_0,100672563
datAddHp_Public_Static_UInt32_datUnitWork_t_Int32_0,100672564
datAddMp_Public_Static_UInt32_datUnitWork_t_Int32_0,100672565
datGetBaseParam_Public_Static_Int32_datUnitWork_t_Int32_0,100672566
datGetParam_Public_Static_Int32_datUnitWork_t_Int32_0,100672567
datCheckSyojiSkill_Public_Static_Int32_datUnitWork_t_UInt32_0,100672568
datGetAisyo_Public_Static_UInt32_datUnitWork_t_Int32_0,100672569
datGetAisyoFlag_Public_Static_Int32_datUnitWork_t_Int32_0,100672570
datGetBadStatusAttr_Public_Static_Int32_Int32_0,100672571
datCheckDying_Public_Static_Int32_datUnitWork_t_0,100672572
datAddMaka_Public_Static_Void_Int32_0,100672573
datAddMakaPar_Public_Static_Void_Int32_0,100672574
datCheckMaka_Public_Static_Int32_Int32_0,100672575
datAddItem_Public_Static_Void_Int32_Int32_0,100672576
datCheckItem_Public_Static_Int32_Int32_Int32_0,100672577
datCheckItemFull_Public_Static_Int32_Int32_0,100672578
datGetRace_Public_Static_Int32_datUnitWork_t_0,100672579
datCheckTalk_Public_Static_Int32_datUnitWork_t_0,100672580
datSearchDevilStock_Public_Static_Int32_Int32_0,100672581
datGetPlayerLevel_Public_Static_Int32_0,100672582
datCheckPlayerDead_Public_Static_Int32_0,100672583
datGetPlayerParam_Public_Static_Int32_Int32_0,100672584
datAddPlayerParam_Public_Static_Void_Int32_Int32_0,100672585
datGetNakamaParam_Public_Static_Int32_Int32_Int32_0,100672586
datGetPlayerLND_Public_Static_Int32_0,100672587
datDeadNakama_Public_Static_Void_Int32_0,100672588
datPartyDamage_Public_Static_Void_Int32_0,100672589
datPartyDamageFld_Public_Static_Void_Int32_0,100672590
datPartyDamagePipe_Public_Static_Void_Int32_Int32_0,100672591
datPartyKaifuku_Public_Static_Void_0,100672592
datGet3Zokusei_Public_Static_Int32_datUnitWork_t_0,100672593
datCheckStockFull_Public_Static_Int32_0,100672594
datSetDevilWork_Public_Static_Void_Int32_datUnitWork_t_0,100672595
datAddDevil_Public_Static_Int32_Int32_Int32_0,100672596
datAddUniqueDevil_Public_Static_Int32_Int32_Int32_Int32_0,100672597
datSearchUniqueDevilStock_Public_Static_Int32_Int32_0,100672598
datGetUniqueDevilId_Public_Static_Int32_Int32_0,100672599
datAddExp_Public_Static_Void_datUnitWork_t_Int32_0,100672600
datAddHearts_Public_Static_Int32_Int32_0,100672601
datRemoveHearts_Public_Static_Void_0,100672602
datEquipHearts_Public_Static_Void_Int32_0,100672603
datSetAutoKaifukuSkill_Public_Static_Void_datUnitWork_t_Int32_0,100672604
datFieldSkillKaifuku_Public_Static_Void_0,100672605
datCheckSkillInParty_Public_Static_Int32_Int32_0,100672606
datCheckSkillTakaraSagasi_Public_Static_Int32_0,100672607
datClearCommMemory_Public_Static_Void_datUnitWork_t_0,100672608
datAllClearCommMemory_Public_Static_Void_0,100672609
datAddKotowariPoint_Public_Static_Void_Int32_Int32_0,100672610
datGetKotowariLank_Public_Static_Int32_Int32_0,100672611
datGetSkillCost_Public_Static_Int32_datUnitWork_t_Int32_0,100672612
datInitPlayer_Public_Static_Void_0,100672613
datInitBossPress_Public_Static_Void_0,100672614
datDelDevil_Public_Static_Int32_Int32_0,100672615
datGetItemSkillNo_Public_Static_Int32_Int32_0,100672616
datGetLevelForDraw_Public_Static_Int32_datUnitWork_t_0,100672617
datCopyDevilWork_Public_Static_Void_Int32_datUnitWork_t_0,100672618
datBossRashGetRec_Public_Static_Int32_Int32_Int32_0,100672619
datBossRashUpdRec_Public_Static_Void_Int32_Int32_0,100672620
datBossRashChk_Public_Static_Int32_Int32_0,100672621
IsNOCTURNE_Public_Static_Boolean_0,100672622
