native_ptr_name,token
SetActionSeq_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670806
SetNextActionSeq_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670807
SetTimeList_Public_Static_Void_byref_nbActionProcessData_t_Int32_Int32_Int32_Int32_0,100670808
AddTimeListHp_Public_Static_Int32_byref_nbActionProcessData_t_Int32_Int32_0,100670809
GetTimeListHp_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670810
GetUnlockTime_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670811
GetEndTime_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670812
CheckTimeListDead_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670813
CheckCounter_Public_Static_Int32_byref_nbActionProcessData_t_Int32_Int32_0,100670814
CheckArrCounter_Public_Static_Int32_byref_nbActionProcessData_t_0,100670815
UnitKyoseiDisp_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670816
SetDeadPacket_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670817
SetPress_Public_Static_Void_byref_nbActionProcessData_t_Single_0,100670818
SetNewPress_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670819
SetHitStopFrame_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670820
SetEnemyEscapePacket_Public_Static_Void_byref_nbActionProcessData_t_Int32_Int32_0,100670821
SetAuroraPacket_Public_Static_Void_byref_nbActionProcessData_t_Int32_Int32_0,100670822
SetAddPressPacket_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670823
SetAddFlareChargePacket_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670824
SetMakaPacket_Public_Static_Void_byref_nbActionProcessData_t_Int32_Int32_0,100670825
SetTorafuPacket_Public_Static_Void_byref_nbActionProcessData_t_Int32_Int32_0,100670826
SetAnalyzePacket_Public_Static_Void_byref_nbActionProcessData_t_Int32_Int32_0,100670827
SetPlayerSummonPacket_Public_Static_Int32_byref_nbActionProcessData_t_Int32_Int32_Int32_Int32_0,100670828
SetSakePacket_Public_Static_Void_byref_nbActionProcessData_t_Int32_Int32_Int32_Int32_Int32_0,100670829
SetMissPacket_Public_Static_Void_byref_nbActionProcessData_t_Int32_Int32_Int32_Int32_Int32_0,100670830
SetOngShadowPacket_Public_Static_Void_byref_nbActionProcessData_t_Int32_Int32_Int32_Int32_Int32_0,100670831
SetOngShadowPacket2_Public_Static_Void_byref_nbActionProcessData_t_Int32_Int32_0,100670832
SetAllPacket_Public_Static_Void_byref_nbActionProcessData_t_Int32_Int32_Int32_Int32_Int32_Int32_Single_0,100670833
SetTarget_Public_Static_Int32_byref_nbActionProcessData_t_0,100670834
ClearTimeList_Public_Static_Void_byref_nbActionProcessData_t_0,100670835
SetHpForTimeList_Public_Static_Void_byref_nbActionProcessData_t_0,100670836
CheckTimeListDeadEnemyParty_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670837
nbAddTimeListHp_Public_Static_Int32_byref_nbActionProcessData_t_Int32_Int32_0,100670838
OverwriteTimeList_Public_Static_Void_byref_nbActionProcessData_t_Int32_Int32_Int32_Int32_0,100670839
GetAllEndTime_Public_Static_Int32_byref_nbActionProcessData_t_0,100670840
GetAllUnlockTime_Public_Static_Int32_byref_nbActionProcessData_t_0,100670841
GetKoukaList_Public_Static_Void_byref_nbActionProcessData_t_Il2CppReferenceArray_1_Il2CppStructArray_1_SByte_UInt32_Int32_0,100670842
SetTargetPlayer_Public_Static_Void_byref_nbActionProcessData_t_0,100670843
SetTargetParty_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670844
CheckMukanNego_Public_Static_Int32_byref_nbActionProcessData_t_0,100670845
CheckSenseiNego_Public_Static_Int32_byref_nbActionProcessData_t_0,100670846
CheckInotiNego_Public_Static_Int32_byref_nbActionProcessData_t_0,100670847
CheckBinjoNego_Public_Static_Int32_byref_nbActionProcessData_t_0,100670848
CheckDeadScript_Public_Static_Void_byref_nbActionProcessData_t_0,100670849
CheckKoketaNego_Public_Static_Int32_byref_nbActionProcessData_t_0,100670850
KyouseiPress_Public_Static_Void_byref_nbActionProcessData_t_0,100670851
DokodemoPoa_Public_Static_Void_byref_nbActionProcessData_t_0,100670852
SetNowActionStat_Public_Static_Void_byref_nbActionProcessData_t_Int32_Int32_0,100670853
SetDamagePacket_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670854
SetAction_NON_Public_Static_Void_byref_nbActionProcessData_t_0,100670855
CheckAction_NON_Public_Static_Int32_byref_nbActionProcessData_t_0,100670856
SetAction_COMM_Public_Static_Void_byref_nbActionProcessData_t_0,100670857
CheckAction_COMM_Public_Static_Int32_byref_nbActionProcessData_t_0,100670858
SetAction_AI_Public_Static_Void_byref_nbActionProcessData_t_0,100670859
CheckAction_AI_Public_Static_Int32_byref_nbActionProcessData_t_0,100670860
SetAction_AISCR_Public_Static_Void_byref_nbActionProcessData_t_0,100670861
CheckAction_AISCR_Public_Static_Int32_byref_nbActionProcessData_t_0,100670862
SetAction_DEADSCRIPT_Public_Static_Void_byref_nbActionProcessData_t_0,100670863
CheckAction_DEADSCRIPT_Public_Static_Int32_byref_nbActionProcessData_t_0,100670864
SetAction_BAD_Public_Static_Void_byref_nbActionProcessData_t_0,100670865
CheckAction_BAD_Public_Static_Int32_byref_nbActionProcessData_t_0,100670866
