category,native_ptr_name,token
ACT,nbCommand_AI_ACT_ATTACK_Public_Static_Int32_0,100670979
ACT,nbCommand_AI_ACT_ESCAPE_Public_Static_Int32_0,100670980
ACT,nbCommand_AI_ACT_WAIT_Public_Static_Int32_0,100670981
ACT,nbCommand_AI_ACT_SKILL_Public_Static_Int32_0,100670982
ACT,nbCommand_AI_ACT_SUMMON_Public_Static_Int32_0,100670983
CHK,nbCommand_AI_CHK_MYHP_Public_Static_Int32_0,100670997
CHK,nbCommand_AI_CHK_MYMP_Public_Static_Int32_0,100670998
CHK,nbCommand_AI_CHK_FRHP_Public_Static_Int32_0,100670999
CHK,nbCommand_AI_CHK_DMGCNT_Public_Static_Int32_0,100671000
CHK,nbCommand_AI_CHK_FRCNT_Public_Static_Int32_0,100671001
CHK,nbCommand_AI_CHK_ENCNT_Public_Static_Int32_0,100671002
CHK,nbCommand_AI_CHK_MYBAD_Public_Static_Int32_0,100671003
CHK,nbCommand_AI_CHK_FRBAD_Public_Static_Int32_0,100671004
CHK,nbCommand_AI_CHK_ENBAD_Public_Static_Int32_0,100671005
CHK,nbCommand_AI_CHK_ENALLBAD_Public_Static_Int32_0,100671006
CHK,nbCommand_AI_CHK_ENID_Public_Static_Int32_0,100671007
CHK,nbCommand_AI_CHK_FRID_Public_Static_Int32_0,100671008
CHK,nbCommand_AI_CHK_ENHOJO_Public_Static_Int32_0,100671009
CHK,nbCommand_AI_CHK_FRHOJO_Public_Static_Int32_0,100671010
CHK,nbCommand_AI_CHK_ENHOJOMAX_Public_Static_Int32_0,100671011
CHK,nbCommand_AI_CHK_FRHOJOMAX_Public_Static_Int32_0,100671012
CHK,nbCommand_AI_CHK_BA_Public_Static_Int32_0,100671013
CHK,nbCommand_AI_CHK_ENLIGHT_Public_Static_Int32_0,100671014
CHK,nbCommand_AI_CHK_ENDARK_Public_Static_Int32_0,100671015
CHK,nbCommand_AI_CHK_POW_Public_Static_Int32_0,100671016
CHK,nbCommand_AI_CHK_PLV_Public_Static_Int32_0,100671017
CHK,nbCommand_AI_CHK_PPARTYLV_Public_Static_Int32_0,100671018
CHK,nbCommand_AI_CHK_ESCAPE_Public_Static_Int32_0,100671025
CHK,nbCommand_AI_CHK_ENHAMAMHK_Public_Static_Int32_0,100671026
CHK,nbCommand_AI_CHK_SKILLNOMP_Public_Static_Int32_0,100671027
DISPATCH,AiChkJoken_Public_Static_Void_UInt32_0,100670996
TAR,nbCommand_AI_TAR_AI_Public_Static_Int32_0,100670985
TAR,nbCommand_AI_TAR_LIFEMIN_Public_Static_Int32_0,100670986
TAR,nbCommand_AI_TAR_BAARLV_Public_Static_Int32_0,100670987
TAR,nbCommand_AI_TAR_LVMIN_Public_Static_Int32_0,100670988
TAR,nbCommand_AI_TAR_BAD_Public_Static_Int32_0,100670989
TAR,nbCommand_AI_TAR_ID_Public_Static_Int32_0,100670990
TAR,nbCommand_AI_TAR_LIGHT_Public_Static_Int32_0,100670991
TAR,nbCommand_AI_TAR_DARK_Public_Static_Int32_0,100670992
TAR,nbCommand_AI_TAR_PLAYER_Public_Static_Int32_0,100670993
TAR,nbCommand_AI_TAR_RND_Public_Static_Int32_0,100670994
TAR,nbCommand_AI_TAR_JOKEN_Public_Static_Int32_0,100670995
other,nbCommand_AI_SET_CRITICAL_Public_Static_Int32_0,100670984
other,nbCommand_AI_GET_TURN_Public_Static_Int32_0,100671019
other,nbCommand_AI_GET_ALLKOUDO_Public_Static_Int32_0,100671020
other,nbCommand_AI_GET_PRESSKOUDO_Public_Static_Int32_0,100671021
other,nbCommand_AI_GET_MYLV_Public_Static_Int32_0,100671022
other,nbCommand_AI_GET_MYAISYO_Public_Static_Int32_0,100671023
other,nbCommand_AI_GET_FUREA_Public_Static_Int32_0,100671024
other,nbCommand_AI_Public_Static_Int32_0,100671028
other,nbCommand_AI_TBL_Public_Static_Int32_0,100671029
other,nbCommand_BTL_CAM_SET_Public_Static_Int32_0,100671030
other,nbCommand_BTL_CAM_ORG_Public_Static_Int32_0,100671031
other,nbCommand_BTL_CAM_1SHOT_Public_Static_Int32_0,100671032
other,nbCommand_BTL_CAM_2SHOT_Public_Static_Int32_0,100671033
other,nbCommand_BTL_CAM_BOUGAI_Public_Static_Int32_0,100671034
other,nbCommand_BTL_PNL_OFF_Public_Static_Int32_0,100671035
other,nbCommand_BTL_PNL_ON_Public_Static_Int32_0,100671036
other,nbCommand_BTL_EVENT_Public_Static_Int32_0,100671037
other,nbCommand_BTL_TAIKYO_Public_Static_Int32_0,100671038
other,nbCommand_BTL_ALLTAIKYO_Public_Static_Int32_0,100671039
other,nbCommand_BTL_PRESS_Public_Static_Int32_0,100671040
other,nbCommand_BTL_NAKAMA_Public_Static_Int32_0,100671041
other,nbCommand_BTL_FORM_ALL_ON_Public_Static_Int32_0,100671042
other,nbCommand_BTL_FORM_PLY_ON_Public_Static_Int32_0,100671043
other,nbCommand_BTL_FORM_ENE_ON_Public_Static_Int32_0,100671044
other,nbCommand_BTL_AI_ROT_CLR_Public_Static_Int32_0,100671045
other,nbCommand_BTL_AI_ROT_NEXT_Public_Static_Int32_0,100671046
other,nbCommand_BTL_AI_ROT_GET_Public_Static_Int32_0,100671047
other,nbCommand_BTL_AI_CHANGE_OFF_Public_Static_Int32_0,100671048
other,nbCommand_BTL_AI_CHANGE_ON_Public_Static_Int32_0,100671049
other,nbInitAiScript_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100671050
