native_ptr_name,token
Chk_MYHP_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670922
Chk_MYMP_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670923
Chk_FRHP_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670924
Chk_DMGCNT_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670925
Chk_CHKCNT_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670926
Chk_FRCNT_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670927
Chk_ENCNT_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670928
Chk_MYBAD_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670929
Chk_FRBAD_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670930
Chk_ENBAD_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670931
Chk_ENALLBAD_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670932
Chk_ENID_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670933
Chk_FRID_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670934
ChkAiHojo_Public_Static_Int32_Int32_Int32_0,100670935
ChkAiHojoMax_Public_Static_Int32_Int32_Int32_0,100670936
Chk_ENHOJO_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670937
Chk_FRHOJO_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670938
Chk_ENHOJOMAX_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670939
Chk_FRHOJOMAX_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670940
Chk_BA_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670941
Chk_SENSEI_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670942
Chk_ENLIGHT_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670943
Chk_ENDARK_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670944
Chk_POW_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670945
Chk_PLV_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670946
Chk_PPARTYLV_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670947
Chk_TURN_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670948
Chk_ENHAMAMHK_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670949
Chk_SKILLNOMP_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670950
nbAiChkJoken_Public_Static_Int32_byref_nbActionProcessData_t_UInt32_0,100670951
AiChk_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670952
GetKoudou_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670953
SetKoudou_Public_Static_Void_byref_nbActionProcessData_t_Int32_Int32_0,100670954
Sel_AI_Public_Static_Int32_byref_nbActionProcessData_t_Int32_Int32_0,100670955
Sel_LIFEMIN_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670956
Sel_BAARLV_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670957
Sel_LVMIN_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670958
Sel_BAD_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670959
Sel_ID_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670960
Sel_LIGHT_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670961
Sel_DARK_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670962
Sel_PLAYER_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670963
Sel_JOKEN_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670964
Sel_RND_Public_Static_Void_byref_nbActionProcessData_t_Int32_0,100670965
SetSingleTarget2_Public_Static_Int32_byref_nbActionProcessData_t_Int32_Int32_0,100670966
SetGroupTarget2_Public_Static_Int32_byref_nbActionProcessData_t_Int32_Int32_0,100670967
ChkCost_Public_Static_Int32_byref_nbActionProcessData_t_0,100670968
ChkClose_Public_Static_Int32_byref_nbActionProcessData_t_0,100670969
nbSetAiTarget_Public_Static_Int32_byref_nbActionProcessData_t_Int32_Int32_0,100670970
nbRunAiSub_Public_Static_Int32_byref_nbActionProcessData_t_Int32_0,100670971
nbRunAi_Public_Static_Int32_byref_nbActionProcessData_t_0,100670972
_ctor_Public_Void_0,100670974
_ctor_Public_Void_Object_IntPtr_0,100670975
Invoke_Public_Virtual_New_Int32_byref_nbActionProcessData_t_Int32_0,100670976
BeginInvoke_Public_Virtual_New_IAsyncResult_byref_nbActionProcessData_t_Int32_AsyncCallback_Object_0,100670977
EndInvoke_Public_Virtual_New_Int32_byref_nbActionProcessData_t_IAsyncResult_0,100670978
