native_ptr_name,token
GetFailpoint_Private_Static_Int16_Int32_0,100671079
nbGetHitType_Public_Static_Int32_nbActionProcessData_t_Int32_Int32_Int32_0,100671080
nbGet3Zokusei_Public_Static_Int32_Int32_0,100671081
nbCheckKoukaJyoken_Public_Static_Int32_Int32_Int32_Int32_0,100671082
nbGetKoukaType_Public_Static_Int32_Int32_Int32_Int32_0,100671083
nbAddHpMp_Public_Static_Void_Int32_Int32_Int32_0,100671084
nbGetAisyoRitu_Public_Static_Single_Int32_Int32_Int32_0,100671085
nbGetKoukaHp_Public_Static_Int32_Int32_Int32_Int32_Int32_Single_Int32_0,100671086
nbGetKoukaMp_Public_Static_Int32_Int32_Int32_Int32_Int32_Single_Int32_0,100671087
nbGetHpDrainRitu_Public_Static_Single_Int32_Int32_Int32_0,100671088
nbGetMpDrainRitu_Public_Static_Single_Int32_Int32_Int32_0,100671089
nbGetGensyoRitu_Public_Static_Single_Int32_Int32_Int32_0,100671090
nbGetKoukaBadDamage_Public_Static_UInt32_Int32_Int32_Int32_Single_Int32_0,100671091
nbGetKoukaBadKaifuku_Public_Static_UInt32_Int32_Int32_Int32_Single_Int32_0,100671092
nbCheckHitEffect_Public_Static_UInt32_Int32_Int32_Int32_0,100671093
nbGetDeadType_Public_Static_Int32_Int32_Int32_Int32_0,100671094
nbCheckStoneDead_Public_Static_Int32_Int32_Int32_0,100671095
nbSetBadStat_Public_Static_Void_Int32_Int32_Int32_0,100671096
nbCheckBadKaifuku_Public_Static_Int32_datUnitWork_t_Int32_0,100671097
nbGetBadStat_Public_Static_UInt32_Int32_0,100671098
nbCheckBadCurse_Public_Static_Int32_Int32_0,100671099
nbGetAisyoTable_Public_Static_Int32_Int32_0,100671100
nbGetAisyo_Public_Static_UInt32_Int32_Int32_Int32_0,100671101
nbGetNormalSkillAttr_Public_Static_Int32_Int32_0,100671102
nbSetHojoCounter_Public_Static_Void_Int32_Int32_Int32_0,100671103
nbGetHojoCounter_Public_Static_Int32_Int32_Int32_0,100671104
nbGetHojoCounterMax_Public_Static_Int32_Int32_0,100671105
nbGetHojoCounterMin_Public_Static_Int32_Int32_0,100671106
nbSetHojoAddCounter_Public_Static_Int32_Int32_Int32_Int32_Int32_0,100671107
nbSetHojoKouka_Public_Static_Int32_Int32_UInt32_Int32_Int32_0,100671108
nbGetHojoRitu_Public_Static_Single_Int32_Int32_0,100671109
nbGetButuriAttack_Public_Static_Int32_Int32_Int32_Int32_Int32_0,100671110
nbGetButuriKaifuku_Public_Static_Int32_Int32_Int32_Int32_Int32_0,100671111
nbGetMagicAttack_Public_Static_Int32_Int32_Int32_Int32_Int32_0,100671112
nbGetMagicKaifuku_Public_Static_Int32_Int32_Int32_Int32_Int32_0,100671113
nbGetMaxHpWazaPoint_Public_Static_Int32_Int32_Int32_Int32_Int32_0,100671114
nbGetVirtualAisyo_Public_Static_Int32_Int32_Int32_Int32_0,100671115
nbGetVirtualKoukaPoint_Public_Static_Int32_Int32_Int32_Int32_0,100671116
nbCheckSkillCost_Public_Static_Int32_Int32_Int32_0,100671117
nbCheckSkillUse_Public_Static_Int32_Int32_Int32_0,100671118
nbGetEncountTableItem_Public_Static_Void_nbMainProcessData_t_0,100671119
nbGetExpMakaItem_Public_Static_Void_datUnitWork_t_0,100671120
nbGetLvAvg_Public_Static_Int32_nbMainProcessData_t_Int32_0,100671121
nbGetLvAvg2_Public_Static_Int32_nbMainProcessData_t_Int32_0,100671122
nbGetParamAvg_Public_Static_Int32_nbMainProcessData_t_Int32_Int32_0,100671123
nbGetParamAvg2_Public_Static_Int32_nbMainProcessData_t_Int32_Int32_0,100671124
nbCheckSensei_Public_Static_Int32_nbMainProcessData_t_0,100671125
nbCheckBackAttack_Public_Static_Int32_nbMainProcessData_t_0,100671126
nbCheckEscape_Public_Static_Int32_nbMainProcessData_t_0,100671127
nbGetEscapeSwitch_Public_Static_Int32_nbMainProcessData_t_0,100671128
nbCheckRenzokuEncount_Public_Static_Int32_nbMainProcessData_t_0,100671129
nbCheckKuisibariSkill_Public_Static_Int32_Int32_0,100671130
nbCheckKuisibari2Skill_Public_Static_Int32_Int32_0,100671131
nbSetKuisibariStop_Public_Static_Void_Int32_0,100671132
nbHatudoCheckSkill_Public_Static_Int32_datUnitWork_t_Int32_0,100671133
nbCheckSingleTargetSkill_Public_Static_Int32_Int32_0,100671134
nbCheckFormationPlayerSide_Public_Static_Int32_Int32_0,100671135
nbCheckFormationFriend_Public_Static_Int32_Int32_Int32_0,100671136
nbGetMakaBaramaki_Public_Static_Int32_datUnitWork_t_0,100671137
nbCheckBadPanicAction_Public_Static_Int32_datUnitWork_t_0,100671138
nbCheckBadStatusGameOver_Public_Static_Int32_nbMainProcessData_t_0,100671139
nbSetHpScale_Public_Static_Void_nbFormation_t_0,100671140
nbGetDevilFormatFlag_Public_Static_UInt32_Int32_0,100671141
nbGetCriticalPow_Public_Static_Single_Int32_Single_0,100671142
nbGetKakutokuExp_Public_Static_Int32_nbMainProcessData_t_0,100671143
nbGetKakutokuMaka_Public_Static_Int32_nbMainProcessData_t_0,100671144
