native_ptr_name,token
evtSetWaitHokanFrame_Private_Static_Void_evtUnitHandle_t_Int32_Int32_0,100671501
nbCheckModelLoad_Private_Static_Int32_nbMainProcessData_t_Int32_Int32_0,100671502
nbLoadSound_Private_Static_Int32_Int32_0,100671503
nbDecodePackData_Private_Static_Void_Object_Int32_Int32_0,100671504
mdlSetPosition_Private_Static_Void_dds3ModelHandle_t_0,100671505
RunReturnKouka_Public_Static_Void_byref_nbKoukaProcessData_t_nbKoukaPacket_t_0,100671506
nbGetKoukaProcessData_Public_Static_nbKoukaProcessData_t_0,100671507
nbGetUniqueIdKoukaPacketCnt_Public_Static_Int32_Int32_0,100671508
nbGetKoukaPacketTypeCnt_Public_Static_Int32_Int32_0,100671509
LinkKoukaPacket_Public_Static_Void_byref_nbKoukaProcessData_t_nbKoukaPacket_t_0,100671510
UnlinkKoukaPacket_Public_Static_Void_byref_nbKoukaProcessData_t_byref_nbKoukaPacket_t_0,100671511
nbAddKoukaPacket_Public_Static_nbKoukaPacket_t_byref_nbKoukaProcessData_t_Int32_Int32_Int32_0,100671512
DelKoukaPacket_Public_Static_Void_byref_nbKoukaProcessData_t_byref_nbKoukaPacket_t_0,100671513
nbDelKoukaPacket_Public_Static_Void_byref_nbKoukaPacket_t_0,100671514
nbDelAllKoukaPacketType_Public_Static_Void_Int32_0,100671515
nbDelAllMojiNumEffectKoukaPacket_Public_Static_Void_byref_nbFormation_t_Int32_0,100671516
nbDelUnEventKoukaPacket_Public_Static_Void_0,100671517
nbOnOffKoukaPacketFlag_Public_Static_Void_Int32_UInt32_Int32_0,100671518
nbCheckSePacket_Public_Static_Int32_Int32_Int32_Int32_0,100671519
RunBossEffectKouka_Public_Static_Void_byref_nbKoukaProcessData_t_byref_nbKoukaPacket_t_0,100671520
RunHatudoEffectEndKouka_Public_Static_Void_byref_nbKoukaProcessData_t_byref_nbKoukaPacket_t_0,100671521
RunSkillEffectKouka_Public_Static_Void_byref_nbKoukaProcessData_t_byref_nbKoukaPacket_t_0,100671522
RunMoveKouka_Public_Static_Void_byref_nbKoukaProcessData_t_byref_nbKoukaPacket_t_0,100671523
RunRotKouka_Public_Static_Void_byref_nbKoukaProcessData_t_byref_nbKoukaPacket_t_0,100671524
RunUnitColKouka_Public_Static_Void_byref_nbKoukaProcessData_t_byref_nbKoukaPacket_t_0,100671525
RunMotionStopKouka_Public_Static_Void_byref_nbKoukaProcessData_t_byref_nbKoukaPacket_t_0,100671526
RunMotionKouka_Public_Static_Void_byref_nbKoukaProcessData_t_byref_nbKoukaPacket_t_0,100671527
RunDamageMotionKouka_Public_Static_Void_byref_nbKoukaProcessData_t_byref_nbKoukaPacket_t_0,100671528
RunSummonKouka_Public_Static_Void_byref_nbKoukaProcessData_t_byref_nbKoukaPacket_t_0,100671529
RunSakeKouka_Public_Static_Void_byref_nbKoukaProcessData_t_byref_nbKoukaPacket_t_0,100671530
RunBadEffKouka_Public_Static_Void_byref_nbKoukaProcessData_t_byref_nbKoukaPacket_t_0,100671531
RunBadEffKaifukuKouka_Public_Static_Void_byref_nbKoukaProcessData_t_byref_nbKoukaPacket_t_0,100671532
RunHitEffectKouka_Public_Static_Void_byref_nbKoukaProcessData_t_byref_nbKoukaPacket_t_0,100671533
NumEffectClip_Public_Static_Void_byref_nbKoukaPacket_t_0,100671534
RunNumEffectKouka_Public_Static_Void_byref_nbKoukaProcessData_t_byref_nbKoukaPacket_t_0,100671535
RunMojiEffectKouka_Public_Static_Void_byref_nbKoukaProcessData_t_byref_nbKoukaPacket_t_0,100671536
RunHpMpKouka_Public_Static_Void_byref_nbKoukaProcessData_t_byref_nbKoukaPacket_t_0,100671537
