native_ptr_name,token
nbSetPhase_Private_Static_Void_Int32_0,100671572
nbSetNextPhase_Private_Static_Void_Int32_0,100671573
CheckActionProcessEnd_Private_Static_Int32_nbMainProcessData_t_0,100671580
CheckActionRun_Private_Static_Int32_nbMainProcessData_t_0,100671582
nbPushAction_Public_Static_Void_Int32_Int32_Int32_Int32_0,100671584
CheckErrorActionStack_Private_Static_Int32_nbMainProcessData_t_Int32_0,100671585
nbPopAction_Private_Static_Int32_byref_nbActionStack_t_0,100671586
nbCheckActionStack_Private_Static_Int32_0,100671587
nbClearActionStack_Private_Static_Void_0,100671588
nbSetMaePhase_Private_Static_Void_nbMainProcessData_t_0,100671589
nbSetEventPhase_Private_Static_Void_nbMainProcessData_t_0,100671590
nbSetAtoPhase_Private_Static_Void_nbMainProcessData_t_0,100671591
nbSetPressMaePhase_Private_Static_Void_nbMainProcessData_t_0,100671592
nbSetPressNiidaPhase_Private_Static_Void_nbMainProcessData_t_0,100671593
nbSetActionMaePhase_Private_Static_Void_nbMainProcessData_t_0,100671594
nbSetActionPhase_Private_Static_Void_nbMainProcessData_t_0,100671595
nbSetChkEndPhase_Private_Static_Void_nbMainProcessData_t_0,100671596
nbSetChkTurnPhase_Private_Static_Void_nbMainProcessData_t_0,100671597
nbSetResultPhase_Private_Static_Void_nbMainProcessData_t_0,100671598
nbSetEndPhase_Private_Static_Void_nbMainProcessData_t_0,100671599
nbSetDebugPhase_Private_Static_Void_nbMainProcessData_t_0,100671600
