native_ptr_name,token
nbAddSkillEffectKoukaPacket_Public_Static_nbKoukaPacket_t_Int32_Int32_Int32_byref_effBTLCutHandle_t_0,100671639
nbAddSkillEffectKoukaPacket3_Public_Static_nbKoukaPacket_t_Int32_Int32_Il2CppStructArray_1_Byte_Int32_byref_nbFormation_t_0,100671640
nbAddSkillEffectKoukaPacket2_Public_Static_nbKoukaPacket_t_Int32_Int32_Int32_byref_effBTL_t_Int32_byref_nbFormation_t_Int32_0,100671641
nbAddSkillEffectKoukaPacket1_Public_Static_nbKoukaPacket_t_Int32_Int32_Int32_byref_effBTLCutHandle_t_0,100671642
nbAddHatudoEffectEndPacket_Public_Static_Void_Int32_Int32_0,100671643
nbAddHatudoEffectKoukaPacket_Public_Static_nbKoukaPacket_t_Int32_Int32_Int32_byref_nbFormation_t_Int32_Int32_Int32_0,100671644
nbAddTargetMoveKoukaPacket_Public_Static_nbKoukaPacket_t_Int32_Int32_Int32_Vector4_Single_0,100671645
nbAddHomeMoveKoukaPacket_Public_Static_nbKoukaPacket_t_Int32_Int32_Int32_Single_0,100671646
nbAddRotKoukaPacket_Public_Static_nbKoukaPacket_t_Int32_Int32_Int32_Vector4_Int32_0,100671647
nbAddUnitColKoukaPacket_Public_Static_nbKoukaPacket_t_Int32_Int32_byref_nbFormation_t_UInt32_Int32_0,100671648
nbAddUnitHomeColKoukaPacket_Public_Static_nbKoukaPacket_t_Int32_Int32_byref_nbFormation_t_Int32_0,100671649
nbAddUnitAKoukaPacket_Public_Static_nbKoukaPacket_t_Int32_Int32_byref_nbFormation_t_UInt32_Int32_0,100671650
nbAddUnitHomeAKoukaPacket_Public_Static_nbKoukaPacket_t_Int32_Int32_byref_nbFormation_t_Int32_0,100671651
nbAddSakeKoukaPacket_Public_Static_nbKoukaPacket_t_Int32_Int32_byref_nbFormation_t_0,100671652
nbAddMotionStopClearPacket_Public_Static_nbKoukaPacket_t_Int32_Int32_byref_nbFormation_t_0,100671653
nbAddMotionKoukaPacket_Public_Static_nbKoukaPacket_t_Int32_Int32_byref_nbFormation_t_Int32_0,100671654
nbAddSkillMotionKoukaPacket_Public_Static_nbKoukaPacket_t_Int32_Int32_byref_nbFormation_t_Int32_Int32_Single_0,100671655
nbAddDmgMotKoukaPacket_Public_Static_nbKoukaPacket_t_Int32_Int32_byref_nbFormation_t_Single_Int32_0,100671656
nbAddEasyDmgMotKoukaPacket_Public_Static_nbKoukaPacket_t_Int32_Int32_byref_nbFormation_t_Single_0,100671657
nbAddBadDmgMotKoukaPacket_Public_Static_nbKoukaPacket_t_Int32_Int32_byref_nbFormation_t_Single_Int32_0,100671658
nbAddBadMotKoukaPacket_Public_Static_nbKoukaPacket_t_Int32_Int32_byref_nbFormation_t_Int32_0,100671659
nbAddReturnKoukaPacket_Public_Static_nbKoukaPacket_t_Int32_Int32_byref_nbParty_t_Int32_0,100671660
nbAddSummonKoukaPacket_Public_Static_nbKoukaPacket_t_Int32_Int32_Int32_Int32_Int32_0,100671661
nbAddSkillColorOffPacket_Public_Static_nbKoukaPacket_t_Int32_Int32_0,100671662
nbAddHitEffKoukaPacket_Public_Static_nbKoukaPacket_t_Int32_Int32_byref_nbFormation_t_Int32_0,100671663
nbAddBadEffKaifukuPacket_Public_Static_nbKoukaPacket_t_Int32_Int32_byref_nbFormation_t_0,100671664
nbAddBadEffKoukaPacket_Public_Static_nbKoukaPacket_t_Int32_Int32_byref_nbFormation_t_UInt32_0,100671665
nbAddNumEffKoukaPacket_Public_Static_nbKoukaPacket_t_Int32_Int32_Int32_byref_nbFormation_t_Int32_Int32_Int32_0,100671666
nbAddMojiEffKoukaPacket_Public_Static_nbKoukaPacket_t_Int32_Int32_Int32_byref_nbFormation_t_Int32_0,100671667
nbAddHpMpKoukaPacket_Public_Static_nbKoukaPacket_t_Int32_Int32_byref_nbFormation_t_Int32_Int32_0,100671668
nbAddPressPacket_Public_Static_nbKoukaPacket_t_Int32_Int32_Single_0,100671669
nbAddNewPressPacket_Public_Static_nbKoukaPacket_t_Int32_Int32_Int32_Int32_0,100671670
nbAddBadStatKoukaPacket_Public_Static_nbKoukaPacket_t_Int32_Int32_byref_nbFormation_t_UInt32_Int32_0,100671671
