field_ptr,field_name,type
dbest,dbest,datBossPress_t
encid,encid,datBossPress_t
flag,flag,datBossPress_t
flag2,flag2,datBossPress_t
badlevel,badlevel,datNormalSkill_s
badtype,badtype,datNormalSkill_s
basstatus,basstatus,datNormalSkill_s
cost,cost,datNormalSkill_s
costbase,costbase,datNormalSkill_s
costtype,costtype,datNormalSkill_s
criticalpoint,criticalpoint,datNormalSkill_s
deadtype,deadtype,datNormalSkill_s
failpoint,failpoint,datNormalSkill_s
flag,flag,datNormalSkill_s
hitlevel,hitlevel,datNormalSkill_s
hitprog,hitprog,datNormalSkill_s
hittype,hittype,datNormalSkill_s
hojopoint,hojopoint,datNormalSkill_s
hojotype,hojotype,datNormalSkill_s
hpbase,hpbase,datNormalSkill_s
hpn,hpn,datNormalSkill_s
hptype,hptype,datNormalSkill_s
koukatype,koukatype,datNormalSkill_s
magicbase,magicbase,datNormalSkill_s
magiclimit,magiclimit,datNormalSkill_s
minus,minus,datNormalSkill_s
mpbase,mpbase,datNormalSkill_s
mpn,mpn,datNormalSkill_s
mptype,mptype,datNormalSkill_s
program,program,datNormalSkill_s
targetarea,targetarea,datNormalSkill_s
targetcntmax,targetcntmax,datNormalSkill_s
targetcntmin,targetcntmin,datNormalSkill_s
targetprog,targetprog,datNormalSkill_s
targetrandom,targetrandom,datNormalSkill_s
targetrule,targetrule,datNormalSkill_s
targettype,targettype,datNormalSkill_s
untargetbadstat,untargetbadstat,datNormalSkill_s
use,use,datNormalSkill_s
capacity,capacity,datSkill_s
flag,flag,datSkill_s
index,index,datSkill_s
keisyoform,keisyoform,datSkill_s
skillattr,skillattr,datSkill_s
type,type,datSkill_s
badstatus,badstatus,datUnitWork_s
exp,exp,datUnitWork_s
flag,flag,datUnitWork_s
fullnamecode,fullnamecode,datUnitWork_s
getdevilhearts,getdevilhearts,datUnitWork_s
hensinmae,hensinmae,datUnitWork_s
hensinmaeexp,hensinmaeexp,datUnitWork_s
hp,hp,datUnitWork_s
id,id,datUnitWork_s
keiattr,keiattr,datUnitWork_s
keisyoskill,keisyoskill,datUnitWork_s
level,level,datUnitWork_s
levelupparam,levelupparam,datUnitWork_s
maxhp,maxhp,datUnitWork_s
maxmp,maxmp,datUnitWork_s
mitamaparam,mitamaparam,datUnitWork_s
mp,mp,datUnitWork_s
namecode,namecode,datUnitWork_s
nowcommand,nowcommand,datUnitWork_s
nowindex,nowindex,datUnitWork_s
nowtarea,nowtarea,datUnitWork_s
nowtform,nowtform,datUnitWork_s
param,param,datUnitWork_s
prevcommand,prevcommand,datUnitWork_s
previndex,previndex,datUnitWork_s
prevtarea,prevtarea,datUnitWork_s
prevtform,prevtform,datUnitWork_s
reserve1,reserve1,datUnitWork_s
reserve2,reserve2,datUnitWork_s
skill,skill,datUnitWork_s
skillcnt,skillcnt,datUnitWork_s
skillparam,skillparam,datUnitWork_s
uniqueid,uniqueid,datUnitWork_s
adata,adata,nbActionProcessData_t
