class,token,method,short,ptr_name
NbNegoFlowBinjo,100671763,GET_NEGO_PROCID,GET_NEGO_PROCID_Private_Static_Int32_UInt32_0,NativeMethodInfoPtr_GET_NEGO_PROCID_Private_Static_Int32_UInt32_0
NbNegoFlowBinjo,100671764,MAKE_NEGOID,MAKE_NEGOID_Private_Static_UInt32_Int32_Int32_0,NativeMethodInfoPtr_MAKE_NEGOID_Private_Static_UInt32_Int32_Int32_0
NbNegoFlowBinjo,100671765,Flow14_1,Flow14_1_Private_Static_Int32_byref_nbNegoProcessData_t_0,NativeMethodInfoPtr_Flow14_1_Private_Static_Int32_byref_nbNegoProcessData_t_0
NbNegoFlowBinjo,100671766,Flow14_2,Flow14_2_Private_Static_Int32_byref_nbNegoProcessData_t_0,NativeMethodInfoPtr_Flow14_2_Private_Static_Int32_byref_nbNegoProcessData_t_0
NbNegoFlowBinjo,100671767,nbNegoFlowBinjo,nbNegoFlowBinjo_Public_Static_Int32_byref_nbNegoProcessData_t_0,NativeMethodInfoPtr_nbNegoFlowBinjo_Public_Static_Int32_byref_nbNegoProcessData_t_0
NbNegoFlowBinjo,100671769,_ctor,_ctor_Public_Void_Object_IntPtr_0,NativeMethodInfoPtr__ctor_Public_Void_Object_IntPtr_0
NbNegoFlowBinjo,100671770,Invoke,Invoke_Public_Virtual_New_Int32_byref_nbNegoProcessData_t_0,NativeMethodInfoPtr_Invoke_Public_Virtual_New_Int32_byref_nbNegoProcessData_t_0
NbNegoFlowBinjo,100671771,BeginInvoke,BeginInvoke_Public_Virtual_New_IAsyncResult_byref_nbNegoProcessData_t_AsyncCallback_Object_0,NativeMethodInfoPtr_BeginInvoke_Public_Virtual_New_IAsyncResult_byref_nbNegoProcessData_t_AsyncCallback_Object_0
NbNegoFlowBinjo,100671772,EndInvoke,EndInvoke_Public_Virtual_New_Int32_byref_nbNegoProcessData_t_IAsyncResult_0,NativeMethodInfoPtr_EndInvoke_Public_Virtual_New_Int32_byref_nbNegoProcessData_t_IAsyncResult_0
NbNegoFlowDouchara,100671773,GET_NEGO_PROCID,GET_NEGO_PROCID_Private_Static_Int32_UInt32_0,NativeMethodInfoPtr_GET_NEGO_PROCID_Private_Static_Int32_UInt32_0
NbNegoFlowDouchara,100671774,MAKE_NEGOID,MAKE_NEGOID_Private_Static_UInt32_Int32_Int32_0,NativeMethodInfoPtr_MAKE_NEGOID_Private_Static_UInt32_Int32_Int32_0
NbNegoFlowDouchara,100671775,Flow4_1,Flow4_1_Private_Static_Int32_byref_nbNegoProcessData_t_0,NativeMethodInfoPtr_Flow4_1_Private_Static_Int32_byref_nbNegoProcessData_t_0
NbNegoFlowDouchara,100671776,Flow4_2,Flow4_2_Private_Static_Int32_byref_nbNegoProcessData_t_0,NativeMethodInfoPtr_Flow4_2_Private_Static_Int32_byref_nbNegoProcessData_t_0
NbNegoFlowDouchara,100671777,Flow4_3,Flow4_3_Private_Static_Int32_byref_nbNegoProcessData_t_0,NativeMethodInfoPtr_Flow4_3_Private_Static_Int32_byref_nbNegoProcessData_t_0
NbNegoFlowDouchara,100671778,Flow4_4,Flow4_4_Private_Static_Int32_byref_nbNegoProcessData_t_0,NativeMethodInfoPtr_Flow4_4_Private_Static_Int32_byref_nbNegoProcessData_t_0
NbNegoFlowDouchara,100671779,Flow4_5,Flow4_5_Private_Static_Int32_byref_nbNegoProcessData_t_0,NativeMethodInfoPtr_Flow4_5_Private_Static_Int32_byref_nbNegoProcessData_t_0
NbNegoFlowDouchara,100671780,Flow4_6,Flow4_6_Private_Static_Int32_byref_nbNegoProcessData_t_0,NativeMethodInfoPtr_Flow4_6_Private_Static_Int32_byref_nbNegoProcessData_t_0
NbNegoFlowDouchara,100671781,Flow4_7,Flow4_7_Private_Static_Int32_byref_nbNegoProcessData_t_0,NativeMethodInfoPtr_Flow4_7_Private_Static_Int32_byref_nbNegoProcessData_t_0
NbNegoFlowDouchara,100671782,Flow4_8,Flow4_8_Private_Static_Int32_byref_nbNegoProcessData_t_0,NativeMethodInfoPtr_Flow4_8_Private_Static_Int32_byref_nbNegoProcessData_t_0
NbNegoFlowDouchara,100671783,Flow4_9,Flow4_9_Private_Static_Int32_byref_nbNegoProcessData_t_0,NativeMethodInfoPtr_Flow4_9_Private_Static_Int32_byref_nbNegoProcessData_t_0
NbNegoFlowDouchara,100671784,Flow4_10,Flow4_10_Private_Static_Int32_byref_nbNegoProcessData_t_0,NativeMethodInfoPtr_Flow4_10_Private_Static_Int32_byref_nbNegoProcessData_t_0
NbNegoFlowDouchara,100671785,Flow4_11,Flow4_11_Private_Static_Int32_byref_nbNegoProcessData_t_0,NativeMethodInfoPtr_Flow4_11_Private_Static_Int32_byref_nbNegoProcessData_t_0
NbNegoFlowDouchara,100671786,Flow4_12,Flow4_12_Private_Static_Int32_byref_nbNegoProcessData_t_0,NativeMethodInfoPtr_Flow4_12_Private_Static_Int32_byref_nbNegoProcessData_t_0
NbNegoFlowDouchara,100671787,Flow4_13,Flow4_13_Private_Static_Int32_byref_nbNegoProcessData_t_0,NativeMethodInfoPtr_Flow4_13_Private_Static_Int32_byref_nbNegoProcessData_t_0
NbNegoFlowDouchara,100671788,nbNegoFlowDouchara,nbNegoFlowDouchara_Public_Static_Int32_byref_nbNegoProcessData_t_0,NativeMethodInfoPtr_nbNegoFlowDouchara_Public_Static_Int32_byref_nbNegoProcessData_t_0
NbNegoFlowDouchara,100671790,_ctor,_ctor_Public_Void_Object_IntPtr_0,NativeMethodInfoPtr__ctor_Public_Void_Object_IntPtr_0
NbNegoFlowDouchara,100671791,Invoke,Invoke_Public_Virtual_New_Int32_byref_nbNegoProcessData_t_0,NativeMethodInfoPtr_Invoke_Public_Virtual_New_Int32_byref_nbNegoProcessData_t_0
NbNegoFlowDouchara,100671792,BeginInvoke,BeginInvoke_Public_Virtual_New_IAsyncResult_byref_nbNegoProcessData_t_AsyncCallback_Object_0,NativeMethodInfoPtr_BeginInvoke_Public_Virtual_New_IAsyncResult_byref_nbNegoProcessData_t_AsyncCallback_Object_0
NbNegoFlowDouchara,100671793,EndInvoke,EndInvoke_Public_Virtual_New_Int32_byref_nbNegoProcessData_t_IAsyncResult_0,NativeMethodInfoPtr_EndInvoke_Public_Virtual_New_Int32_byref_nbNegoProcessData_t_IAsyncResult_0
NbNegoFlowDrain,100671794,GET_NEGO_PROCID,GET_NEGO_PROCID_Private_Static_Int32_UInt32_0,NativeMethodInfoPtr_GET_NEGO_PROCID_Private_Static_Int32_UInt32_0
NbNegoFlowDrain,100671795,MAKE_NEGOID,MAKE_NEGOID_Private_Static_UInt32_Int32_Int32_0,NativeMethodInfoPtr_MAKE_NEGOID_Private_Static_UInt32_Int32_Int32_0
NbNegoFlowDrain,100671796,Flow11_1,Flow11_1_Private_Static_Int32_byref_nbNegoProcessData_t_0,NativeMethodInfoPtr_Flow11_1_Private_Static_Int32_byref_nbNegoProcessData_t_0
NbNegoFlowDrain,100671797,Flow11_2,Flow11_2_Private_Static_Int32_byref_nbNegoProcessData_t_0,NativeMethodInfoPtr_Flow11_2_Private_Static_Int32_byref_nbNegoProcessData_t_0
NbNegoFlowDrain,100671798,Flow11_3,Flow11_3_Private_Static_Int32_byref_nbNegoProcessData_t_0,NativeMethodInfoPtr_Flow11_3_Private_Static_Int32_byref_nbNegoProcessData_t_0
NbNegoFlowDrain,100671799,Flow11_4,Flow11_4_Private_Static_Int32_byref_nbNegoProcessData_t_0,NativeMethodInfoPtr_Flow11_4_Private_Static_Int32_byref_nbNegoProcessData_t_0
NbNegoFlowDrain,100671800,Flow11_5,Flow11_5_Private_Static_Int32_byref_nbNegoProcessData_t_0,NativeMethodInfoPtr_Flow11_5_Private_Static_Int32_byref_nbNegoProcessData_t_0
