class,token,method,short,ptr_name
nbCommSelProcess,100671145,UpdateBcommMouseIndex,UpdateBcommMouseIndex_Private_Static_Void_0,NativeMethodInfoPtr_UpdateBcommMouseIndex_Private_Static_Void_0
nbCommSelProcess,100671146,BcommSelMouseEnter,BcommSelMouseEnter_Private_Static_Boolean_String_MouseType_0,NativeMethodInfoPtr_BcommSelMouseEnter_Private_Static_Boolean_String_MouseType_0
nbCommSelProcess,100671147,MouseScrollIconCheck,MouseScrollIconCheck_Private_Static_Boolean_0,NativeMethodInfoPtr_MouseScrollIconCheck_Private_Static_Boolean_0
nbCommSelProcess,100671148,MouseIconScroll,MouseIconScroll_Private_Static_Void_0,NativeMethodInfoPtr_MouseIconScroll_Private_Static_Void_0
nbCommSelProcess,100671149,MouseWheelScrol,MouseWheelScrol_Private_Static_Void_0,NativeMethodInfoPtr_MouseWheelScrol_Private_Static_Void_0
nbCommSelProcess,100671150,GetCommListCnt,GetCommListCnt_Public_Static_Int32_byref_nbCommSelProcessData_t_Int32_0,NativeMethodInfoPtr_GetCommListCnt_Public_Static_Int32_byref_nbCommSelProcessData_t_Int32_0
nbCommSelProcess,100671151,GetCommSelProcessData,GetCommSelProcessData_Public_Static_nbCommSelProcessData_t_0,NativeMethodInfoPtr_GetCommSelProcessData_Public_Static_nbCommSelProcessData_t_0
nbCommSelProcess,100671152,DispPanelCursor,DispPanelCursor_Public_Static_Void_byref_nbCommSelProcessData_t_Int32_Int32_Int32_UInt32_0,NativeMethodInfoPtr_DispPanelCursor_Public_Static_Void_byref_nbCommSelProcessData_t_Int32_Int32_Int32_UInt32_0
nbCommSelProcess,100671153,DispPanelLabel,DispPanelLabel_Public_Static_Void_byref_nbCommSelProcessData_t_Int32_Int32_Int32_UInt32_0,NativeMethodInfoPtr_DispPanelLabel_Public_Static_Void_byref_nbCommSelProcessData_t_Int32_Int32_Int32_UInt32_0
nbCommSelProcess,100671154,DispPanelSitaji,DispPanelSitaji_Public_Static_Void_byref_nbCommSelProcessData_t_Int32_Int32_Int32_UInt32_0,NativeMethodInfoPtr_DispPanelSitaji_Public_Static_Void_byref_nbCommSelProcessData_t_Int32_Int32_Int32_UInt32_0
nbCommSelProcess,100671155,DispComm1PanelComm,DispComm1PanelComm_Public_Static_Void_byref_nbCommSelProcessData_t_UInt16_Int32_Int32_Int32_UInt32_0,NativeMethodInfoPtr_DispComm1PanelComm_Public_Static_Void_byref_nbCommSelProcessData_t_UInt16_Int32_Int32_Int32_UInt32_0
nbCommSelProcess,100671156,DispComm1PanelTalk,DispComm1PanelTalk_Public_Static_Void_byref_nbCommSelProcessData_t_UInt16_Int32_Int32_Int32_UInt32_0,NativeMethodInfoPtr_DispComm1PanelTalk_Public_Static_Void_byref_nbCommSelProcessData_t_UInt16_Int32_Int32_Int32_UInt32_0
nbCommSelProcess,100671157,DispComm1PanelItem,DispComm1PanelItem_Public_Static_Void_byref_nbCommSelProcessData_t_UInt16_Int32_Int32_Int32_UInt32_0,NativeMethodInfoPtr_DispComm1PanelItem_Public_Static_Void_byref_nbCommSelProcessData_t_UInt16_Int32_Int32_Int32_UInt32_0
nbCommSelProcess,100671158,DispComm1PanelSummon,DispComm1PanelSummon_Public_Static_Void_byref_nbCommSelProcessData_t_UInt16_Int32_Int32_Int32_UInt32_0,NativeMethodInfoPtr_DispComm1PanelSummon_Public_Static_Void_byref_nbCommSelProcessData_t_UInt16_Int32_Int32_Int32_UInt32_0
nbCommSelProcess,100671159,DispCommCursor,DispCommCursor_Public_Static_Void_Int32_Int32_Int32_0,NativeMethodInfoPtr_DispCommCursor_Public_Static_Void_Int32_Int32_Int32_0
nbCommSelProcess,100671160,DispSummonCursor,DispSummonCursor_Public_Static_Void_Int32_Int32_Int32_0,NativeMethodInfoPtr_DispSummonCursor_Public_Static_Void_Int32_Int32_Int32_0
nbCommSelProcess,100671161,DispComm1PanelCursor,DispComm1PanelCursor_Public_Static_Void_byref_nbCommSelProcessData_t_Int32_Int32_Int32_Int32_UInt32_0,NativeMethodInfoPtr_DispComm1PanelCursor_Public_Static_Void_byref_nbCommSelProcessData_t_Int32_Int32_Int32_Int32_UInt32_0
nbCommSelProcess,100671162,GetTabIndex,GetTabIndex_Private_Static_Int32_nbCommSelProcessData_t_Int32_0,NativeMethodInfoPtr_GetTabIndex_Private_Static_Int32_nbCommSelProcessData_t_Int32_0
nbCommSelProcess,100671163,GetTabMaxCount,GetTabMaxCount_Private_Static_Int32_nbCommSelProcessData_t_0,NativeMethodInfoPtr_GetTabMaxCount_Private_Static_Int32_nbCommSelProcessData_t_0
nbCommSelProcess,100671164,DispHelpPanel,DispHelpPanel_Public_Static_Void_byref_nbCommSelProcessData_t_Int32_Int32_Int32_Int32_UInt32_Int32_0,NativeMethodInfoPtr_DispHelpPanel_Public_Static_Void_byref_nbCommSelProcessData_t_Int32_Int32_Int32_Int32_UInt32_Int32_0
nbCommSelProcess,100671165,DispCommandPanel,DispCommandPanel_Public_Static_Void_byref_nbCommSelProcessData_t_Int32_Int32_Int32_Int32_0,NativeMethodInfoPtr_DispCommandPanel_Public_Static_Void_byref_nbCommSelProcessData_t_Int32_Int32_Int32_Int32_0
nbCommSelProcess,100671166,AnimeCommandList,AnimeCommandList_Public_Static_Void_byref_nbCommSelProcessData_t_0,NativeMethodInfoPtr_AnimeCommandList_Public_Static_Void_byref_nbCommSelProcessData_t_0
nbCommSelProcess,100671167,DispComm1Summon,DispComm1Summon_Public_Static_Void_byref_nbCommSelProcessData_t_UInt16_Int32_Int32_Int32_UInt32_Int32_Int32_0,NativeMethodInfoPtr_DispComm1Summon_Public_Static_Void_byref_nbCommSelProcessData_t_UInt16_Int32_Int32_Int32_UInt32_Int32_Int32_0
nbCommSelProcess,100671168,ResetSummonCommandSteffUIs,ResetSummonCommandSteffUIs_Private_Static_Void_GameObject_0,NativeMethodInfoPtr_ResetSummonCommandSteffUIs_Private_Static_Void_GameObject_0
nbCommSelProcess,100671169,DispComm1Item,DispComm1Item_Public_Static_Void_byref_nbCommSelProcessData_t_UInt16_Int32_Int32_Int32_UInt32_Int32_Int32_0,NativeMethodInfoPtr_DispComm1Item_Public_Static_Void_byref_nbCommSelProcessData_t_UInt16_Int32_Int32_Int32_UInt32_Int32_Int32_0
nbCommSelProcess,100671170,DispComm1Talk,DispComm1Talk_Public_Static_Void_byref_nbCommSelProcessData_t_UInt16_Int32_Int32_Int32_UInt32_Int32_Int32_0,NativeMethodInfoPtr_DispComm1Talk_Public_Static_Void_byref_nbCommSelProcessData_t_UInt16_Int32_Int32_Int32_UInt32_Int32_Int32_0
nbCommSelProcess,100671171,DispComm1Comm,DispComm1Comm_Public_Static_Void_byref_nbCommSelProcessData_t_UInt16_Int32_Int32_Int32_UInt32_Int32_Int32_0,NativeMethodInfoPtr_DispComm1Comm_Public_Static_Void_byref_nbCommSelProcessData_t_UInt16_Int32_Int32_Int32_UInt32_Int32_Int32_0
nbCommSelProcess,100671172,GetComList,GetComList_Private_Static_GameObject_Int32_0,NativeMethodInfoPtr_GetComList_Private_Static_GameObject_Int32_0
nbCommSelProcess,100671173,GetComListS,GetComListS_Private_Static_GameObject_Int32_0,NativeMethodInfoPtr_GetComListS_Private_Static_GameObject_Int32_0
nbCommSelProcess,100671174,GetComTextTM,GetComTextTM_Private_Static_TextMeshProUGUI_GameObject_0,NativeMethodInfoPtr_GetComTextTM_Private_Static_TextMeshProUGUI_GameObject_0
nbCommSelProcess,100671175,DispHelp1,DispHelp1_Public_Static_Void_byref_nbCommSelProcessData_t_UInt16_Int32_Int32_Int32_Int32_0,NativeMethodInfoPtr_DispHelp1_Public_Static_Void_byref_nbCommSelProcessData_t_UInt16_Int32_Int32_Int32_Int32_0
nbCommSelProcess,100671176,DispCommandList2,DispCommandList2_Public_Static_Void_byref_nbCommSelProcessData_t_Int32_Int32_Int32_Int32_0,NativeMethodInfoPtr_DispCommandList2_Public_Static_Void_byref_nbCommSelProcessData_t_Int32_Int32_Int32_Int32_0
nbCommSelProcess,100671177,CheckSelectError,CheckSelectError_Public_Static_Int32_byref_nbCommSelProcessData_t_0,NativeMethodInfoPtr_CheckSelectError_Public_Static_Int32_byref_nbCommSelProcessData_t_0
nbCommSelProcess,100671178,MemoryCommand,MemoryCommand_Public_Static_Void_byref_nbCommSelProcessData_t_0,NativeMethodInfoPtr_MemoryCommand_Public_Static_Void_byref_nbCommSelProcessData_t_0
nbCommSelProcess,100671179,GetNextCommType,GetNextCommType_Public_Static_Int32_byref_nbCommSelProcessData_t_Int32_0,NativeMethodInfoPtr_GetNextCommType_Public_Static_Int32_byref_nbCommSelProcessData_t_Int32_0
nbCommSelProcess,100671180,SelectCommandList,SelectCommandList_Public_Static_Void_byref_nbCommSelProcessData_t_0,NativeMethodInfoPtr_SelectCommandList_Public_Static_Void_byref_nbCommSelProcessData_t_0
nbCommSelProcess,100671181,SelectCommandListAuto,SelectCommandListAuto_Public_Static_Void_byref_nbCommSelProcessData_t_0,NativeMethodInfoPtr_SelectCommandListAuto_Public_Static_Void_byref_nbCommSelProcessData_t_0
nbCommSelProcess,100671182,nbGetCommSelStat,nbGetCommSelStat_Public_Static_Int32_0,NativeMethodInfoPtr_nbGetCommSelStat_Public_Static_Int32_0
nbCommSelProcess,100671183,nbSetCommSelStat,nbSetCommSelStat_Public_Static_Void_Int32_0,NativeMethodInfoPtr_nbSetCommSelStat_Public_Static_Void_Int32_0
nbCommSelProcess,100671184,nbCloseCommSel,nbCloseCommSel_Public_Static_Void_0,NativeMethodInfoPtr_nbCloseCommSel_Public_Static_Void_0
nbCommSelProcess,100671185,bComOn,bComOn_Private_Static_Void_0,NativeMethodInfoPtr_bComOn_Private_Static_Void_0
nbCommSelProcess,100671186,bComOff,bComOff_Private_Static_Void_0,NativeMethodInfoPtr_bComOff_Private_Static_Void_0
nbCommSelProcess,100671187,bComOffExec,bComOffExec_Private_Static_Void_0,NativeMethodInfoPtr_bComOffExec_Private_Static_Void_0
nbCommSelProcess,100671188,nbCommSelProcess1,nbCommSelProcess1_Public_Static_Object_dds3ProcessID_t_0,NativeMethodInfoPtr_nbCommSelProcess1_Public_Static_Object_dds3ProcessID_t_0
nbCommSelProcess,100671189,nbCommSelShutdown,nbCommSelShutdown_Public_Static_Object_dds3ProcessID_t_0,NativeMethodInfoPtr_nbCommSelShutdown_Public_Static_Object_dds3ProcessID_t_0
nbCommSelProcess,100671190,SetCommList,SetCommList_Public_Static_Void_byref_nbCommSelProcessData_t_nbParty_t_0,NativeMethodInfoPtr_SetCommList_Public_Static_Void_byref_nbCommSelProcessData_t_nbParty_t_0
nbCommSelProcess,100671191,SetPrevCursor,SetPrevCursor_Public_Static_Void_byref_nbCommSelProcessData_t_Int32_Int32_0,NativeMethodInfoPtr_SetPrevCursor_Public_Static_Void_byref_nbCommSelProcessData_t_Int32_Int32_0
nbCommSelProcess,100671192,SetCommCursor2,SetCommCursor2_Public_Static_Void_byref_nbCommSelProcessData_t_0,NativeMethodInfoPtr_SetCommCursor2_Public_Static_Void_byref_nbCommSelProcessData_t_0
nbCommSelProcess,100671193,nbSetAutoCommSel,nbSetAutoCommSel_Public_Static_Void_0,NativeMethodInfoPtr_nbSetAutoCommSel_Public_Static_Void_0
nbCommSelProcess,100671194,InitCommSelProcessData,InitCommSelProcessData_Public_Static_nbCommSelProcessData_t_nbMainProcessData_t_nbParty_t_nbActionProcessData_t_0,NativeMethodInfoPtr_InitCommSelProcessData_Public_Static_nbCommSelProcessData_t_nbMainProcessData_t_nbParty_t_nbActionProcessData_t_0
nbCommSelProcess,100671195,nbInitCommSelProcess,nbInitCommSelProcess_Public_Static_Void_nbMainProcessData_t_nbParty_t_nbActionProcessData_t_0,NativeMethodInfoPtr_nbInitCommSelProcess_Public_Static_Void_nbMainProcessData_t_nbParty_t_nbActionProcessData_t_0
