class,token,method,short,ptr_name
nbNegoProcess,100672219,GET_NEGO_PROCID,GET_NEGO_PROCID_Private_Static_Int32_UInt32_0,NativeMethodInfoPtr_GET_NEGO_PROCID_Private_Static_Int32_UInt32_0
nbNegoProcess,100672220,GET_NEGO_FLOWID,GET_NEGO_FLOWID_Private_Static_Int32_UInt32_0,NativeMethodInfoPtr_GET_NEGO_FLOWID_Private_Static_Int32_UInt32_0
nbNegoProcess,100672221,MAKE_NEGOID,MAKE_NEGOID_Private_Static_UInt32_Int32_Int32_0,NativeMethodInfoPtr_MAKE_NEGOID_Private_Static_UInt32_Int32_Int32_0
nbNegoProcess,100672222,nbMemoryLoadNegoSe,nbMemoryLoadNegoSe_Private_Static_Int32_nbFormation_t_0,NativeMethodInfoPtr_nbMemoryLoadNegoSe_Private_Static_Int32_nbFormation_t_0
nbNegoProcess,100672223,GetMsgList,GetMsgList_Private_Static_Object_Int32_Int32_0,NativeMethodInfoPtr_GetMsgList_Private_Static_Object_Int32_Int32_0
nbNegoProcess,100672224,nbNegoProcess1,nbNegoProcess1_Private_Static_Object_dds3ProcessID_t_0,NativeMethodInfoPtr_nbNegoProcess1_Private_Static_Object_dds3ProcessID_t_0
nbNegoProcess,100672225,nbAddNegoIdKouho,nbAddNegoIdKouho_Public_Static_Void_byref_nbNegoProcessData_t_UInt32_0,NativeMethodInfoPtr_nbAddNegoIdKouho_Public_Static_Void_byref_nbNegoProcessData_t_UInt32_0
nbNegoProcess,100672226,nbGetPrevNegoId,nbGetPrevNegoId_Public_Static_UInt32_byref_nbNegoProcessData_t_0,NativeMethodInfoPtr_nbGetPrevNegoId_Public_Static_UInt32_byref_nbNegoProcessData_t_0
nbNegoProcess,100672227,nbGetBackNoNegoId,nbGetBackNoNegoId_Public_Static_UInt32_byref_nbNegoProcessData_t_Int32_0,NativeMethodInfoPtr_nbGetBackNoNegoId_Public_Static_UInt32_byref_nbNegoProcessData_t_Int32_0
nbNegoProcess,100672228,nbSetMesMakka,nbSetMesMakka_Public_Static_Void_Int32_Int32_0,NativeMethodInfoPtr_nbSetMesMakka_Public_Static_Void_Int32_Int32_0
nbNegoProcess,100672229,nbSetMesItem,nbSetMesItem_Public_Static_Void_Int32_Int32_0,NativeMethodInfoPtr_nbSetMesItem_Public_Static_Void_Int32_Int32_0
nbNegoProcess,100672230,nbClsNegoMessage,nbClsNegoMessage_Public_Static_Void_byref_nbNegoProcessData_t_0,NativeMethodInfoPtr_nbClsNegoMessage_Public_Static_Void_byref_nbNegoProcessData_t_0
