class,token,method,short,ptr_name
nbTarSelProcess,100672417,MouseTargetWinSelect,MouseTargetWinSelect_Private_Static_Void_0,NativeMethodInfoPtr_MouseTargetWinSelect_Private_Static_Void_0
nbTarSelProcess,100672418,NbTarSerCheckListName,NbTarSerCheckListName_Private_Static_Boolean_0,NativeMethodInfoPtr_NbTarSerCheckListName_Private_Static_Boolean_0
nbTarSelProcess,100672419,UpdateSelect,UpdateSelect_Public_Static_Void_byref_nbTarSelProcessData_t_0,NativeMethodInfoPtr_UpdateSelect_Public_Static_Void_byref_nbTarSelProcessData_t_0
nbTarSelProcess,100672420,GetTarSelProcessData,GetTarSelProcessData_Public_Static_nbTarSelProcessData_t_0,NativeMethodInfoPtr_GetTarSelProcessData_Public_Static_nbTarSelProcessData_t_0
nbTarSelProcess,100672421,nbGetTarSelStat,nbGetTarSelStat_Public_Static_Int32_0,NativeMethodInfoPtr_nbGetTarSelStat_Public_Static_Int32_0
nbTarSelProcess,100672422,nbSetTarSelStat,nbSetTarSelStat_Public_Static_Void_Int32_0,NativeMethodInfoPtr_nbSetTarSelStat_Public_Static_Void_Int32_0
nbTarSelProcess,100672423,nbSetTarSelJyokyoTime,nbSetTarSelJyokyoTime_Public_Static_Void_Int32_0,NativeMethodInfoPtr_nbSetTarSelJyokyoTime_Public_Static_Void_Int32_0
nbTarSelProcess,100672424,AnimeTargetCursor,AnimeTargetCursor_Public_Static_Void_byref_nbTarSelProcessData_t_0,NativeMethodInfoPtr_AnimeTargetCursor_Public_Static_Void_byref_nbTarSelProcessData_t_0
nbTarSelProcess,100672425,CheckFormCursor,CheckFormCursor_Public_Static_Int32_Int32_Int32_Int32_Int32_Int32_0,NativeMethodInfoPtr_CheckFormCursor_Public_Static_Int32_Int32_Int32_Int32_Int32_Int32_0
nbTarSelProcess,100672426,nbSetSelectOkMark,nbSetSelectOkMark_Public_Static_Int32_Int32_Int32_Int32_Int32_0,NativeMethodInfoPtr_nbSetSelectOkMark_Public_Static_Int32_Int32_Int32_Int32_Int32_0
nbTarSelProcess,100672427,SetCursor,SetCursor_Public_Static_Void_byref_nbTarSelProcessData_t_0,NativeMethodInfoPtr_SetCursor_Public_Static_Void_byref_nbTarSelProcessData_t_0
nbTarSelProcess,100672428,nbSetTargetProcess,nbSetTargetProcess_Public_Static_Int32_nbActionProcessData_t_Int32_Int32_Int32_Int32_0,NativeMethodInfoPtr_nbSetTargetProcess_Public_Static_Int32_nbActionProcessData_t_Int32_Int32_Int32_Int32_0
nbTarSelProcess,100672429,CheckFriend,CheckFriend_Public_Static_Int32_byref_nbTarSelProcessData_t_Int32_0,NativeMethodInfoPtr_CheckFriend_Public_Static_Int32_byref_nbTarSelProcessData_t_Int32_0
nbTarSelProcess,100672430,CheckEnemy,CheckEnemy_Public_Static_Int32_byref_nbTarSelProcessData_t_Int32_0,NativeMethodInfoPtr_CheckEnemy_Public_Static_Int32_byref_nbTarSelProcessData_t_Int32_0
nbTarSelProcess,100672431,OnOffTargetCursorColl,OnOffTargetCursorColl_Public_Static_Void_byref_nbTarSelProcessData_t_0,NativeMethodInfoPtr_OnOffTargetCursorColl_Public_Static_Void_byref_nbTarSelProcessData_t_0
nbTarSelProcess,100672432,OnOffTargetCursor,OnOffTargetCursor_Public_Static_Void_byref_nbTarSelProcessData_t_0,NativeMethodInfoPtr_OnOffTargetCursor_Public_Static_Void_byref_nbTarSelProcessData_t_0
nbTarSelProcess,100672433,DispTargetHelp,DispTargetHelp_Public_Static_Void_byref_nbTarSelProcessData_t_0,NativeMethodInfoPtr_DispTargetHelp_Public_Static_Void_byref_nbTarSelProcessData_t_0
nbTarSelProcess,100672434,MemoryCommand,MemoryCommand_Public_Static_Void_byref_nbTarSelProcessData_t_0,NativeMethodInfoPtr_MemoryCommand_Public_Static_Void_byref_nbTarSelProcessData_t_0
nbTarSelProcess,100672435,CursorSelect,CursorSelect_Public_Static_Void_byref_nbTarSelProcessData_t_0,NativeMethodInfoPtr_CursorSelect_Public_Static_Void_byref_nbTarSelProcessData_t_0
nbTarSelProcess,100672436,CursorSelectAuto,CursorSelectAuto_Public_Static_Void_byref_nbTarSelProcessData_t_0,NativeMethodInfoPtr_CursorSelectAuto_Public_Static_Void_byref_nbTarSelProcessData_t_0
nbTarSelProcess,100672437,nbTarSelProcess1,nbTarSelProcess1_Public_Static_Object_dds3ProcessID_t_0,NativeMethodInfoPtr_nbTarSelProcess1_Public_Static_Object_dds3ProcessID_t_0
nbTarSelProcess,100672438,nbTarSelShutdown,nbTarSelShutdown_Public_Static_Object_dds3ProcessID_t_0,NativeMethodInfoPtr_nbTarSelShutdown_Public_Static_Object_dds3ProcessID_t_0
nbTarSelProcess,100672439,InitTarSelProcessData,InitTarSelProcessData_Public_Static_nbTarSelProcessData_t_byref_nbMainProcessData_t_0,NativeMethodInfoPtr_InitTarSelProcessData_Public_Static_nbTarSelProcessData_t_byref_nbMainProcessData_t_0
nbTarSelProcess,100672440,nbInitTarSelProcess,nbInitTarSelProcess_Public_Static_Void_nbMainProcessData_t_0,NativeMethodInfoPtr_nbInitTarSelProcess_Public_Static_Void_nbMainProcessData_t_0
