struct,field,type
nbCommSelProcessData_t,mem,sdfMemHandle_t
nbCommSelProcessData_t,data,nbMainProcessData_t
nbCommSelProcessData_t,act,nbActionProcessData_t
nbCommSelProcessData_t,nowstat,sbyte
nbCommSelProcessData_t,nowtype,byte
nbCommSelProcessData_t,drawtype,int
nbCommSelProcessData_t,drawcursor,int
nbCommSelProcessData_t,drawlisty,int
nbCommSelProcessData_t,nowcursor,Il2CppStructArray<int>
nbCommSelProcessData_t,nowlisty,Il2CppStructArray<int>
nbCommSelProcessData_t,my,nbParty_t
nbCommSelProcessData_t,partytarget,nbParty_t
nbCommSelProcessData_t,commlist,Il2CppReferenceArray<Il2CppStructArray<ushort>>
nbCommSelProcessData_t,commcnt,Il2CppStructArray<int>
nbCommSelProcessData_t,commdisable,Il2CppReferenceArray<Il2CppStructArray<sbyte>>
nbCommSelProcessData_t,cnt,int
nbCommSelProcessData_t,smritu,float
nbCommSelProcessData_t,animeflag,uint
nbCommSelProcessData_t,ox,int
nbCommSelProcessData_t,oy,int
nbCommSelProcessData_t,oz,int
nbCommSelProcessData_t,alpha,int
nbCommSelProcessData_t,helpa,int
nbCommSelProcessData_t,ritu,float
nbCommSelProcessData_t,openwait,int
nbTarSelProcessData_t,data,nbMainProcessData_t
nbTarSelProcessData_t,act,nbActionProcessData_t
nbTarSelProcessData_t,stat,byte
nbTarSelProcessData_t,ctype,sbyte
nbTarSelProcessData_t,crule,byte
nbTarSelProcessData_t,carea,byte
nbTarSelProcessData_t,nowcarea,byte
nbTarSelProcessData_t,nowno,sbyte
nbTarSelProcessData_t,nowform,sbyte
nbTarSelProcessData_t,partyindex,short
nbTarSelProcessData_t,friendcnt,sbyte
nbTarSelProcessData_t,enemycnt,sbyte
nbTarSelProcessData_t,friendno,Il2CppStructArray<sbyte>
nbTarSelProcessData_t,enemyno,Il2CppStructArray<sbyte>
nbTarSelProcessData_t,jyokyotime,int
nbTarSelProcessData_t,time,int
nbTarSelProcessData_t,alpha_a,int
nbTarSelProcessData_t,alpha_b,int
nbTarSelProcessData_t,scale_a,float
nbTarSelProcessData_t,scale_b,float
nbNegoProcessData_t,data,nbMainProcessData_t
nbNegoProcessData_t,actdata,nbActionProcessData_t
nbNegoProcessData_t,stat,uint
nbNegoProcessData_t,negotype,int
nbNegoProcessData_t,waitframe,int
nbNegoProcessData_t,nownegoid,uint
nbNegoProcessData_t,nownegophase,int
nbNegoProcessData_t,nextnegoid,uint
nbNegoProcessData_t,nextkouhocnt,int
nbNegoProcessData_t,nextkouho,Il2CppStructArray<uint>
nbNegoProcessData_t,nowmsgid,int
nbNegoProcessData_t,nowmsgno,int
nbNegoProcessData_t,nowmes,int
nbNegoProcessData_t,msgwndid,int
nbNegoProcessData_t,nowselect,int
nbNegoProcessData_t,workid,Il2CppStructArray<uint>
nbNegoProcessData_t,requesttype,int
nbNegoProcessData_t,requestdata,int
nbNegoProcessData_t,requesthpmp,int
nbNegoProcessData_t,prevreqtype,int
nbNegoProcessData_t,cnt6_36,int
nbNegoProcessData_t,cnt6_37,int
nbNegoProcessData_t,cnt6_58,int
nbNegoProcessData_t,cnt6_66,int
nbNegoProcessData_t,mes6_2,int
nbNegoProcessData_t,mes6_25,int
nbNegoProcessData_t,mes6_67,int
nbNegoProcessData_t,flag1_6,int
nbNegoProcessData_t,flag1_39,int
nbNegoProcessData_t,historyindex,int
nbNegoProcessData_t,history,Il2CppStructArray<uint>
nbNegoProcessData_t,historymes,Il2CppStructArray<int>
nbNegoProcessData_t,endid,int
nbNegoProcessData_t,endtype,int
nbNegoProcessData_t,negoreqtype,int
nbNegoProcessData_t,negoskillid,uint
nbNegoProcessData_t,aisyo,int
nbNegoProcessData_t,aisyomes,int
nbNegoProcessData_t,hojopartyindex,int
nbNegoProcessData_t,hojoskillid,int
nbNegoProcessData_t,hojoseikou,int
nbNegoProcessData_t,hojoaisyo,int
nbNegoProcessData_t,hojoaisyomes,int
nbNegoProcessData_t,qtype,int
nbNegoProcessData_t,qindex,int
nbNegoProcessData_t,pwork,datUnitWork_t
nbNegoProcessData_t,ework,datUnitWork_t
nbNegoProcessData_t,pformindex,int
nbNegoProcessData_t,eformindex,int
nbNegoProcessData_t,pform,nbFormation_t
nbNegoProcessData_t,eform,nbFormation_t
nbNegoProcessData_t,ppartyindex,int
nbNegoProcessData_t,epartyindex,int
nbNegoProcessData_t,pparty,nbParty_t
nbNegoProcessData_t,eparty,nbParty_t
nbNegoProcessData_t,pkucyo,int
nbNegoProcessData_t,ekucyo,int
nbNegoProcessData_t,innen_id,int
nbNegoProcessData_t,temp_param,Il2CppStructArray<int>
nbNegoProcessData_t,boupartyindex,int
nbNegoProcessData_t,getmakka,int
nbNegoProcessData_t,getitem,int
nbNegoProcessData_t,getinfotype,int
nbNegoProcessData_t,getinfomsg,int
nbNegoProcessData_t,flowmsg,Il2CppStructArray<int>
nbNegoProcessData_t,questionmsg,int
nbNegoProcessData_t,aisyomsg,Il2CppStructArray<int>
nbNegoProcessData_t,infomsg,Il2CppStructArray<int>
nbNegoProcessData_t,helpmsg,int
nbNegoProcessData_t,helpmsg2,int
nbNegoProcessData_t,innenmsg,int
nbNegoProcessData_t,bossmsg,int
nbNegoProcessData_t,selectcur,int
