name,type
data,nbMainProcessData_t
actdata,nbActionProcessData_t
stat,uint
negotype,int
waitframe,int
nownegoid,uint
nownegophase,int
nextnegoid,uint
nextkouhocnt,int
nextkouho,Il2CppStructArray<uint>
nowmsgid,int
nowmsgno,int
nowmes,int
msgwndid,int
nowselect,int
workid,Il2CppStructArray<uint>
requesttype,int
requestdata,int
requesthpmp,int
prevreqtype,int
cnt6_36,int
cnt6_37,int
cnt6_58,int
cnt6_66,int
mes6_2,int
mes6_25,int
mes6_67,int
flag1_6,int
flag1_39,int
historyindex,int
history,Il2CppStructArray<uint>
historymes,Il2CppStructArray<int>
endid,int
endtype,int
negoreqtype,int
negoskillid,uint
aisyo,int
aisyomes,int
hojopartyindex,int
hojoskillid,int
hojoseikou,int
hojoaisyo,int
hojoaisyomes,int
qtype,int
qindex,int
pwork,datUnitWork_t
ework,datUnitWork_t
pformindex,int
eformindex,int
pform,nbFormation_t
eform,nbFormation_t
ppartyindex,int
epartyindex,int
pparty,nbParty_t
eparty,nbParty_t
pkucyo,int
ekucyo,int
innen_id,int
temp_param,Il2CppStructArray<int>
boupartyindex,int
getmakka,int
getitem,int
getinfotype,int
getinfomsg,int
flowmsg,Il2CppStructArray<int>
questionmsg,int
aisyomsg,Il2CppStructArray<int>
infomsg,Il2CppStructArray<int>
helpmsg,int
helpmsg2,int
innenmsg,int
bossmsg,int
selectcur,int
