method,token,access,ret,params,wrapper_field
GET_NEGO_PROCID,100672219,public,int,uint x,GET_NEGO_PROCID_Private_Static_Int32_UInt32_0
GET_NEGO_FLOWID,100672220,public,int,uint x,GET_NEGO_FLOWID_Private_Static_Int32_UInt32_0
MAKE_NEGOID,100672221,public,uint,"int x, int y",MAKE_NEGOID_Private_Static_UInt32_Int32_Int32_0
nbMemoryLoadNegoSe,100672222,public,int,nbFormation_t form,nbMemoryLoadNegoSe_Private_Static_Int32_nbFormation_t_0
GetMsgList,100672223,public,Il2CppSystem.Object,"int ekucyo, int idx",GetMsgList_Private_Static_Object_Int32_Int32_0
nbNegoProcess1,100672224,public,Il2CppSystem.Object,dds3ProcessID_t id,nbNegoProcess1_Private_Static_Object_dds3ProcessID_t_0
nbAddNegoIdKouho,100672225,public,void,"ref nbNegoProcessData_t n, uint id",nbAddNegoIdKouho_Public_Static_Void_byref_nbNegoProcessData_t_UInt32_0
nbGetPrevNegoId,100672226,public,uint,ref nbNegoProcessData_t n,nbGetPrevNegoId_Public_Static_UInt32_byref_nbNegoProcessData_t_0
nbGetBackNoNegoId,100672227,public,uint,"ref nbNegoProcessData_t n, int a",nbGetBackNoNegoId_Public_Static_UInt32_byref_nbNegoProcessData_t_Int32_0
nbSetMesMakka,100672228,public,void,"int msgid, int i",nbSetMesMakka_Public_Static_Void_Int32_Int32_0
nbSetMesItem,100672229,public,void,"int msgid, int it",nbSetMesItem_Public_Static_Void_Int32_Int32_0
nbClsNegoMessage,100672230,public,void,ref nbNegoProcessData_t n,nbClsNegoMessage_Public_Static_Void_byref_nbNegoProcessData_t_0
nbDispNegoMessage,100672231,public,void,"ref nbNegoProcessData_t n, int msgid, int msgno, int sel",nbDispNegoMessage_Public_Static_Void_byref_nbNegoProcessData_t_Int32_Int32_Int32_0
nbCheckNegoMessage,100672232,public,int,ref nbNegoProcessData_t n,nbCheckNegoMessage_Public_Static_Int32_byref_nbNegoProcessData_t_0
nbSetNegoMesVar,100672233,public,void,"int msgid, ref datUnitWork_t p, ref datUnitWork_t e",nbSetNegoMesVar_Public_Static_Void_Int32_byref_datUnitWork_t_byref_datUnitWork_t_0
nbGetNegoYaruMakkaA,100672234,public,int,"ref nbNegoProcessData_t n, ref datUnitWork_t a, ref datUnitWork_t b",nbGetNegoYaruMakkaA_Public_Static_Int32_byref_nbNegoProcessData_t_byref_datUnitWork_t_byref_datUnitWork_t_0
nbGetNegoYaruMakkaB,100672235,public,int,"ref nbNegoProcessData_t n, ref datUnitWork_t a, ref datUnitWork_t b",nbGetNegoYaruMakkaB_Public_Static_Int32_byref_nbNegoProcessData_t_byref_datUnitWork_t_byref_datUnitWork_t_0
nbGetNegoKureMakkaA,100672236,public,int,"ref nbNegoProcessData_t n, ref datUnitWork_t a, ref datUnitWork_t b",nbGetNegoKureMakkaA_Public_Static_Int32_byref_nbNegoProcessData_t_byref_datUnitWork_t_byref_datUnitWork_t_0
nbGetNegoKureMakkaB,100672237,public,int,"ref nbNegoProcessData_t n, ref datUnitWork_t a, ref datUnitWork_t b",nbGetNegoKureMakkaB_Public_Static_Int32_byref_nbNegoProcessData_t_byref_datUnitWork_t_byref_datUnitWork_t_0
nbGetNegoKureHpA,100672238,public,int,"ref nbNegoProcessData_t n, ref datUnitWork_t a, ref datUnitWork_t b",nbGetNegoKureHpA_Public_Static_Int32_byref_nbNegoProcessData_t_byref_datUnitWork_t_byref_datUnitWork_t_0
nbGetNegoKureHpB,100672239,public,int,"ref nbNegoProcessData_t n, ref datUnitWork_t a, ref datUnitWork_t b",nbGetNegoKureHpB_Public_Static_Int32_byref_nbNegoProcessData_t_byref_datUnitWork_t_byref_datUnitWork_t_0
nbGetNegoKureMpA,100672240,public,int,"ref nbNegoProcessData_t n, ref datUnitWork_t a, ref datUnitWork_t b",nbGetNegoKureMpA_Public_Static_Int32_byref_nbNegoProcessData_t_byref_datUnitWork_t_byref_datUnitWork_t_0
nbGetNegoKureMpB,100672241,public,int,"ref nbNegoProcessData_t n, ref datUnitWork_t a, ref datUnitWork_t b",nbGetNegoKureMpB_Public_Static_Int32_byref_nbNegoProcessData_t_byref_datUnitWork_t_byref_datUnitWork_t_0
nbGetKureItemA,100672242,public,int,"ref nbNegoProcessData_t n, ref datUnitWork_t a, ref datUnitWork_t b",nbGetKureItemA_Public_Static_Int32_byref_nbNegoProcessData_t_byref_datUnitWork_t_byref_datUnitWork_t_0
nbSelectKureItemA,100672243,public,int,int lv_idx,nbSelectKureItemA_Public_Static_Int32_Int32_0
nbGetKureItemB,100672244,public,int,"ref nbNegoProcessData_t n, ref datUnitWork_t a, ref datUnitWork_t b",nbGetKureItemB_Public_Static_Int32_byref_nbNegoProcessData_t_byref_datUnitWork_t_byref_datUnitWork_t_0
nbSelectKureItemB,100672245,public,int,int lv_idx,nbSelectKureItemB_Public_Static_Int32_Int32_0
nbGetNegoRequestType,100672246,public,int,int reqtype,nbGetNegoRequestType_Public_Static_Int32_Int32_0
nbGetNegoTuikaRequestType,100672247,public,int,int tuikareqtype,nbGetNegoTuikaRequestType_Public_Static_Int32_Int32_0
nbSetAllHojoSkillWork,100672248,public,void,ref nbNegoProcessData_t n,nbSetAllHojoSkillWork_Public_Static_Void_byref_nbNegoProcessData_t_0
nbGetHojoSkillWorkCnt,100672249,public,int,ref nbNegoProcessData_t n,nbGetHojoSkillWorkCnt_Public_Static_Int32_byref_nbNegoProcessData_t_0
nbSearchHojoSkillWork,100672250,public,uint,"ref nbNegoProcessData_t n, int type",nbSearchHojoSkillWork_Public_Static_UInt32_byref_nbNegoProcessData_t_Int32_0
nbGetQuestionType,100672251,public,int,ref datUnitWork_t w,nbGetQuestionType_Public_Static_Int32_byref_datUnitWork_t_0
nbGetNegoYaruItemA,100672252,public,int,ref datUnitWork_t w,nbGetNegoYaruItemA_Public_Static_Int32_byref_datUnitWork_t_0
nbGetNegoYaruItemB,100672253,public,int,ref datUnitWork_t w,nbGetNegoYaruItemB_Public_Static_Int32_byref_datUnitWork_t_0
nbGetNegoYaruStone,100672254,public,int,ref datUnitWork_t w,nbGetNegoYaruStone_Public_Static_Int32_byref_datUnitWork_t_0
nbGetInfoMsg,100672255,public,int,int infotype,nbGetInfoMsg_Public_Static_Int32_Int32_0
nbCheckSelectMesJoukenAri,100672256,public,int,"int msg_no, int field_no",nbCheckSelectMesJoukenAri_Public_Static_Int32_Int32_Int32_0
nbSetNegoNoMotion,100672257,public,int,"ref nbNegoProcessData_t n, ref nbFormation_t form",nbSetNegoNoMotion_Public_Static_Int32_byref_nbNegoProcessData_t_byref_nbFormation_t_0
nbSetNegoYesMotion,100672258,public,int,"ref nbNegoProcessData_t n, ref nbFormation_t form",nbSetNegoYesMotion_Public_Static_Int32_byref_nbNegoProcessData_t_byref_nbFormation_t_0
nbGetInnenNegoID,100672259,public,int,ref nbNegoProcessData_t n,nbGetInnenNegoID_Public_Static_Int32_byref_nbNegoProcessData_t_0
NegoDebugDraw,100672260,public,void,ref nbNegoProcessData_t n,NegoDebugDraw_Private_Static_Void_byref_nbNegoProcessData_t_0
NegoDebugSelectDraw,100672261,public,void,ref nbNegoProcessData_t n,NegoDebugSelectDraw_Private_Static_Void_byref_nbNegoProcessData_t_0
NegoDebug,100672262,public,int,ref nbNegoProcessData_t n,NegoDebug_Private_Static_Int32_byref_nbNegoProcessData_t_0
nbNegoProcessMessageChk,100672263,public,Il2CppSystem.Object,dds3ProcessID_t id,nbNegoProcessMessageChk_Private_Static_Object_dds3ProcessID_t_0
nbNegoProcessMessage,100672264,public,Il2CppSystem.Object,dds3ProcessID_t id,nbNegoProcessMessage_Private_Static_Object_dds3ProcessID_t_0
nbNegoProcessEnd,100672265,public,Il2CppSystem.Object,dds3ProcessID_t id,nbNegoProcessEnd_Private_Static_Object_dds3ProcessID_t_0
