method,token,access,ret,params,wrapper_field
nbSetMesMakka,100672228,public,void,"int msgid, int i",nbSetMesMakka_Public_Static_Void_Int32_Int32_0
nbSetMesItem,100672229,public,void,"int msgid, int it",nbSetMesItem_Public_Static_Void_Int32_Int32_0
nbGetNegoYaruMakkaA,100672234,public,int,"ref nbNegoProcessData_t n, ref datUnitWork_t a, ref datUnitWork_t b",nbGetNegoYaruMakkaA_Public_Static_Int32_byref_nbNegoProcessData_t_byref_datUnitWork_t_byref_datUnitWork_t_0
nbGetNegoYaruMakkaB,100672235,public,int,"ref nbNegoProcessData_t n, ref datUnitWork_t a, ref datUnitWork_t b",nbGetNegoYaruMakkaB_Public_Static_Int32_byref_nbNegoProcessData_t_byref_datUnitWork_t_byref_datUnitWork_t_0
nbGetNegoKureMakkaA,100672236,public,int,"ref nbNegoProcessData_t n, ref datUnitWork_t a, ref datUnitWork_t b",nbGetNegoKureMakkaA_Public_Static_Int32_byref_nbNegoProcessData_t_byref_datUnitWork_t_byref_datUnitWork_t_0
nbGetNegoKureMakkaB,100672237,public,int,"ref nbNegoProcessData_t n, ref datUnitWork_t a, ref datUnitWork_t b",nbGetNegoKureMakkaB_Public_Static_Int32_byref_nbNegoProcessData_t_byref_datUnitWork_t_byref_datUnitWork_t_0
nbGetNegoKureHpA,100672238,public,int,"ref nbNegoProcessData_t n, ref datUnitWork_t a, ref datUnitWork_t b",nbGetNegoKureHpA_Public_Static_Int32_byref_nbNegoProcessData_t_byref_datUnitWork_t_byref_datUnitWork_t_0
nbGetNegoKureHpB,100672239,public,int,"ref nbNegoProcessData_t n, ref datUnitWork_t a, ref datUnitWork_t b",nbGetNegoKureHpB_Public_Static_Int32_byref_nbNegoProcessData_t_byref_datUnitWork_t_byref_datUnitWork_t_0
nbGetNegoKureMpA,100672240,public,int,"ref nbNegoProcessData_t n, ref datUnitWork_t a, ref datUnitWork_t b",nbGetNegoKureMpA_Public_Static_Int32_byref_nbNegoProcessData_t_byref_datUnitWork_t_byref_datUnitWork_t_0
nbGetNegoKureMpB,100672241,public,int,"ref nbNegoProcessData_t n, ref datUnitWork_t a, ref datUnitWork_t b",nbGetNegoKureMpB_Public_Static_Int32_byref_nbNegoProcessData_t_byref_datUnitWork_t_byref_datUnitWork_t_0
nbGetKureItemA,100672242,public,int,"ref nbNegoProcessData_t n, ref datUnitWork_t a, ref datUnitWork_t b",nbGetKureItemA_Public_Static_Int32_byref_nbNegoProcessData_t_byref_datUnitWork_t_byref_datUnitWork_t_0
nbSelectKureItemA,100672243,public,int,int lv_idx,nbSelectKureItemA_Public_Static_Int32_Int32_0
nbGetKureItemB,100672244,public,int,"ref nbNegoProcessData_t n, ref datUnitWork_t a, ref datUnitWork_t b",nbGetKureItemB_Public_Static_Int32_byref_nbNegoProcessData_t_byref_datUnitWork_t_byref_datUnitWork_t_0
nbSelectKureItemB,100672245,public,int,int lv_idx,nbSelectKureItemB_Public_Static_Int32_Int32_0
nbGetNegoRequestType,100672246,public,int,int reqtype,nbGetNegoRequestType_Public_Static_Int32_Int32_0
nbGetNegoTuikaRequestType,100672247,public,int,int tuikareqtype,nbGetNegoTuikaRequestType_Public_Static_Int32_Int32_0
nbGetQuestionType,100672251,public,int,ref datUnitWork_t w,nbGetQuestionType_Public_Static_Int32_byref_datUnitWork_t_0
nbGetNegoYaruItemA,100672252,public,int,ref datUnitWork_t w,nbGetNegoYaruItemA_Public_Static_Int32_byref_datUnitWork_t_0
nbGetNegoYaruItemB,100672253,public,int,ref datUnitWork_t w,nbGetNegoYaruItemB_Public_Static_Int32_byref_datUnitWork_t_0
nbGetNegoYaruStone,100672254,public,int,ref datUnitWork_t w,nbGetNegoYaruStone_Public_Static_Int32_byref_datUnitWork_t_0
